ID	record_id	Vegetatielaag	Kenmerk	TypeKenmerk	Type	Eenheid	Waarde	Invoertype
10354_2015-05-20_9160	10354_2015-05-20	boomlaag	Acer pseudoplatanus L.	soort_latijn	Decimaal getal	Grondvlak_ha	2.54381236287523	NA
10354_2015-05-20_9160	10354_2015-05-20	boomlaag	Fraxinus excelsior L.	Soort_Latijn	Percentage	%	18.75	NA
10354_2015-05-20_9160	10354_2015-05-20	boomlaag	Fraxinus excelsior L.	soort_latijn	Decimaal getal	Grondvlak_ha	13.6410190873791	NA
10354_2015-05-20_9160	10354_2015-05-20	kruidlaag	Acer pseudoplatanus L.	Soort_Latijn	Percentage	%	4	NA
10354_2015-05-20_9160	10354_2015-05-20	kruidlaag	Adoxa moschatellina L.	Soort_Latijn	Percentage	%	4	NA
10354_2015-05-20_9160	10354_2015-05-20	kruidlaag	Alliaria petiolata (Bieb.) Cavara et Grande	Soort_Latijn	Percentage	%	37.5	NA
10354_2015-05-20_9160	10354_2015-05-20	kruidlaag	Arum maculatum L.	Soort_Latijn	Percentage	%	1	NA
10354_2015-05-20_9160	10354_2015-05-20	kruidlaag	Capsella bursa-pastoris (L.) Med.	Soort_Latijn	Percentage	%	1	NA
10354_2015-05-20_9160	10354_2015-05-20	kruidlaag	Chenopodium album L.	Soort_Latijn	Percentage	%	1	NA
10354_2015-05-20_9160	10354_2015-05-20	kruidlaag	Circaea lutetiana L.	Soort_Latijn	Percentage	%	18.75	NA
10354_2015-05-20_9160	10354_2015-05-20	kruidlaag	Cirsium vulgare (Savi) Ten.	Soort_Latijn	Percentage	%	1	NA
10354_2015-05-20_9160	10354_2015-05-20	kruidlaag	Coronopus squamatus (Forssk.) Aschers.	Soort_Latijn	Percentage	%	2.25	NA
10354_2015-05-20_9160	10354_2015-05-20	kruidlaag	Corylus avellana L.	Soort_Latijn	Percentage	%	1	NA
10354_2015-05-20_9160	10354_2015-05-20	kruidlaag	Crataegus monogyna Jacq.	Soort_Latijn	Percentage	%	0.25	NA
10354_2015-05-20_9160	10354_2015-05-20	kruidlaag	Dactylis glomerata L.	Soort_Latijn	Percentage	%	0.25	NA
10354_2015-05-20_9160	10354_2015-05-20	kruidlaag	Elymus repens (L.) Gould	Soort_Latijn	Percentage	%	0.25	NA
10354_2015-05-20_9160	10354_2015-05-20	kruidlaag	Festuca gigantea (L.) Vill.	Soort_Latijn	Percentage	%	1	NA
10354_2015-05-20_9160	10354_2015-05-20	kruidlaag	Fraxinus excelsior L.	Soort_Latijn	Percentage	%	4	NA
10354_2015-05-20_9160	10354_2015-05-20	kruidlaag	Galeopsis tetrahit L.	Soort_Latijn	Percentage	%	1	NA
