ID	record_id	Criterium	Indicator	Voorwaarde	Waarde	Type	Invoertype	Eenheid
10354_2015-05-20_9160	10354_2015-05-20	Structuur	aandeel dood hout	aandeel dood hout	20.18	Percentage	NA	%
10354_2015-05-20_9160	10354_2015-05-20	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
10354_2015-05-20_9160	10354_2015-05-20	Structuur	bosconstantie	bosconstantie	175	Geheel getal	NA	NA
10354_2015-05-20_9160	10354_2015-05-20	Structuur	minimum structuurareaal	MSA	3.7352	Decimaal getal	NA	ha
10354_2015-05-20_9160	10354_2015-05-20	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
103609_2015-04-27_91E0_vc	103609_2015-04-27	Structuur	aandeel dood hout	aandeel dood hout	10.22	Percentage	NA	%
103609_2015-04-27_91E0_vc	103609_2015-04-27	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
103609_2015-04-27_91E0_vc	103609_2015-04-27	Structuur	bosconstantie	bosconstantie	250	Geheel getal	NA	NA
103609_2015-04-27_91E0_vc	103609_2015-04-27	Structuur	minimum structuurareaal	MSA	35.6599	Decimaal getal	NA	ha
103609_2015-04-27_91E0_vc	103609_2015-04-27	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
104342_2015-04-23_91E0_vc	104342_2015-04-23	Structuur	aandeel dood hout	aandeel dood hout	3.96	Percentage	NA	%
104342_2015-04-23_91E0_vc	104342_2015-04-23	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
104342_2015-04-23_91E0_vc	104342_2015-04-23	Structuur	bosconstantie	bosconstantie	175	Geheel getal	NA	NA
104342_2015-04-23_91E0_vc	104342_2015-04-23	Structuur	minimum structuurareaal	MSA	3.8155	Decimaal getal	NA	ha
104342_2015-04-23_91E0_vc	104342_2015-04-23	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
10513_2019-04-15_9130_end	NA	Structuur	aandeel dood hout	aandeel dood hout	0	Percentage	NA	%
10513_2019-04-15_9130_end	NA	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
10513_2019-04-15_9130_end	10513_2019-04-15	Structuur	bosconstantie	bosconstantie	175	Geheel getal	NA	NA
10513_2019-04-15_9130_end	10513_2019-04-15	Structuur	minimum structuurareaal	MSA	12.5269	Decimaal getal	NA	ha
10513_2019-04-15_9130_end	10513_2019-04-15	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
11126_2015-05-29_9120	NA	Structuur	aandeel dood hout	aandeel dood hout	0	Percentage	NA	%
11126_2015-05-29_9120	NA	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
11126_2015-05-29_9120	11126_2015-05-29	Structuur	bosconstantie	bosconstantie	20	Geheel getal	NA	NA
11126_2015-05-29_9120	11126_2015-05-29	Structuur	minimum structuurareaal	MSA	0	Decimaal getal	NA	ha
11126_2015-05-29_9120	11126_2015-05-29	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
11481_2019-04-12_9130_end	11481_2019-04-12	Structuur	aandeel dood hout	aandeel dood hout	2.64	Percentage	NA	%
11481_2019-04-12_9130_end	11481_2019-04-12	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
11481_2019-04-12_9130_end	11481_2019-04-12	Structuur	bosconstantie	bosconstantie	250	Geheel getal	NA	NA
11481_2019-04-12_9130_end	11481_2019-04-12	Structuur	minimum structuurareaal	MSA	87.4923	Decimaal getal	NA	ha
11481_2019-04-12_9130_end	11481_2019-04-12	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
11865_2015-04-29_91E0_vc	11865_2015-04-29	Structuur	aandeel dood hout	aandeel dood hout	5.67	Percentage	NA	%
