versie	schaal	periode	type_resultaat	habitattype	sbzh	habitatsubtype	n_obs	parameter	mean	llci_0.95	ulci_0.95	klasse	periode_ref	jaar_min	jaar_max	verschil_jaar
Versie 3	Vlaanderen	c_1	Habitatsubtype	1330	Binnen & Buiten	1330_da	66	aandeel_gunstig	0.11	0	0	NA	NA	2013	2013	NA
Versie 3	Vlaanderen	c_1	Habitatsubtype	1330	Binnen & Buiten	1330_hpr	16	aandeel_gunstig	35.51	7.94	75.94	NA	NA	2015	2020	NA
Versie 3	Vlaanderen	c_1	Habitattype	1330	Binnen & Buiten	1330_hpr;1330_da	82	aandeel_gunstig	18.75	3.63	48.61	NA	NA	2013	2020	NA
Versie 3	Vlaanderen	c_1	SBZH	1330	Binnen	1330_hpr;1330_da	80	aandeel_gunstig	18.66	4.59	37.14	NA	NA	2013	2018	NA
Versie 3	Vlaanderen	c_1	Habitatsubtype	6230	Binnen & Buiten	6230_ha	16	aandeel_gunstig	14.58	1.39	50.51	NA	NA	2015	2019	NA
Versie 3	Vlaanderen	c_1	Habitatsubtype	6230	Binnen & Buiten	6230_hmo	11	aandeel_gunstig	43.98	13.71	79.42	NA	NA	2015	2017	NA
Versie 3	Vlaanderen	c_1	Habitatsubtype	6230	Binnen & Buiten	6230_hn	15	aandeel_gunstig	87.08	30.71	99.82	NA	NA	2015	2017	NA
Versie 3	Vlaanderen	c_1	Habitattype	6230	Binnen & Buiten	6230_hmo;6230_ha;6230_hn;6230_hnk	40	aandeel_gunstig	51.26	19.3	82.7	NA	NA	2015	2019	NA
Versie 3	Vlaanderen	c_1	SBZH	6230	Binnen	6230_hmo;6230_ha;6230_hn;6230_hnk	35	aandeel_gunstig	50.67	33.18	68.84	NA	NA	2015	2017	NA
Versie 3	Vlaanderen	c_1	SBZH	6230	Buiten	6230_hmo;6230_ha;6230_hn;6230_hnk	5	aandeel_gunstig	50.95	7.82	93.28	NA	NA	2016	2019	NA
Versie 3	Vlaanderen	c_1	Habitatsubtype	6410	Binnen & Buiten	6410_mo	33	aandeel_gunstig	14.72	4.75	32.94	NA	NA	2015	2018	NA
Versie 3	Vlaanderen	c_1	Habitattype	6410	Binnen & Buiten	6410_mo	33	aandeel_gunstig	14.65	4.44	31.62	NA	NA	2015	2018	NA
Versie 3	Vlaanderen	c_1	SBZH	6410	Binnen	6410_mo	27	aandeel_gunstig	13.87	4.29	29.4	NA	NA	2015	2018	NA
Versie 3	Vlaanderen	c_1	SBZH	6410	Buiten	6410_mo	6	aandeel_gunstig	15.71	1.6	52.31	NA	NA	2015	2015	NA
Versie 3	Vlaanderen	c_1	Habitatsubtype	6510	Binnen & Buiten	6510_hu	33	aandeel_gunstig	28.65	5.84	63.18	NA	NA	2014	2018	NA
Versie 3	Vlaanderen	c_1	Habitatsubtype	6510	Binnen & Buiten	6510_hua	7	aandeel_gunstig	1.01	0	0.32	NA	NA	2014	2016	NA
Versie 3	Vlaanderen	c_1	Habitatsubtype	6510	Binnen & Buiten	6510_huk	12	aandeel_gunstig	32.13	6.54	71.14	NA	NA	2014	2018	NA
Versie 3	Vlaanderen	c_1	Habitatsubtype	6510	Binnen & Buiten	6510_hus	13	aandeel_gunstig	6.12	0.01	51.54	NA	NA	2014	2018	NA
