id	type_analysis	status	aggregatiemethode	n_zb_ongunstig	aandeel_gunstig	index_mean_ind	index_mean_crit	doelbereik_mean_ind
100297_2016-06-07	6510_hu	0	RapportageHR	1	60	0.1537	-0.1254	0.7034
1004470_2015-08-18	7140_meso	0	RapportageHR	1	83.3333	0.5106	0.2967	0.9385
1004470_2023-08-18	7140_meso	0	RapportageHR	1	75	0.6028	0.3398	0.9766
1007490_2014-06-05	6510_hu	0	RapportageHR	2	50	0.2152	-0.0241	0.7354
1007490_2014-06-05	6510_hua	0	RapportageHR	3	50	0.2123	-0.0218	0.7291
1007490_2014-06-05	6510_huk	0	RapportageHR	1	50	0.1201	-0.3039	0.6288
1007490_2014-06-05	6510_hus	0	RapportageHR	2	50	0.2152	-0.0241	0.7354
1008246_2024-08-09	7140_meso	0	RapportageHR	1	66.6667	0.3719	-0.0214	0.7737
1012434_2021-07-07	7140_meso	1	RapportageHR	0	75	0.3863	-0.0857	0.7903
1013294_2016-09-20	7140_meso	0	RapportageHR	2	66.6667	0.3841	0.1036	0.8788
1018841_2020-05-26	6510_hu	1	RapportageHR	0	80	0.463	0.1275	0.8352
1022766_2015-06-10	6230_hmo	1	RapportageHR	0	90.9091	0.7221	0.5124	0.9878
1022766_2022-08-23	6230_hmo	1	RapportageHR	0	90.9091	0.6898	0.4169	0.9978
1023282_2018-06-11	6510_hu	0	RapportageHR	2	50	0.1179	-0.1077	0.6509
1023282_2018-06-11	6510_hua	0	RapportageHR	2	58.3333	0.167	-0.0664	0.7027
1023282_2018-06-11	6510_huk	0	RapportageHR	1	50	0.0491	-0.3768	0.5785
1023282_2018-06-11	6510_hus	0	RapportageHR	2	50	0.1179	-0.1077	0.6509
103094_2016-09-15	7140_meso	0	RapportageHR	1	75	0.5562	0.2415	0.9272
103094_2023-10-12	7140_meso	0	RapportageHR	1	83.3333	0.5416	0.3074	0.912
10317874_2019-07-04	6410_mo	0	RapportageHR	1	69.2308	0.3671	-0.4076	0.7677
1036446_2017-07-12	6230_hmo	1	RapportageHR	0	90.9091	0.6307	0.3403	0.9773
1037522_2018-07-12	6230_hn	1	RapportageHR	0	100	0.7586	0.5577	1
1040518_2017-06-29	6230_hn	1	RapportageHR	0	100	0.6213	0.4229	1
1052582_2018-05-31	6510_hu	0	RapportageHR	0	50	0.1482	-0.2696	0.6721
10622226_2018-06-14	6510_hus	0	RapportageHR	1	60	0.2805	0.0116	0.7967
1062514_2020-05-27	6510_hu	1	RapportageHR	0	90	0.6856	0.5039	0.9571
1062930_2016-07-28	6410_mo	0	RapportageHR	2	76.9231	0.4719	0.0263	0.9186
1062930_2023-08-03	6410_mo	0	RapportageHR	1	76.9231	0.5071	0.0722	0.9289
1068086_2019-05-23	6230_ha	1	RapportageHR	0	77.7778	0.5	0.0268	0.8167
1068793_2020-05-27	6510_hu	1	RapportageHR	0	80	0.3534	0.0577	0.8
10717462_2019-05-16	6510_hus	0	RapportageHR	1	60	0.2808	0.0124	0.8364
10766985_2016-06-09	6410_mo	0	RapportageHR	3	53.8462	0.3422	-0.2097	0.8285
107830_2018-05-30	7140_meso	0	RapportageHR	1	58.3333	0.3177	-0.1432	0.751
10840262_2019-07-08	6410_mo	0	RapportageHR	1	69.2308	0.3793	-0.4023	0.7462
1085366_2017-07-31	6230_hn	1	RapportageHR	0	100	0.7619	0.535	1
1087350_2016-09-20	7140_meso	0	RapportageHR	1	58.3333	0.2092	-0.3121	0.6572
1087350_2024-07-15	7140_meso	0	RapportageHR	2	58.3333	0.2352	-0.2396	0.7288
1088302_2024-07-24	7140_oli	0	RapportageHR	1	90	0.5879	0.2105	0.9667
1095890_2018-07-12	6230_ha	1	RapportageHR	0	88.8889	0.6843	0.4056	0.9722
1095890_2018-07-12	6230_hn	1	RapportageHR	0	88.8889	0.6843	0.4056	0.9722
