id	type_analysis	criterium	status_criterium	aggregatiemethode	n_zb_ongunstig	aandeel_gunstig	index_mean_ind	doelbereik_mean_ind
100297_2016-06-07	6510_hu	Structuur	0	RapportageHR	0	50	0.0514	0.7
100297_2016-06-07	6510_hu	Vegetatie	0	RapportageHR	0	0	-1	0
100297_2016-06-07	6510_hu	Verstoring	0	RapportageHR	1	83.3333	0.5723	0.9389
1004470_2015-08-18	7140_meso	Structuur	1	RapportageHR	0	100	0.3957	1
1004470_2015-08-18	7140_meso	Vegetatie	0	RapportageHR	0	50	-0.23	0.75
1004470_2015-08-18	7140_meso	Verstoring	0	RapportageHR	1	87.5	0.7245	0.9703
1004470_2023-08-18	7140_meso	Structuur	0	RapportageHR	0	50	0.2688	0.9881
1004470_2023-08-18	7140_meso	Vegetatie	0	RapportageHR	0	50	-0.115	0.875
1004470_2023-08-18	7140_meso	Verstoring	0	RapportageHR	1	87.5	0.8657	0.9991
1007490_2014-06-05	6510_hu	Structuur	0	RapportageHR	0	50	0.3321	0.9
1007490_2014-06-05	6510_hu	Vegetatie	0	RapportageHR	0	0	-0.9119	0.0881
1007490_2014-06-05	6510_hu	Verstoring	0	RapportageHR	2	66.6667	0.5519	0.8964
1007490_2014-06-05	6510_hua	Structuur	0	RapportageHR	0	50	0.3321	0.9
1007490_2014-06-05	6510_hua	Vegetatie	0	RapportageHR	0	0	-1	0
1007490_2014-06-05	6510_hua	Verstoring	0	RapportageHR	3	62.5	0.4854	0.8687
1007490_2014-06-05	6510_huk	Structuur	0	RapportageHR	0	0	-0.55	0.45
1007490_2014-06-05	6510_huk	Vegetatie	0	RapportageHR	0	0	-1	0
1007490_2014-06-05	6510_huk	Verstoring	0	RapportageHR	1	83.3333	0.7169	0.898
1007490_2014-06-05	6510_hus	Structuur	0	RapportageHR	0	50	0.3321	0.9
1007490_2014-06-05	6510_hus	Vegetatie	0	RapportageHR	0	0	-0.9119	0.0881
1007490_2014-06-05	6510_hus	Verstoring	0	RapportageHR	2	66.6667	0.5519	0.8964
1008246_2024-08-09	7140_meso	Structuur	0	RapportageHR	0	50	-0.1127	0.748
1008246_2024-08-09	7140_meso	Vegetatie	0	RapportageHR	0	0	-0.7168	0.2832
1008246_2024-08-09	7140_meso	Verstoring	0	RapportageHR	1	87.5	0.7653	0.9028
1012434_2021-07-07	7140_meso	Structuur	0	RapportageHR	0	50	-0.3571	0.5
1012434_2021-07-07	7140_meso	Vegetatie	0	RapportageHR	0	0	-0.7584	0.2416
1012434_2021-07-07	7140_meso	Verstoring	1	RapportageHR	0	100	0.8583	1
1013294_2016-09-20	7140_meso	Structuur	0	RapportageHR	0	50	0.0643	0.85
1013294_2016-09-20	7140_meso	Vegetatie	0	RapportageHR	0	50	-0.4182	0.5818
1013294_2016-09-20	7140_meso	Verstoring	0	RapportageHR	2	75	0.6646	0.9602
