versie	schaal	type_resultaat	habitattype	sbzh	aandeel_gunstig_min	aandeel_gunstig_max	beoordeling	opp_gunstig_ha	opp_ongunstig_ha	opp_onbekend_ha
Versie 3	Vlaanderen	Habitattype	5130	Binnen & Buiten	43.17	43.17	Niet goed	9	11.85	0
Versie 3	Vlaanderen	SBZH	5130	Binnen	69.71	69.71	Niet goed	9	3.91	0
