versie	schaal	periode	type_resultaat	habitattype	sbzh	habitatsubtype	n_obs	parameter	mean	llci_0.95	ulci_0.95	klasse	periode_ref	jaar_min	jaar_max	verschil_jaar
Versie 3	Vlaanderen	c_1	Habitattype	2310	Binnen & Buiten	NA	24	aandeel_gunstig	3.9	0.28	17.2	NA	NA	2014	2018	NA
Versie 3	Vlaanderen	c_1	SBZH	2310	Binnen	NA	24	aandeel_gunstig	3.89	0.27	16.12	NA	NA	2014	2018	NA
Versie 3	Vlaanderen	c_1	Habitatsubtype	2330	Binnen & Buiten	2330_bu	18	aandeel_gunstig	11.61	1.06	40.67	NA	NA	2014	2017	NA
Versie 3	Vlaanderen	c_1	Habitattype	2330	Binnen & Buiten	2330_bu;2330_dw	20	aandeel_gunstig	9.93	0.9	36.5	NA	NA	2014	2017	NA
Versie 3	Vlaanderen	c_1	SBZH	2330	Binnen	2330_bu;2330_dw	17	aandeel_gunstig	0.42	0	0.07	NA	NA	2014	2017	NA
Versie 3	Vlaanderen	c_1	Habitattype	4010	Binnen & Buiten	NA	25	aandeel_gunstig	22.66	8.13	41.94	NA	NA	2014	2018	NA
Versie 3	Vlaanderen	c_1	SBZH	4010	Binnen	NA	25	aandeel_gunstig	22.69	8.22	41.98	NA	NA	2014	2018	NA
Versie 3	Vlaanderen	c_1	Habitattype	4030	Binnen & Buiten	NA	34	aandeel_gunstig	48	26.4	71.06	NA	NA	2014	2017	NA
Versie 3	Vlaanderen	c_1	SBZH	4030	Binnen	NA	31	aandeel_gunstig	38.2	21.93	56.04	NA	NA	2014	2017	NA
Versie 3	Vlaanderen	c_2	Habitattype	2310	Binnen & Buiten	NA	24	aandeel_gunstig	36.45	19.5	56.57	NA	NA	2022	2024	NA
Versie 3	Vlaanderen	c_2	Habitattype	2310	Binnen & Buiten	NA	24	verschil_aandeel_gunstig_abs	32.55	12.08	53.27	1	c_1	2014	2024	7.8
Versie 3	Vlaanderen	c_2	Habitattype	2310	Binnen & Buiten	NA	24	verschil_aandeel_gunstig_rel	2315.96	99.89	11945.69	1	c_1	2014	2024	7.8
Versie 3	Vlaanderen	c_2	SBZH	2310	Binnen	NA	24	aandeel_gunstig	36.18	18.27	57.35	NA	NA	2022	2024	NA
Versie 3	Vlaanderen	c_2	SBZH	2310	Binnen	NA	24	verschil_aandeel_gunstig_abs	32.28	12.31	54.71	1	c_1	2014	2024	7.8
Versie 3	Vlaanderen	c_2	SBZH	2310	Binnen	NA	24	verschil_aandeel_gunstig_rel	2751.9	93.65	13065.93	1	c_1	2014	2024	7.8
Versie 3	Vlaanderen	c_2	Habitatsubtype	2330	Binnen & Buiten	2330_bu	18	aandeel_gunstig	14.65	1.87	43.79	NA	NA	2022	2024	NA
