schaal	versie	type_resultaat	habitattype	sbzh	habitatsubtype	n_obs	index_hq_mean	index_hq_llci_0.95	index_hq_ulci_0.95
Vlaanderen	Versie 3	Habitattype	2310	Binnen & Buiten	NA	99	0.154262150551868	0.109530280792234	0.198994020311503
Vlaanderen	Versie 3	SBZH	2310	Binnen	NA	94	0.148110638297872	0.101228294162475	0.19499298243327
Vlaanderen	Versie 3	SBZH	2310	Buiten	NA	5	0.19456	0.0126954602629749	0.376424539737025
Vlaanderen	Versie 3	Habitatsubtype	2330	Binnen & Buiten	2330_bu	97	0.118288167746479	0.0725092285586968	0.164067106934262
Vlaanderen	Versie 3	Habitatsubtype	2330	Binnen & Buiten	2330_dw	21	-7.68286374794773e-05	-0.091471714563001	0.0913180572880421
Vlaanderen	Versie 3	Habitattype	2330	Binnen & Buiten	2330_bu; 2330_dw	118	0.104274441589372	0.062649762263652	0.145899120915092
Vlaanderen	Versie 3	SBZH	2330	Binnen	2330_bu; 2330_dw	106	0.108230753233865	0.0656479539442438	0.150813552523486
Vlaanderen	Versie 3	SBZH	2330	Buiten	2330_dw; 2330_bu	12	0.0909557418941745	-0.0591751993672193	0.241086683155568
Vlaanderen	Versie 3	Habitattype	4010	Binnen & Buiten	NA	69	-0.184407540190002	-0.252718795629458	-0.116096284750545
Vlaanderen	Versie 3	SBZH	4010	Binnen	NA	68	-0.18375	-0.253864573034276	-0.113635426965725
Vlaanderen	Versie 3	SBZH	4010	Buiten	NA	1	-0.2014	NA	NA
Vlaanderen	Versie 3	Habitattype	4030	Binnen & Buiten	NA	121	0.160211240707989	0.115244647454119	0.205177833961858
Vlaanderen	Versie 3	SBZH	4030	Binnen	NA	111	0.139093693693694	0.092259923203312	0.185927464184075
Vlaanderen	Versie 3	SBZH	4030	Buiten	NA	10	0.27253	0.126713947202816	0.418346052797184
