id	type_analysis	status	aggregatiemethode	index_min_min	index_min_harm	index_harm_harm	versie	kwaliteitsniveau
1250770_2017-07-06	2330_bu	1	RapportageHR	-0.5	-0.12603305785124	-0.0956914193831311	Versie 3	1
125394_2015-06-01	2310	0	RapportageHR	-1	-1	-1	Versie 3	1
125394_2023-09-07	4030	0	RapportageHR	-1	-1	-1	Versie 3	1
125998_2016-10-24	4030	1	RapportageHR	-1	-1	-1	Versie 3	1
1272114_2017-06-29	2330_dw	0	RapportageHR	-1	-1	-1	Versie 3	1
1272114_2023-09-06	2330_dw	0	RapportageHR	-1	-1	-1	Versie 3	1
1274486_2018-07-19	2330_bu	0	RapportageHR	-0.95	-0.891304347826087	-0.810546459706571	Versie 3	1
1274806_2018-08-23	4030	1	RapportageHR	-1	-1	-1	Versie 3	1
127710_2016-11-16	2310	0	RapportageHR	-1	-1	-1	Versie 3	1
127710_2024-06-19	2310	0	RapportageHR	-1	-1	-1	Versie 3	1
1284946_2017-07-13	2330_bu	0	RapportageHR	-1	-1	-1	Versie 3	1
1285330_2018-07-31	2330_bu	0	RapportageHR	-1	-1	-1	Versie 3	1
1285330_2018-07-31	2330_dw	0	RapportageHR	-1	-1	-1	Versie 3	1
128722_2022-09-20	4030	1	RapportageHR	-1	-1	-1	Versie 3	1
128786_2018-07-18	4030	1	RapportageHR	-1	-1	-1	Versie 3	1
129234_2014-09-11	4010	0	RapportageHR	-1	-1	-1	Versie 3	1
129234_2022-09-22	4010	0	RapportageHR	-1	-1	-1	Versie 3	1
1297718_2018-09-17	2330_bu	0	RapportageHR	-1	-1	-1	Versie 3	1
1303926_2017-07-14	2330_bu	0	RapportageHR	-1	-1	-1	Versie 3	1
1313142_2017-07-27	2330_bu	1	RapportageHR	-0.533333333333333	-0.410635155096012	-0.22781472949965	Versie 3	1
131806_2016-10-20	4010	1	RapportageHR	-1	-1	-1	Versie 3	1
131958_2023-09-13	2330_bu	0	RapportageHR	-0.9	-0.772727272727273	-0.624852137666874	Versie 3	1
1328054_2017-08-22	2330_bu	1	RapportageHR	-1	-1	-1	Versie 3	1
1340342_2018-09-11	2310	0	RapportageHR	-1	-1	-1	Versie 3	1
134098_2014-09-09	2310	0	RapportageHR	-1	-1	-1	Versie 3	1
134098_2023-09-07	4030	0	RapportageHR	-1	-1	-1	Versie 3	1
