id	type_analysis	criterium	status_criterium	aggregatiemethode	index_min_criterium	index_harm_criterium	versie	kwaliteitsniveau
105682_2014-09-08	2310	Verstoring	0	RapportageHR	-0.75	-0.414032382420971	Versie 3	1
1065910_2017-07-31	2330_bu	Structuur	1	RapportageHR	0.0555555555555555	0.349989458148851	Versie 3	1
1065910_2017-07-31	2330_bu	Vegetatie	0	RapportageHR	-0.5	-0.5	Versie 3	1
1065910_2017-07-31	2330_bu	Verstoring	0	RapportageHR	-0.464285714285714	0.0369921164342024	Versie 3	1
106614_2016-11-17	4010	Structuur	1	RapportageHR	0.852941176470588	0.852941176470588	Versie 3	1
106614_2016-11-17	4010	Vegetatie	0	RapportageHR	-1	-1	Versie 3	1
106614_2016-11-17	4010	Verstoring	0	RapportageHR	-0.75	-0.558139534883721	Versie 3	1
10706_2015-06-01	2310	Structuur	0	RapportageHR	-0.55	-0.289473684210526	Versie 3	1
10706_2015-06-01	2310	Vegetatie	0	RapportageHR	-1	-1	Versie 3	1
10706_2015-06-01	2310	Verstoring	0	RapportageHR	-0.75	-0.278048780487805	Versie 3	1
10706_2023-09-07	4030	Structuur	1	RapportageHR	0	0.25	Versie 3	1
10706_2023-09-07	4030	Vegetatie	1	RapportageHR	0	0	Versie 3	1
10706_2023-09-07	4030	Verstoring	1	RapportageHR	0.94	0.9846547314578	Versie 3	1
1076854_2016-10-04	2330_bu	Structuur	0	RapportageHR	-1	-1	Versie 3	1
1076854_2016-10-04	2330_bu	Vegetatie	0	RapportageHR	-0.5	-0.5	Versie 3	1
1076854_2016-10-04	2330_bu	Verstoring	0	RapportageHR	-0.464285714285714	-0.224137931034483	Versie 3	1
1078198_2018-08-22	4030	Structuur	0	RapportageHR	-1	-1	Versie 3	1
1078198_2018-08-22	4030	Vegetatie	0	RapportageHR	-1	-1	Versie 3	1
1078198_2018-08-22	4030	Verstoring	0	RapportageHR	-0.25	0.357215967246673	Versie 3	1
1085366_2017-07-20	2330_bu	Structuur	0	RapportageHR	-1	-1	Versie 3	1
1085366_2017-07-20	2330_bu	Vegetatie	0	RapportageHR	-1	-1	Versie 3	1
1085366_2017-07-20	2330_bu	Verstoring	0	RapportageHR	-0.464285714285714	0.0369921164342024	Versie 3	1
1092434_2017-07-10	2330_bu	Structuur	1	RapportageHR	0.0555555555555555	0.22954822954823	Versie 3	1
1092434_2017-07-10	2330_bu	Vegetatie	0	RapportageHR	-1	-1	Versie 3	1
1092434_2017-07-10	2330_bu	Verstoring	0	RapportageHR	-0.333333333333333	-0.131145106193376	Versie 3	1
1110750_2016-10-03	2330_bu	Structuur	0	RapportageHR	-1	-1	Versie 3	1
1110750_2016-10-03	2330_bu	Vegetatie	0	RapportageHR	-1	-1	Versie 3	1
1110750_2016-10-03	2330_bu	Verstoring	0	RapportageHR	-0.583333333333333	-0.158878504672897	Versie 3	1
111326_2014-08-19	4010	Structuur	1	RapportageHR	0.264705882352941	0.264705882352941	Versie 3	1
111326_2014-08-19	4010	Vegetatie	0	RapportageHR	-1	-1	Versie 3	1
111326_2014-08-19	4010	Verstoring	1	RapportageHR	0.25	0.538461538461538	Versie 3	1
111326_2022-09-13	4030	Structuur	0	RapportageHR	-1	-1	Versie 3	1
111326_2022-09-13	4030	Vegetatie	0	RapportageHR	-1	-1	Versie 3	1
111326_2022-09-13	4030	Verstoring	0	RapportageHR	-0.861111111111111	-0.540496634950105	Versie 3	1
1114582_2018-09-04	2330_bu	Structuur	0	RapportageHR	-1	-1	Versie 3	1
1114582_2018-09-04	2330_bu	Vegetatie	0	RapportageHR	-0.5	-0.5	Versie 3	1
1114582_2018-09-04	2330_bu	Verstoring	1	RapportageHR	0.5	0.684241019698725	Versie 3	1
111918_2018-09-05	4030	Structuur	0	RapportageHR	-1	-1	Versie 3	1
111918_2018-09-05	4030	Vegetatie	0	RapportageHR	-1	-1	Versie 3	1
111918_2018-09-05	4030	Verstoring	1	RapportageHR	0.55	0.847066567271536	Versie 3	1
11218_2014-09-10	4010	Structuur	1	RapportageHR	0.852941176470588	0.852941176470588	Versie 3	1
11218_2014-09-10	4010	Vegetatie	0	RapportageHR	-1	-1	Versie 3	1
11218_2014-09-10	4010	Verstoring	0	RapportageHR	-0.75	-0.555555555555556	Versie 3	1
11218_2022-09-16	4010	Structuur	1	RapportageHR	0	0	Versie 3	1
11218_2022-09-16	4010	Vegetatie	0	RapportageHR	-1	-1	Versie 3	1
11218_2022-09-16	4010	Verstoring	0	RapportageHR	-0.75	-0.604651162790698	Versie 3	1
112850_2018-07-26	4030	Structuur	0	RapportageHR	-1	-1	Versie 3	1
112850_2018-07-26	4030	Vegetatie	1	RapportageHR	0	0	Versie 3	1
112850_2018-07-26	4030	Verstoring	0	RapportageHR	-0.75	-0.435684647302905	Versie 3	1
1131446_2017-08-25	2330_bu	Structuur	1	RapportageHR	0.0555555555555555	0.0583260425780112	Versie 3	1
1131446_2017-08-25	2330_bu	Vegetatie	0	RapportageHR	-1	-1	Versie 3	1
1131446_2017-08-25	2330_bu	Verstoring	0	RapportageHR	-0.411111111111111	-0.0993516377537385	Versie 3	1
1140086_2017-07-25	2330_bu	Structuur	0	RapportageHR	-0.85	-0.730111524163569	Versie 3	1
1140086_2017-07-25	2330_bu	Vegetatie	0	RapportageHR	-1	-1	Versie 3	1
1140086_2017-07-25	2330_bu	Verstoring	0	RapportageHR	-0.821428571428571	-0.545627521120329	Versie 3	1
1143734_2018-08-14	4030	Structuur	0	RapportageHR	-1	-1	Versie 3	1
1143734_2018-08-14	4030	Vegetatie	1	RapportageHR	0	0	Versie 3	1
1143734_2018-08-14	4030	Verstoring	1	RapportageHR	-0.388888888888889	0.240464344941957	Versie 3	1
115422_2015-06-23	2310	Structuur	0	RapportageHR	-0.7	-0.571428571428572	Versie 3	1
115422_2015-06-23	2310	Vegetatie	0	RapportageHR	-0.5	-0.5	Versie 3	1
115422_2015-06-23	2310	Verstoring	0	RapportageHR	-0.75	-0.547420965058236	Versie 3	1
115638_2017-08-23	4030	Structuur	0	RapportageHR	-1	-1	Versie 3	1
115638_2017-08-23	4030	Vegetatie	1	RapportageHR	0	0	Versie 3	1
115638_2017-08-23	4030	Verstoring	0	RapportageHR	-0.75	-0.3	Versie 3	1
116434_2018-08-08	2310	Structuur	0	RapportageHR	-0.25	0.153846153846154	Versie 3	1
116434_2018-08-08	2310	Vegetatie	0	RapportageHR	-0.5	-0.5	Versie 3	1
116434_2018-08-08	2310	Verstoring	0	RapportageHR	-0.0555555555555555	0.302247110345323	Versie 3	1
116434_2024-07-05	2310	Structuur	0	RapportageHR	-0.85	-0.621848739495799	Versie 3	1
116434_2024-07-05	2310	Vegetatie	0	RapportageHR	-0.5	-0.5	Versie 3	1
116434_2024-07-05	2310	Verstoring	0	RapportageHR	-0.583333333333333	-0.0940929255194958	Versie 3	1
117202_2014-09-10	2310	Structuur	0	RapportageHR	-1	-1	Versie 3	1
117202_2014-09-10	2310	Vegetatie	0	RapportageHR	-1	-1	Versie 3	1
117202_2014-09-10	2310	Verstoring	0	RapportageHR	-0.75	-0.276190476190476	Versie 3	1
117202_2022-09-16	2310	Structuur	0	RapportageHR	-1	-1	Versie 3	1
117202_2022-09-16	2310	Vegetatie	0	RapportageHR	-1	-1	Versie 3	1
117202_2022-09-16	2310	Verstoring	0	RapportageHR	-0.75	-0.28	Versie 3	1
1172854_2017-07-25	2330_bu	Structuur	1	RapportageHR	0.0555555555555555	0.351430976430976	Versie 3	1
1172854_2017-07-25	2330_bu	Vegetatie	0	RapportageHR	-1	-1	Versie 3	1
1172854_2017-07-25	2330_bu	Verstoring	1	RapportageHR	0.966666666666667	0.98876404494382	Versie 3	1
11742_2016-10-27	4010	Structuur	1	RapportageHR	0.558823529411765	0.558823529411765	Versie 3	1
11742_2016-10-27	4010	Vegetatie	0	RapportageHR	-1	-1	Versie 3	1
11742_2016-10-27	4010	Verstoring	0	RapportageHR	-0.75	-0.555803571428571	Versie 3	1
11742_2023-06-28	4010	Structuur	1	RapportageHR	0	0	Versie 3	1
11742_2023-06-28	4010	Vegetatie	0	RapportageHR	-1	-1	Versie 3	1
11742_2023-06-28	4010	Verstoring	0	RapportageHR	-0.75	-0.555555555555556	Versie 3	1
1180534_2019-08-13	2330_bu	Structuur	1	RapportageHR	0.305555555555556	0.579831932773109	Versie 3	1
1180534_2019-08-13	2330_bu	Vegetatie	0	RapportageHR	-0.5	-0.5	Versie 3	1
1180534_2019-08-13	2330_bu	Verstoring	1	RapportageHR	-0.222222222222222	0.249861802100608	Versie 3	1
1196982_2017-08-24	2330_bu	Structuur	1	RapportageHR	0.0611111111111111	0.270658263305322	Versie 3	1
1196982_2017-08-24	2330_bu	Vegetatie	0	RapportageHR	-1	-1	Versie 3	1
1196982_2017-08-24	2330_bu	Verstoring	1	RapportageHR	-0.0555555555555555	0.348017621145374	Versie 3	1
120018_2014-09-15	4010	Structuur	0	RapportageHR	-1	-1	Versie 3	1
120018_2014-09-15	4010	Vegetatie	0	RapportageHR	-1	-1	Versie 3	1
120018_2014-09-15	4010	Verstoring	0	RapportageHR	-0.75	-0.609756097560976	Versie 3	1
120018_2022-09-22	4010	Structuur	1	RapportageHR	0	0	Versie 3	1
120018_2022-09-22	4010	Vegetatie	0	RapportageHR	-1	-1	Versie 3	1
120018_2022-09-22	4010	Verstoring	1	RapportageHR	0	0.333333333333333	Versie 3	1
120110_2014-09-24	4010	Structuur	1	RapportageHR	0.558823529411765	0.558823529411765	Versie 3	1
120110_2014-09-24	4010	Vegetatie	0	RapportageHR	-1	-1	Versie 3	1
120110_2014-09-24	4010	Verstoring	1	RapportageHR	0.25	0.403508771929824	Versie 3	1
120110_2019-08-13	4010	Structuur	1	RapportageHR	0	0	Versie 3	1
120110_2019-08-13	4010	Vegetatie	0	RapportageHR	-1	-1	Versie 3	1
120110_2019-08-13	4010	Verstoring	1	RapportageHR	0.7	0.794444444444445	Versie 3	1
120478_2023-08-18	2330_dw	Structuur	0	RapportageHR	-0.738464519966011	-0.738464519966011	Versie 3	1
120478_2023-08-18	2330_dw	Vegetatie	0	RapportageHR	-1	-1	Versie 3	1
120478_2023-08-18	2330_dw	Verstoring	0	RapportageHR	-0.0555555555555555	0.26171875	Versie 3	1
120530_2017-07-27	4030	Structuur	1	RapportageHR	0	0.25	Versie 3	1
120530_2017-07-27	4030	Vegetatie	0	RapportageHR	-1	-1	Versie 3	1
120530_2017-07-27	4030	Verstoring	1	RapportageHR	0.9	0.946335499646098	Versie 3	1
120530_2024-07-08	4030	Structuur	1	RapportageHR	0	0.25	Versie 3	1
120530_2024-07-08	4030	Vegetatie	0	RapportageHR	-1	-1	Versie 3	1
120530_2024-07-08	4030	Verstoring	1	RapportageHR	0.7	0.868402024584237	Versie 3	1
1209270_2018-08-16	2330_bu	Structuur	0	RapportageHR	-1	-1	Versie 3	1
1209270_2018-08-16	2330_bu	Vegetatie	0	RapportageHR	-1	-1	Versie 3	1
1209270_2018-08-16	2330_bu	Verstoring	0	RapportageHR	-0.821428571428571	-0.590883616663553	Versie 3	1
1209270_2018-08-16	2330_dw	Structuur	1	RapportageHR	0.0199	0.0199	Versie 3	1
1209270_2018-08-16	2330_dw	Vegetatie	0	RapportageHR	-1	-1	Versie 3	1
1209270_2018-08-16	2330_dw	Verstoring	0	RapportageHR	-0.188888888888889	0.154150197628458	Versie 3	1
1213150_2017-08-14	2330_bu	Structuur	1	RapportageHR	0.311111111111111	0.434420985284709	Versie 3	1
1213150_2017-08-14	2330_bu	Vegetatie	0	RapportageHR	-1	-1	Versie 3	1
1213150_2017-08-14	2330_bu	Verstoring	1	RapportageHR	-0.0333333333333333	0.462341095940024	Versie 3	1
122578_2014-08-29	4010	Structuur	1	RapportageHR	0.558823529411765	0.558823529411765	Versie 3	1
122578_2014-08-29	4010	Vegetatie	0	RapportageHR	-1	-1	Versie 3	1
122578_2014-08-29	4010	Verstoring	0	RapportageHR	-0.75	-0.564102564102564	Versie 3	1
122578_2022-08-30	4010	Structuur	1	RapportageHR	0.558823529411765	0.558823529411765	Versie 3	1
122578_2022-08-30	4010	Vegetatie	0	RapportageHR	-1	-1	Versie 3	1
122578_2022-08-30	4010	Verstoring	1	RapportageHR	0.6	0.648484848484848	Versie 3	1
12274_2014-08-22	4030	Structuur	0	RapportageHR	-1	-1	Versie 3	1
12274_2014-08-22	4030	Vegetatie	0	RapportageHR	-1	-1	Versie 3	1
12274_2014-08-22	4030	Verstoring	0	RapportageHR	-0.75	-0.281461607256931	Versie 3	1
