versie	schaal	type_resultaat	habitattype	sbzh	criterium	indicator	beoordeling	opp_gunstig_ha	opp_ongunstig_ha	opp_onbekend_ha	belang	aandeel_gunstig	aandeel_gunstig_llci	aandeel_gunstig_ulci
Versie 3	Vlaanderen	Habitattype	5130	Binnen & Buiten	Structuur	populatiegrootte	Goed	18.57	2.28	0	zb	89.06	89.06	89.06
Versie 3	Vlaanderen	Habitattype	5130	Binnen & Buiten	Structuur	sexratio	Goed	20.7	0	0.15	b	99.64	99.28	100
Versie 3	Vlaanderen	Habitattype	5130	Binnen & Buiten	Verstoring	verbossing	Goed	18.57	0	2.28	b	94.53	89.06	100
Versie 3	Vlaanderen	Habitattype	5130	Binnen & Buiten	Verstoring	vergrassing	Goed	18.57	0	2.28	zb	94.53	89.06	100
Versie 3	Vlaanderen	Habitattype	5130	Binnen & Buiten	Structuur	verjonging	Niet goed	11.45	7.94	1.46	zb	58.42	54.92	61.92
Versie 3	Vlaanderen	Habitattype	5130	Binnen & Buiten	Verstoring	verruiging	Goed	16.94	1.63	2.28	zb	86.715	81.25	92.18
Versie 3	Vlaanderen	SBZH	5130	Binnen	Structuur	populatiegrootte	Goed	10.63	2.28	0	zb	82.34	82.34	82.34
Versie 3	Vlaanderen	SBZH	5130	Binnen	Structuur	sexratio	Goed	12.76	0	0.15	b	99.42	98.84	100
Versie 3	Vlaanderen	SBZH	5130	Binnen	Verstoring	verbossing	Goed	10.63	0	2.28	b	91.17	82.34	100
Versie 3	Vlaanderen	SBZH	5130	Binnen	Verstoring	vergrassing	Goed	10.63	0	2.28	zb	91.17	82.34	100
Versie 3	Vlaanderen	SBZH	5130	Binnen	Structuur	verjonging	Goed	11.45	0	1.46	zb	94.345	88.69	100
Versie 3	Vlaanderen	SBZH	5130	Binnen	Verstoring	verruiging	Onbekend	9	1.63	2.28	zb	78.54	69.71	87.37
