schaal	type_resultaat	habitattype	sbzh	habitatsubtype	index_diff_mean	index_diff_llci_0.95	index_diff_ulci_0.95	index_diff_rel	index_diff_rel_llci_0.95	index_diff_rel_ulci_0.95	klasse
Vlaanderen	Habitattype	2310	Binnen & Buiten	NA	0.112929	0.0204103	0.205448	2.021	0.365	3.677	2
Vlaanderen	SBZH	2310	Binnen	NA	0.112929	0.0204103	0.205448	2.021	0.365	3.677	2
Vlaanderen	Habitatsubtype	2330	Binnen & Buiten	2330_bu	0.106579	0.00581308	0.207345	1.099	0.06	2.138	2
Vlaanderen	Habitatsubtype	2330	Binnen & Buiten	2330_dw	-0.0330265	NA	NA	0.147	NA	NA	NA
Vlaanderen	Habitattype	2330	Binnen & Buiten	2330_bu; 2330_dw	0.104633	0.0147339	0.194533	2.356	0.332	4.38	2
Vlaanderen	SBZH	2330	Binnen	2330_bu; 2330_dw	0.170668	0.0835422	0.257793	3.279	1.605	4.954	2
Vlaanderen	SBZH	2330	Buiten	2330_bu; 2330_dw	-0.117668	-0.19372	-0.0416154	-6.28	-10.339	-2.221	6
Vlaanderen	Habitattype	4010	Binnen & Buiten	NA	0.033432	-0.0939035	0.160767	-0.169	0.474	-0.811	8
Vlaanderen	SBZH	4010	Binnen	NA	0.033432	-0.0939035	0.160767	-0.169	0.474	-0.811	8
Vlaanderen	Habitattype	4030	Binnen & Buiten	NA	0.0715053	0.000966939	0.142044	0.423	0.006	0.84	2
Vlaanderen	SBZH	4030	Binnen	NA	0.0743516	-0.00543687	0.15414	0.543	-0.04	1.126	8
Vlaanderen	SBZH	4030	Buiten	NA	0.0563667	-0.0404585	0.153192	0.165	-0.119	0.449	8
