plot_id	x_mean	y_mean	x_l	y_l	x_r	y_r
ZSCPQ007	144113.49	222439.94	144118.4	222441.07	144108.58	222438.82
ZSCPQ009	144006.26	220655.78	144009.99	220659.1	144002.53	220652.46
ZSCPQ158	141888.67	225074.59	141886.4	225075.73	141890.93	225073.45
ZSCPQ159	141894.81	225083.04	141892.74	225084.48	141896.87	225081.6
ZSCPQ160	141904.23	225095.73	141902.14	225097.18	141906.31	225094.27
ZSCPQ162	141922.85	225120.82	141920.76	225122.41	141924.94	225119.23
ZSCPQ171	141486.52	225515.69	141484.74	225517.63	141488.3	225513.74
ZSCPQ172	140943.83	226241.19	140945.66	226239.5	140942	226242.88
ZSCPQ173	140949.45	226234.38	140951.3	226232.75	140947.6	226236.01
ZSCPQ174	141142.6	226026.53	141141.2	226028.6	141144	226024.46
ZSCPQ175	141254.53	225902.54	141255.93	225905.03	141253.13	225900.04
ZSCPQ176	141031.32	225708.7	141029.84	225709.22	141032.8	225708.18
ZSCPQ177	141053.63	225725.69	141053.6	225727.11	141053.65	225724.26
ZSCPQ178	141056.27	225718.63	141056.94	225719.35	141055.59	225717.9
ZSCPQ179	141057.05	225716.44	141055.59	225717.9	141058.51	225714.97
ZSCPQ180	141066.67	225730.72	141065.98	225731.95	141067.35	225729.48
ZSCPQ181	141088.6	225742.71	141088.21	225743.93	141088.98	225741.49
ZSCPQ182	141117.37	225755	141116.52	225756.19	141118.22	225753.81
ZSCPQ183	141168.53	225796.93	141167.39	225797.66	141169.66	225796.19
ZSCPQ184	144011.32	223848.2	144010.53	223846.64	144012.11	223849.77
ZSCPQ185	144010.92	223838.51	144010.26	223837.04	144011.58	223839.99
ZSCPQ186	144009.88	223794.7	144011.39	223794.58	144008.37	223794.82
ZSCPQ188	144003.57	223679.69	144003.38	223678.2	144003.77	223681.18
ZSCPQ189	143936.8	224598.55	143937.13	224597.07	143936.46	224600.03
ZSCPQ190	143941.63	224599.88	143941.91	224598.69	143941.36	224601.08
ZSCPQ192	141613.66	228251.96	141614.99	228252.61	141612.32	228251.3
ZSCPQ193	141605.92	228231.43	141606.65	228230.16	141605.19	228232.7
ZSCPQ194	141610.43	228175.71	141609.95	228177.09	141610.92	228174.32
ZSCPQ195	141574.27	228256.31	141572.88	228256.01	141575.67	228256.61
ZSCPQ199	141621.57	228212.73	141621.82	228211.23	141621.32	228214.23
ZSCPQ200	141571.89	228419.17	141572.32	228417.78	141571.46	228420.55
ZSCPQ201	141551.86	228394.67	141552.41	228393.31	141551.3	228396.03
ZSCPQ203	141390.96	228742.01	141390.93	228740.52	141390.98	228743.51
ZSCPQ222	145039.64	220187.85	145040.27	220189.34	145039.02	220186.36
ZSCPQ225	145288.57	220092.01	145289.11	220093.53	145288.03	220090.49
ZSCPQ227	145545.08	219962.26	145545.92	219963.6	145544.24	219960.91
ZSCPQ230	145750.39	219821.54	145751.31	219822.8	145749.47	219820.27
ZSCPQ234	145928.97	219630.99	145930.27	219631.9	145927.67	219630.08
ZSCPQ240	146003.49	219206.03	146005.12	219205.46	146001.86	219206.6
ZSCPQ241	146047.46	219193.98	146049.06	219193.7	146045.86	219194.26
ZSCPQ242	146075.64	219187.63	146077.15	219187.08	146074.14	219188.19
ZSCPQ243	146103.82	219177.05	146105.37	219176.64	146102.26	219177.45
ZSCPQ244	146179.41	219158.6	146180.97	219158.36	146177.85	219158.84
ZSCPQ245	146037.5	219175.25	146039.04	219174.91	146035.96	219175.59
ZSCPQ246	145947.18	219046.63	145948.74	219046.33	145945.61	219046.93
ZSCPQ247	145962.46	219044.42	145964.05	219044.16	145960.87	219044.68
ZSCPQ248	146006.37	219032.16	146007.9	219031.74	146004.84	219032.57
ZSCPQ253	145984.97	218993.85	145986.5	218993.59	145983.45	218994.11
ZSCPQ254	145767.26	218408.09	145766.02	218409.06	145768.5	218407.12
ZSCPQ256	145552.02	218182.21	145550.5	218182.81	145553.54	218181.6
ZSCPQ258	145579.74	218164.58	145578.35	218165.27	145581.13	218163.9
ZSCPQ273	141701	225043.79	141699.53	225042.39	141702.47	225045.19
ZSCPQ274	141711.16	225070.93	141709.74	225069.46	141712.57	225072.39
ZSCPQ275	141778.6	224962.03	141777.24	224960.53	141779.96	224963.53
ZSCPQ276	141835.44	225018.5	141834.2	225016.96	141836.69	225020.05
ZSCPQ277	141878.43	225057.47	141877.29	225055.81	141879.57	225059.12
ZSCPQ278	141884.5	224848.87	141883.05	224847.5	141885.94	224850.24
ZSCPQ279	141892.28	224859.2	141890.71	224857.93	141893.86	224860.46
ZSCPQ281	142005.96	224961.39	142004.41	224959.98	142007.51	224962.8
ZSCPQ282	142031.14	224995.14	142029.95	224993.54	142032.32	224996.75
ZSCPQ283	142016.82	224756.38	142015.15	224755.28	142018.49	224757.49
ZSCPQ284	142101.14	224796.35	142099.35	224795.52	142102.94	224797.18
ZSCPQ285	142209.13	224857.06	142207.43	224855.92	142210.84	224858.2
ZSCPQ303	144848.5	221556.22	144848.5	221556.22	NA	NA
ZSCPQ306	144814.36	221506.7	144814.36	221506.7	NA	NA
ZSCPQ307	144803.2	221490.22	144803.2	221490.22	NA	NA
ZSCPQ314	144903.39	221449.82	144903.39	221449.82	NA	NA
