plot_id	plot_pl	x	y	grts_ranking
ZSCPQ328	DUR1a	126205.592	198734.114	32681
ZSCPQ329	DUR2a	135709.592	199918.114	2227625
ZSCPQ330	DUR3a	133821.592	199406.114	3657129
ZSCPQ331	DUR4a	134461.592	199598.114	4115881
ZSCPQ332	DUR5a	132989.592	199086.114	5262761
ZSCPQ333	DUR6a	130013.592	199182.114	5874089
ZSCPQ334	DUR7a	136221.592	199630.114	6225321
ZSCPQ335	DUR8a	134525.592	199662.114	6409641
ZSCPQ336	DUR9a	135453.592	199918.114	6716841
ZSCPQ337	ZSII1a	136733.592	198670.114	289513
ZSCPQ338	ZSII2a	136765.592	197582.114	292585
ZSCPQ339	ZSII3a	136989.592	191630.114	335337
ZSCPQ340	ZSII4a	132893.592	192814.114	954537
ZSCPQ341	ZSII6a	137885.592	193934.114	1117673
ZSCPQ342	ZSII7a	136157.592	197166.114	1254825
ZSCPQ343	ZSII8a	136477.592	197742.114	1320361
ZSCPQ344	ZSII9a	137181.592	195950.114	1378025
ZSCPQ345	ZSII10a	136221.592	191726.114	1466537
ZSCPQ346	ZSII12a	137949.592	194478.114	1722089
ZSCPQ347	ZSII11a	137309.592	196654.114	1554153
ZSCPQ348	ZSII13a	137277.592	196398.114	2012905
ZSCPQ349	ZSII14a	135485.592	192974.114	2031785
ZSCPQ350	ZSII16a	137501.592	197006.114	2078441
ZSCPQ351	ZSII17a	136477.592	198126.114	2866601
ZSCPQ352	ZSII18a	137149.592	196942.114	3454697
ZSCPQ353	ZSII19a	136733.592	197198.114	3962601
ZSCPQ354	ZSII20a	136733.592	191694.114	4005353
ZSCPQ355	ZSII21a	132957.592	192878.114	4100265
ZSCPQ356	ZSII22a	136509.592	198382.114	4177321
ZSCPQ370	ZSI1a	109373.592	190158.114	1481353
ZSCPQ371	ZSIII1a	143581.592	201166.114	381673
ZSCPQ372	ZSIII2a	143261.592	200974.114	709353
ZSCPQ373	ZSIII3a	137629.592	199470.114	830185
ZSCPQ374	ZSIII4a	136733.592	198798.114	1338089
ZSCPQ375	ZSIII5a	142909.592	200750.114	1495785
ZSCPQ376	NETE1a	153853.592	195758.114	2506262
ZSCPQ377	NETE4a	153845.037	195824.56	NA
ZSCPQ378	DIZE1a	153693.592	195662.114	3554838
ZSCPQ379	MAAS1a	243101.6	177742.1	764914
ZSCPQ380	MAAS2a	243133.6	178126.1	1289202
ZSCPQ381	MAAS3a	245885.6	186126.1	1434962
ZSCPQ382	MAAS4a	248413.6	191054.1	2582866
ZSCPQ383	MAAS6a	248061.6	190734.1	3336530
ZSCPQ384	MAAS7a	243101.6	178158.1	3451890
ZSCPQ385	MAAS8a	248413.6	191118.1	3631442
ZSCPQ386	MAAS12a	243101.6	177550.1	6706418
ZSCPQ387	MAAS14a	248381.6	191150.1	7825746
