plot_id	layer	name_nl	name_sc	coverscale_name	cover_description	cover_mean
734	herblayer	Gewone dophei	Erica tetralix L.	Londo	4 : willekeurig (35-45%)	40
734	herblayer	Grove den	Pinus sylvestris L.	Londo	r1 : sporadisch (< 1%)	1
734	herblayer	Pijpenstrootje	Molinia caerulea (L.) Moench	Londo	4 : willekeurig (35-45%)	40
734	herblayer	Struikhei	Calluna vulgaris (L.) Hull	Londo	2 : willekeurig (15-25%)	20
734	mosslayer	Geoord veenmos	Sphagnum denticulatum	Londo	a1 : talrijk (< 1%)	1
734	mosslayer	Veenmos (G)	Sphagnum species	Londo	m2 : zeer talrijk (1-3%)	2
734	mosslayer	Waterveenmos	Sphagnum cuspidatum	Londo	m1 : zeer talrijk (< 1%)	1
2198	herblayer	Akkerkool	Lapsana communis L.	Braun-Blanquet	+      : < 5 % (3 - 20)	1
2198	herblayer	Amerikaanse vogelkers	Prunus serotina Ehrh.	Braun-Blanquet	r       : < 5 % (1 - 2 )	0.25
2198	herblayer	Boszegge	Carex sylvatica Huds.	Braun-Blanquet	1      : < 5 % (20 - 100)	2.25
2198	herblayer	Geel nagelkruid	Geum urbanum L.	Braun-Blanquet	1      : < 5 % (20 - 100)	2.25
2198	herblayer	Gewone braam (Rubus fruticosus groep)	Rubus fruticosus groep	Braun-Blanquet	3       : 25 - 50  %	37.5
2198	herblayer	Gewone esdoorn	Acer pseudoplatanus L.	Braun-Blanquet	r       : < 5 % (1 - 2 )	0.25
2198	herblayer	Gewone vlier	Sambucus nigra L.	Braun-Blanquet	r       : < 5 % (1 - 2 )	0.25
2198	herblayer	Groot heksenkruid	Circaea lutetiana L.	Braun-Blanquet	1      : < 5 % (20 - 100)	2.25
2198	herblayer	Grote brandnetel	Urtica dioica L.	Braun-Blanquet	+      : < 5 % (3 - 20)	1
2198	herblayer	Haagbeuk	Carpinus betulus L.	Braun-Blanquet	r       : < 5 % (1 - 2 )	0.25
2198	herblayer	Hazelaar	Corylus avellana L.	Braun-Blanquet	NA	NA
2198	herblayer	Hulst	Ilex aquifolium L.	Braun-Blanquet	+      : < 5 % (3 - 20)	1
2198	herblayer	Jakobskruiskruid	Senecio jacobaea L.	Braun-Blanquet	r       : < 5 % (1 - 2 )	0.25
2198	herblayer	Kleefkruid	Galium aparine L.	Braun-Blanquet	+      : < 5 % (3 - 20)	1
2198	herblayer	Kleine veldkers	Cardamine hirsuta L.	Braun-Blanquet	+      : < 5 % (3 - 20)	1
2198	herblayer	Klimop	Hedera helix L.	Braun-Blanquet	+      : < 5 % (3 - 20)	1
2198	herblayer	Lelietje-van-dalen	Convallaria majalis L.	Braun-Blanquet	1      : < 5 % (20 - 100)	2.25
2198	herblayer	Paardebloem	Taraxacum Wiggers sectie Subvulgaria Christians.	Braun-Blanquet	+      : < 5 % (3 - 20)	1
2198	herblayer	Slanke sleutelbloem	Primula elatior (L.) Hill	Braun-Blanquet	r       : < 5 % (1 - 2 )	0.25
2198	herblayer	Smalle stekelvaren	Dryopteris carthusiana (Vill.) H.P. Fuchs	Braun-Blanquet	r       : < 5 % (1 - 2 )	0.25
2198	herblayer	Wilde lijsterbes	Sorbus aucuparia L.	Braun-Blanquet	+      : < 5 % (3 - 20)	1
2198	shrublayer	Gewone esdoorn	Acer pseudoplatanus L.	Braun-Blanquet	2a     : 5 - 12,5 %	8.75
2198	shrublayer	Gewone vlier	Sambucus nigra L.	Braun-Blanquet	r       : < 5 % (1 - 2 )	0.25
2198	shrublayer	Haagbeuk	Carpinus betulus L.	Braun-Blanquet	r       : < 5 % (1 - 2 )	0.25
2198	shrublayer	Hazelaar	Corylus avellana L.	Braun-Blanquet	2a     : 5 - 12,5 %	8.75
2198	shrublayer	Hulst	Ilex aquifolium L.	Braun-Blanquet	2a     : 5 - 12,5 %	8.75
2198	shrublayer	Sporkehout	Frangula alnus Mill.	Braun-Blanquet	r       : < 5 % (1 - 2 )	0.25
2198	shrublayer	Wilde lijsterbes	Sorbus aucuparia L.	Braun-Blanquet	2a     : 5 - 12,5 %	8.75
2198	treelayer	Amerikaanse eik	Quercus rubra L.	Braun-Blanquet	r       : < 5 % (1 - 2 )	0.25
2198	treelayer	Berk (G)	Betula	Braun-Blanquet	2a     : 5 - 12,5 %	8.75
2198	treelayer	Beuk	Fagus sylvatica L.	Braun-Blanquet	2a     : 5 - 12,5 %	8.75
2198	treelayer	Gewone esdoorn	Acer pseudoplatanus L.	Braun-Blanquet	r       : < 5 % (1 - 2 )	0.25
2198	treelayer	Haagbeuk	Carpinus betulus L.	Braun-Blanquet	2b     : 12,5 - 25 %	18.75
2198	treelayer	Hazelaar	Corylus avellana L.	Braun-Blanquet	2b     : 12,5 - 25 %	18.75
2198	treelayer	Hulst	Ilex aquifolium L.	Braun-Blanquet	r       : < 5 % (1 - 2 )	0.25
2198	treelayer	Sporkehout	Frangula alnus Mill.	Braun-Blanquet	r       : < 5 % (1 - 2 )	0.25
2198	treelayer	Wilde lijsterbes	Sorbus aucuparia L.	Braun-Blanquet	2b     : 12,5 - 25 %	18.75
2198	treelayer	Zomereik	Quercus robur L.	Braun-Blanquet	5       : 75 - 100 %	87.5
2610	herblayer	Struikhei	Calluna vulgaris (L.) Hull	Londo	10 : willekeurig (95-100%)	97
2610	herblayer	Zomereik	Quercus robur L.	Londo	r1 : sporadisch (< 1%)	1
2610	mosslayer	Bronsmos	Pleurozium schreberi	Londo	m4 : zeer talrijk (3-5%)	4
2610	mosslayer	Gewoon gaffeltandmos	Dicranum scoparium	Londo	m2 : zeer talrijk (1-3%)	2
2610	mosslayer	Grijs kronkelsteeltje	Campylopus introflexus	Londo	r1 : sporadisch (< 1%)	1
2610	mosslayer	Heideklauwtjesmos	Hypnum jutlandicum	Londo	9 : willekeurig (85-95%)	90
2610	mosslayer	Pluisjesmos (G)	Dicranella species	Londo	r1 : sporadisch (< 1%)	1
2610	shrublayer	Zomereik	Quercus robur L.	Londo	r1 : sporadisch (< 1%)	1
2742	herblayer	Amerikaans krentenboompje	Amelanchier lamarckii F.G. Schroeder	Braun-Blanquet	+      : < 5 % (3 - 20)	1
2742	herblayer	Amerikaanse vogelkers	Prunus serotina Ehrh.	Braun-Blanquet	1      : < 5 % (20 - 100)	2.25
