plot_id	segment_id	perimeter_cm	dbh_mm	height_m	name_nl	status_tree	coppice_individual	intact_tree	tree_id	date_assessment
2198	1	234	780	29.2	Inlandse eik	levend	Individuele boom	Intacte boom	1	16546
2198	1	68	226	20.4	Berk	levend	Individuele boom	Intacte boom	2	16546
2198	1	58	193	18.4	Beuk	levend	Individuele boom	Intacte boom	3	16546
2198	1	66	220	17	Haagbeuk	levend	Individuele boom	Intacte boom	4	16546
2198	1	110	366	24.8	Inlandse eik	levend	Individuele boom	Intacte boom	5	16546
2198	1	25	81	12.2	Hazelaar	levend	Hakhoutstoof	Intacte boom	6	16546
2198	1	150	500	29.3	Inlandse eik	levend	Individuele boom	Intacte boom	7	16546
2198	1	23	76	10.3	Gewone esdoorn	levend	Individuele boom	Intacte boom	8	16546
2198	1	198	660	33.9	Inlandse eik	levend	Individuele boom	Intacte boom	9	16546
2198	1	176	586	33.8	Inlandse eik	levend	Individuele boom	Intacte boom	10	16546
2198	1	205	683	35.5	Inlandse eik	levend	Individuele boom	Intacte boom	11	16546
2198	1	190	633	31.7	Inlandse eik	levend	Individuele boom	Intacte boom	12	16546
2198	1	165	550	30.3	Inlandse eik	levend	Individuele boom	Intacte boom	13	16546
2198	1	134	446	27.4	Haagbeuk	levend	Individuele boom	Intacte boom	14	16546
2198	1	115	383	27.4	Inlandse eik	levend	Individuele boom	Intacte boom	15	16546
2198	1	32	106	13.1	Wilde lijsterbes	levend	Individuele boom	Intacte boom	16	16546
2198	1	29	96	12	Sporkehout	levend	Individuele boom	Intacte boom	17	16546
2198	1	30	100	7.6	Hulst	levend	Individuele boom	Intacte boom	18	16546
2198	1	28	90	10.4	Wilde lijsterbes	levend	Hakhoutstoof	Intacte boom	19	16546
2742	1	87	277	15.4	Zwarte els	levend	Individuele boom	Intacte boom	1	16604
2742	1	22	70	6.7	Wilde lijsterbes	levend	Individuele boom	Intacte boom	2	16604
2742	1	25	80	10	Inlandse eik	levend	Individuele boom	Intacte boom	3	16604
2742	1	44	140	14.6	Berk	levend	Individuele boom	Intacte boom	4	16604
2742	1	29	92	11	Berk	levend	Individuele boom	Intacte boom	5	16604
2742	1	50	159	15.8	Berk	levend	Individuele boom	Intacte boom	6	16604
2742	1	68	216	16	Zwarte els	levend	Individuele boom	Intacte boom	7	16604
2742	1	27	86	8.8	Wilde lijsterbes	levend	Individuele boom	Intacte boom	8	16604
2742	1	29	92	7.6	Inlandse eik	levend	Individuele boom	Intacte boom	9	16604
2742	1	68	215	20.3	Berk	levend	Hakhoutstoof	Intacte boom	10	16604
2742	1	67	213	16.5	Berk	levend	Individuele boom	Intacte boom	11	16604
2742	1	30	95	10.8	Wilde lijsterbes	levend	Individuele boom	Intacte boom	12	16604
2742	1	66	210	17	Amerikaanse vogelkers	levend	Individuele boom	Intacte boom	13	16604
2742	1	83	264	18	Inlandse eik	levend	Individuele boom	Intacte boom	14	16604
2742	1	123	392	22	Berk	levend	Individuele boom	Intacte boom	15	16604
2742	1	158	503	21.2	Zwarte els	levend	Individuele boom	Intacte boom	16	16604
2742	1	55	175	16.7	Inlandse eik	levend	Individuele boom	Intacte boom	17	16604
2742	1	71	227	15	Berk	levend	Hakhoutstoof	Intacte boom	18	16604
2742	1	26	83	8.8	Wilde lijsterbes	levend	Individuele boom	Intacte boom	19	16604
2742	1	61	194	14	Zwarte els	levend	Individuele boom	Intacte boom	20	16604
2742	1	22	70	9.6	Wilde lijsterbes	levend	Individuele boom	Intacte boom	21	16604
2742	1	50	159	12	Berk	levend	Individuele boom	Intacte boom	22	16604
2742	1	60	191	14	Berk	levend	Individuele boom	Intacte boom	23	16604
2742	1	26	83	7.7	Wilde lijsterbes	dood	Individuele boom	Intacte boom	24	16604
