plot_id	mon_cycle	date_assessment	segment_id	area_a4_m2	landuse	stand_type	stand_age	mix_type
2182	1	16562	1	1017.888	bos	gemengd naaldhout	41 - 60 jaar	stamgewijs
2198	1	16546	1	738.059	bos	loofhout	61 - 80 jaar	stamgewijs
2198	1	16546	2	207.694	infrastructuur (wegen, spoorwegen, kanalen)	niet van toepassing	niet van toepassing	niet van toepassing
2198	1	16546	3	72.131	infrastructuur (wegen, spoorwegen, kanalen)	niet van toepassing	niet van toepassing	niet van toepassing
2742	1	16604	1	1017.888	bos	loofhout	21 - 40 jaar	stamgewijs
3894	1	16545	1	1017.888	bos	loofhout	101 - 120 jaar	homogeen
3970	1	16576	1	1011.05	bos	loofhout	61 - 80 jaar	stamgewijs
3970	1	16576	2	6.835	infrastructuur (wegen, spoorwegen, kanalen)	niet van toepassing	niet van toepassing	niet van toepassing
4945	1	17277	1	1017.888	bos	loofhout	121 - 140 jaar	stamgewijs
5702	1	16573	1	1017.888	bos	gemengd naaldhout	61 - 80 jaar	stamgewijs
6278	1	16562	1	1017.888	bos	loofhout	21 - 40 jaar	stamgewijs
7078	1	16562	1	1017.888	bos	loofhout	41 - 60 jaar	stamgewijs
7145	1	16553	1	1017.888	bos	loofhout	81 - 100 jaar	homogeen
7785	1	16573	1	1017.888	bos	loofhout	41 - 60 jaar	stamgewijs
8121	1	16554	1	1017.888	bos	loofhout	61 - 80 jaar	stamgewijs
8217	1	17288	1	1017.888	bos	loofhout	121 - 140 jaar	stamgewijs
9262	1	17067	1	1017.888	bos	loofhout	81 - 100 jaar	stamgewijs
10354	1	16575	1	1017.888	bos	loofhout	41 - 60 jaar	stamgewijs
10513	1	18001	1	1017.846	bos	loofhout	1 - 20 jaar	stamgewijs
11126	1	16584	1	590.002	andere (stort, grondwinning)	loofhout	1 - 20 jaar	stamgewijs
11126	1	16584	2	427.883	andere (stort, grondwinning)	niet van toepassing	niet van toepassing	niet van toepassing
11481	1	17998	1	1017.846	bos	loofhout	1 - 20 jaar	groepsgewijze
11865	1	16554	1	1017.888	bos	loofhout	41 - 60 jaar	stamgewijs
12470	1	16597	1	1017.888	bos	loofhout	41 - 60 jaar	homogeen
12710	1	17704	1	1017.846	bos	loofhout	101 - 120 jaar	homogeen
14457	1	17714	1	1017.846	bos	loofhout	121 - 140 jaar	stamgewijs
15782	1	16562	1	1017.888	bos	loofhout	41 - 60 jaar	homogeen
16633	1	16559	1	972.493	bos	loofhout	41 - 60 jaar	homogeen
16633	1	16559	2	45.392	water (poel, vijver, beek)	niet van toepassing	niet van toepassing	niet van toepassing
18290	1	17990	1	632.287	bos	loofhout	61 - 80 jaar	stamgewijs
18290	1	17990	2	385.6	akker	niet van toepassing	niet van toepassing	niet van toepassing
18898	1	17991	1	725.586	bos	loofhout	81 - 100 jaar	stamgewijs
18898	1	17991	2	127.56	infrastructuur (wegen, spoorwegen, kanalen)	niet van toepassing	niet van toepassing	niet van toepassing
18898	1	17991	3	164.739	bos	loofhout	1 - 20 jaar	stamgewijs
19762	1	17994	1	1017.885	bos	loofhout	81 - 100 jaar	stamgewijs
20274	1	17990	1	1017.885	bos	loofhout	61 - 80 jaar	stamgewijs
20470	1	17990	1	1017.846	bos	loofhout	81 - 100 jaar	stamgewijs
20614	1	17709	1	1017.846	bos	loofhout	61 - 80 jaar	stamgewijs
21025	1	18002	1	1017.846	bos	loofhout	61 - 80 jaar	stamgewijs
22726	1	17710	1	1017.846	bos	loofhout	61 - 80 jaar	stamgewijs
23238	1	17711	1	1017.846	bos	loofhout	81 - 100 jaar	stamgewijs
23257	1	16621	1	766.434	bos	loofhout	1 - 20 jaar	stamgewijs
23257	1	16621	2	251.451	bos	loofhout	1 - 20 jaar	stamgewijs
23385	1	17687	1	1017.846	bos	loofhout	41 - 60 jaar	homogeen
26393	1	17269	1	1017.888	bos	loofhout	> 160 jaar	stamgewijs
26822	1	17710	1	636.176	bos	loofhout	41 - 60 jaar	stamgewijs
26822	1	17710	2	381.71	bos	loofhout	1 - 20 jaar	homogeen
27474	1	17989	1	1017.885	bos	loofhout	81 - 100 jaar	stamgewijs
28546	1	18002	1	1017.885	bos	loofhout	21 - 40 jaar	stamgewijs
31414	1	17988	1	1017.885	bos	loofhout	21 - 40 jaar	homogeen
32214	1	18779	1	1017.888	bos	loofhout	101 - 120 jaar	stamgewijs
34361	1	18733	1	1017.888	bos	loofhout	121 - 140 jaar	stamgewijs
36774	1	17708	1	1017.846	bos	loofhout	ongelijkjarig	stamgewijs
41209	1	18726	1	1017.888	bos	loofhout	101 - 120 jaar	stamgewijs
45305	1	18726	1	1017.888	bos	loofhout	61 - 80 jaar	stamgewijs
45526	1	16658	1	1017.888	bos	loofhout	21 - 40 jaar	homogeen
53561	1	16563	1	43.237	bos	loofhout	61 - 80 jaar	stamgewijs
53561	1	16563	2	508.852	bos	loofhout	81 - 100 jaar	stamgewijs
53561	1	16563	3	465.795	bos	loofhout	21 - 40 jaar	stamgewijs
53970	1	18373	1	1017.888	bos	loofhout	21 - 40 jaar	homogeen
55734	1	18758	1	1017.888	bos	loofhout	21 - 40 jaar	stamgewijs
58198	1	18774	1	1017.888	bos	loofhout	1 - 20 jaar	stamgewijs
68601	1	18775	1	1017.888	bos	loofhout	41 - 60 jaar	stamgewijs
68790	1	18767	1	1017.888	bos	loofhout	21 - 40 jaar	homogeen
71478	1	18774	1	1017.888	bos	loofhout	21 - 40 jaar	stamgewijs
80662	1	18775	1	1017.888	bos	loofhout	41 - 60 jaar	stamgewijs
83318	1	18773	1	1017.888	bos	loofhout	21 - 40 jaar	homogeen
85529	1	16581	1	687.559	bos	loofhout	61 - 80 jaar	stamgewijs
85529	1	16581	2	330.326	grasland	niet van toepassing	niet van toepassing	niet van toepassing
85890	1	16576	1	737.462	bos	loofhout	41 - 60 jaar	stamgewijs
85890	1	16576	2	212.907	bos	loofhout	41 - 60 jaar	stamgewijs
85890	1	16576	3	15.986	water (poel, vijver, beek)	niet van toepassing	niet van toepassing	niet van toepassing
85890	1	16576	4	51.531	grasland	niet van toepassing	niet van toepassing	niet van toepassing
88274	1	16588	1	680.635	bos	loofhout	21 - 40 jaar	stamgewijs
88274	1	16588	2	337.251	bos	naaldhout	41 - 60 jaar	homogeen
96217	1	16568	1	50.926	bos	loofhout	81 - 100 jaar	homogeen
96217	1	16568	2	966.959	bos	loofhout	81 - 100 jaar	homogeen
103609	1	16552	1	408.696	bos	gemengd loofhout	41 - 60 jaar	stamgewijs
103609	1	16552	2	609.189	bos	gemengd loofhout	41 - 60 jaar	stamgewijs
104342	1	16548	1	1017.888	bos	loofhout	41 - 60 jaar	stamgewijs
112286	1	18779	1	1017.888	foa	niet van toepassing	niet van toepassing	niet van toepassing
121042	1	16589	1	1017.888	bos	loofhout	21 - 40 jaar	stamgewijs
