id	type_analysis	criterium	status_criterium	aggregatiemethode	n_zb_ongunstig	aandeel_gunstig	index_mean_ind	doelbereik_mean_ind
ZSCPQ007_2013-10-16	1330_da	Structuur	0	RapportageHR	1	75	0.5026	0.7526
ZSCPQ007_2013-10-16	1330_da	Vegetatie	0	RapportageHR	0	0	-0.7333	0.2666
ZSCPQ007_2013-10-16	1330_da	Verstoring	0	RapportageHR	1	66.6667	0.4667	0.8222
ZSCPQ007_2019-10-10	1330_da	Structuur	1	RapportageHR	0	100	1	1
ZSCPQ007_2019-10-10	1330_da	Vegetatie	0	RapportageHR	0	50	-0.0936	0.7635
ZSCPQ007_2019-10-10	1330_da	Verstoring	0	RapportageHR	1	66.6667	0.5444	0.8778
ZSCPQ009_2013-10-14	1330_da	Structuur	0	RapportageHR	2	50	0	0.5
ZSCPQ009_2013-10-14	1330_da	Vegetatie	0	RapportageHR	0	0	-0.7168	0.2832
ZSCPQ009_2013-10-14	1330_da	Verstoring	0	RapportageHR	1	66.6667	0.5778	0.9222
ZSCPQ009_2019-10-10	1330_da	Structuur	0	RapportageHR	1	75	0.5	0.75
ZSCPQ009_2019-10-10	1330_da	Vegetatie	0	RapportageHR	0	0	-0.7168	0.2832
ZSCPQ009_2019-10-10	1330_da	Verstoring	0	RapportageHR	1	66.6667	0.5778	0.9222
ZSCPQ158_2013-10-16	1330_da	Structuur	1	RapportageHR	0	100	1	1
ZSCPQ158_2013-10-16	1330_da	Vegetatie	0	RapportageHR	0	0	-0.3574	0.6426
ZSCPQ158_2013-10-16	1330_da	Verstoring	0	RapportageHR	1	66.6667	0.3444	0.9444
ZSCPQ158_2019-10-07	1330_da	Structuur	1	RapportageHR	0	100	1	1
ZSCPQ158_2019-10-07	1330_da	Vegetatie	0	RapportageHR	0	0	-0.6334	0.3667
ZSCPQ158_2019-10-07	1330_da	Verstoring	0	RapportageHR	1	66.6667	0.5111	0.9333
ZSCPQ159_2013-10-16	1330_da	Structuur	1	RapportageHR	0	100	1	1
ZSCPQ159_2013-10-16	1330_da	Vegetatie	0	RapportageHR	0	0	-0.3698	0.6302
ZSCPQ159_2013-10-16	1330_da	Verstoring	0	RapportageHR	1	66.6667	0.4	0.9444
ZSCPQ159_2019-10-07	1330_da	Structuur	1	RapportageHR	0	100	1	1
ZSCPQ159_2019-10-07	1330_da	Vegetatie	0	RapportageHR	0	0	-0.8834	0.1167
ZSCPQ159_2019-10-07	1330_da	Verstoring	0	RapportageHR	1	66.6667	0.5889	0.9333
ZSCPQ160_2013-10-16	1330_da	Structuur	1	RapportageHR	0	100	1	1
ZSCPQ160_2013-10-16	1330_da	Vegetatie	0	RapportageHR	0	0	-0.3574	0.6426
ZSCPQ160_2013-10-16	1330_da	Verstoring	0	RapportageHR	1	66.6667	0.3222	0.9444
ZSCPQ160_2019-10-07	1330_da	Structuur	1	RapportageHR	0	100	1	1
ZSCPQ160_2019-10-07	1330_da	Vegetatie	0	RapportageHR	0	50	-0.4342	0.5658
ZSCPQ160_2019-10-07	1330_da	Verstoring	0	RapportageHR	1	66.6667	0.5667	0.9333
ZSCPQ162_2013-10-16	1330_da	Structuur	1	RapportageHR	0	100	1	1
ZSCPQ162_2013-10-16	1330_da	Vegetatie	0	RapportageHR	0	50	-0.177	0.7516
ZSCPQ162_2013-10-16	1330_da	Verstoring	0	RapportageHR	1	66.6667	0.5333	0.9444
ZSCPQ162_2019-10-07	1330_da	Structuur	1	RapportageHR	0	100	1	1
ZSCPQ162_2019-10-07	1330_da	Vegetatie	0	RapportageHR	0	0	-0.7333	0.2666
ZSCPQ162_2019-10-07	1330_da	Verstoring	0	RapportageHR	1	66.6667	0.5889	0.9333
ZSCPQ171_2013-10-18	1330_da	Structuur	1	RapportageHR	0	100	1	1
ZSCPQ171_2013-10-18	1330_da	Vegetatie	0	RapportageHR	0	50	-0.245	0.75
ZSCPQ171_2013-10-18	1330_da	Verstoring	0	RapportageHR	1	66.6667	0.2667	0.9444
ZSCPQ171_2019-10-14	1330_da	Structuur	1	RapportageHR	0	100	1	1
ZSCPQ171_2019-10-14	1330_da	Vegetatie	0	RapportageHR	0	50	-0.2566	0.7076
ZSCPQ171_2019-10-14	1330_da	Verstoring	0	RapportageHR	1	66.6667	0.5222	0.9333
ZSCPQ172_2013-10-19	1330_da	Structuur	0	RapportageHR	1	75	0.5	0.75
ZSCPQ172_2013-10-19	1330_da	Vegetatie	0	RapportageHR	0	50	-0.3143	0.6
ZSCPQ172_2013-10-19	1330_da	Verstoring	0	RapportageHR	1	66.6667	0.5778	0.9111
ZSCPQ172_2019-10-15	1330_da	Structuur	1	RapportageHR	0	100	1	1
ZSCPQ172_2019-10-15	1330_da	Vegetatie	0	RapportageHR	0	50	-0.1715	0.6
ZSCPQ172_2019-10-15	1330_da	Verstoring	0	RapportageHR	1	66.6667	0.4778	0.8111
ZSCPQ173_2013-10-19	1330_da	Structuur	0	RapportageHR	1	75	0.5	0.75
ZSCPQ173_2013-10-19	1330_da	Vegetatie	1	RapportageHR	0	100	0.0197	1
