id	type_analysis	status	aggregatiemethode	index_min_min	index_min_harm	index_harm_harm	n_zb_ongunstig	aandeel_gunstig	index_mean_ind	index_mean_crit
ZSCPQ007_1995-08-16	1330_da	0	RapportageHR	-0.989811512990321	-0.973996308210017	-0.916668130410834	2	55.5555555555556	0.223317	0.087831
ZSCPQ007_2013-10-16	1330_da	0	RapportageHR	-1	-1	-1	2	55.5555555555556	0.215947	0.078627
ZSCPQ007_2019-10-10	1330_da	0	RapportageHR	-0.989811512990321	-0.970643023553908	-0.89054638399526	2	66.6666666666667	0.365509	0.299266
ZSCPQ009_1995-08-20	1330_da	0	RapportageHR	-1	-1	-1	3	44.4444444444444	-0.025926	-0.137037
ZSCPQ009_2013-10-14	1330_da	0	RapportageHR	-1	-1	-1	3	44.4444444444444	0.033296	-0.046352
ZSCPQ009_2019-10-10	1330_da	0	RapportageHR	-1	-1	-1	3	44.4444444444444	0.033296	-0.046352
ZSCPQ158_1995-10-04	1330_da	0	RapportageHR	-0.6	-0.285714285714286	0.0509405882796301	1	88.8888888888889	0.661154	0.578769
ZSCPQ158_2013-10-16	1330_da	0	RapportageHR	-0.8	-0.552238805970149	-0.329195815180965	1	66.6666666666667	0.479852	0.329037
ZSCPQ158_2019-10-07	1330_da	0	RapportageHR	-1	-1	-1	1	66.6666666666667	0.477778	0.296296
ZSCPQ159_1995-10-04	1330_da	0	RapportageHR	-0.6	-0.4375	-0.117826097186751	2	77.7777777777778	0.543842	0.46788
ZSCPQ159_2013-10-16	1330_da	0	RapportageHR	-0.8	-0.552238805970149	-0.32774287982103	1	66.6666666666667	0.495593	0.343389
ZSCPQ159_2019-10-07	1330_da	0	RapportageHR	-1	-1	-1	1	66.6666666666667	0.448148	0.238889
ZSCPQ160_1995-10-04	1330_da	0	RapportageHR	-0.957142857142857	-0.886075949367088	-0.710136472503451	2	77.7777777777778	0.537225	0.479383
ZSCPQ160_2013-10-16	1330_da	0	RapportageHR	-0.8	-0.552238805970149	-0.330118145950732	1	66.6666666666667	0.472444	0.32163
ZSCPQ160_2019-10-07	1330_da	0	RapportageHR	-0.868326666666667	-0.677230280313351	-0.602078814858265	1	77.7777777777778	0.540556	0.381205
ZSCPQ162_1995-10-04	1330_da	0	RapportageHR	-0.166666666666667	0.111111111111111	0.501410286533141	1	88.8888888888889	0.770658	0.720802
ZSCPQ162_2013-10-16	1330_da	0	RapportageHR	-0.496813055169067	-0.186403822665567	-0.0267152786009496	1	77.7777777777778	0.582894	0.452118
ZSCPQ162_2019-10-07	1330_da	0	RapportageHR	-1	-1	-1	1	66.6666666666667	0.481481	0.288889
ZSCPQ171_1995-10-05	1330_da	0	RapportageHR	-0.957142857142857	-0.895953757225433	-0.741375021145473	2	77.7777777777778	0.537132	0.479243
ZSCPQ171_2013-10-18	1330_da	0	RapportageHR	-0.8	-0.552238805970149	-0.317852273189792	1	77.7777777777778	0.478889	0.340556
ZSCPQ171_2019-10-14	1330_da	0	RapportageHR	-0.6	-0.285714285714286	-0.191195402720448	1	77.7777777777778	0.565197	0.425573
ZSCPQ172_1995-10-05	1330_da	0	RapportageHR	-1	-1	-1	2	66.6666666666667	0.339289	0.24597
ZSCPQ172_2013-10-19	1330_da	0	RapportageHR	-1	-1	-1	2	66.6666666666667	0.344974	0.254497
ZSCPQ172_2019-10-15	1330_da	0	RapportageHR	-1	-1	-1	2	66.6666666666667	0.37672	0.302116
ZSCPQ173_1995-10-05	1330_da	0	RapportageHR	-1	-1	-1	2	66.6666666666667	0.406153	0.346267
ZSCPQ173_2013-10-19	1330_da	0	RapportageHR	-1	-1	-1	2	77.7777777777778	0.419193	0.365827
ZSCPQ173_2019-10-15	1330_da	0	RapportageHR	-1	-1	-1	2	55.5555555555556	0.288889	0.17037
ZSCPQ174_1995-10-05	1330_da	0	RapportageHR	-1	-1	-1	2	77.7777777777778	0.534008	0.541753
ZSCPQ174_2013-10-19	1330_da	0	RapportageHR	-1	-1	-1	2	77.7777777777778	0.460725	0.428124
ZSCPQ174_2019-10-15	1330_da	0	RapportageHR	-1	-1	-1	2	77.7777777777778	0.496943	0.482451
ZSCPQ175_1995-10-05	1330_da	0	RapportageHR	-1	-1	-1	2	77.7777777777778	0.514454	0.508718
ZSCPQ175_2013-10-19	1330_da	0	RapportageHR	-1	-1	-1	2	66.6666666666667	0.389552	0.321365
ZSCPQ175_2019-10-15	1330_da	0	RapportageHR	-1	-1	-1	2	55.5555555555556	0.335379	0.240105
ZSCPQ176_1995-10-06	1330_da	0	RapportageHR	-1	-1	-1	2	77.7777777777778	0.461771	0.451916
ZSCPQ176_2013-10-18	1330_da	0	RapportageHR	-1	-1	-1	2	77.7777777777778	0.489324	0.474727
ZSCPQ176_2019-10-14	1330_da	0	RapportageHR	-1	-1	-1	2	77.7777777777778	0.471912	0.448608
ZSCPQ177_1995-10-06	1330_da	0	RapportageHR	-1	-1	-1	2	77.7777777777778	0.491481	0.474259
ZSCPQ177_2013-10-18	1330_da	0	RapportageHR	-1	-1	-1	2	77.7777777777778	0.482017	0.460062
ZSCPQ177_2019-10-14	1330_da	0	RapportageHR	-1	-1	-1	2	77.7777777777778	0.420803	0.381204
ZSCPQ178_1995-10-06	1330_da	0	RapportageHR	-1	-1	-1	2	77.7777777777778	0.499134	0.493146
ZSCPQ178_2013-10-18	1330_da	0	RapportageHR	-1	-1	-1	2	77.7777777777778	0.431262	0.42467
ZSCPQ178_2019-10-14	1330_da	0	RapportageHR	-1	-1	-1	3	66.6666666666667	0.312269	0.308615
ZSCPQ179_1995-10-06	1330_da	0	RapportageHR	-1	-1	-1	2	55.5555555555556	0.270039	0.142095
ZSCPQ179_2013-10-18	1330_da	0	RapportageHR	-1	-1	-1	2	77.7777777777778	0.508693	0.500077
ZSCPQ179_2019-10-14	1330_da	0	RapportageHR	-1	-1	-1	2	66.6666666666667	0.351172	0.267499
ZSCPQ180_1995-10-06	1330_da	0	RapportageHR	-1	-1	-1	2	77.7777777777778	0.460649	0.431715
ZSCPQ180_2013-10-19	1330_da	0	RapportageHR	-1	-1	-1	2	77.7777777777778	0.482697	0.46849
