autonummering;Veldcode;IDToonW;sampling_unit_code;naam;SGO__km²_;SBZ;provincie;x;y;AfstandTot;RankingGRT;SGO;Volgorde_cyclus1;Jaar cyclus 1;jaar_cyclus2;FID_1;UIDN;OIDN;VHAS;VHAG;NAAM_1;REGCODE;REGCODE1;BEHEER;CATC;LBLCATC;BEKNR;BEKNAAM;STRMGEB;KWALDOEL;LBLKWAL;GEO;LBLGEO;VHAZONENR;WTRLICHC;LENGTE;Distance;bron+datum_cyclus1;Opm_cyclus1;bron+datum_cyclus2;Opm_cyclus2;"verplaatsing (geen: 0; origineel: -1 of verplaatst: 1; meetpunt geschrapt door ongeschikt: -2)";
1;Dommel_05;783;1_4_783;DOMMEL;>50;intersecting or downstream;Limburg;223428,5451;215626,0317;8,062744;63762;>10;1;1;2022;25742;380192;96679;7014602;9512;Dommel;L6; ;V0102;1;Geklasseerd, eerste categorie;11;Maasbekken;Maas;310;Viswater;2;< 0.25 m;935;VL05_136;854,42;0,002305;orginele steekproeftrekking 2014;gemeten <= 2019;steekproefvernieuwing2022_2e_cylcus;gemeten in 2022;0;
2;GieBe_01;943;1_4_943;GIELISBEEK;<10;intersecting or downstream;Limburg;228327,8311;200816,6532;10,549351;407506;<10;1;1;;24467;398841;82351;6031294;9663;Gielisbeek;L87; ;W7.13;2;Geklasseerd, tweede categorie;11;Maasbekken;Maas;310;Viswater;0;10 tot 2.5 m;921;L213_133;5505,7;0,003173;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
3;LoeNe_01;1309;1_4_1309;LOEIJENS NEETJE;10-50;outside;Antwerpen;196022,7355;215574,4424;10,787975;378102;>10;1;1;2022;32858;423731;102341;7029405;8836;Loeijens Neetje;A.8.21; ;10000;2;Geklasseerd, tweede categorie;10;Netebekken;Schelde;310;Viswater;2;< 0.25 m;530;L111_1066;52,99;0,974902;orginele steekproeftrekking 2014;gemeten <= 2019;steekproefvernieuwing2022_2e_cylcus;gemeten in 2022;0;
4;Stiemer_01;1495;1_4_1495;STIEMER;<10;outside;Limburg;230211,1351;186888,3908;7,967182;93650;<10;1;2;2022;34398;386941;90745;6038840;8038;Stiemer;L42; ;71016;3;Geklasseerd, derde categorie;9;Demerbekken;Schelde;100;Basiskwaliteit;1;2.5 tot 0.25 m;601;L213_99;6257,63;0,310959;orginele steekproeftrekking 2014;gemeten <= 2019;steekproefvernieuwing2022_2e_cylcus;gemeten in 2022;0;
5;Berwijn_01;329;1_4_329;BERWIJN;>50;intersecting or downstream;Limburg;243642,0031;161000,3554;6,785058;88754;>10;2;1;2022;4297;357829;36139;3600721;9536;Berwijn;L03; ;V0102;1;Geklasseerd, eerste categorie;11;Maasbekken;Maas;310;Viswater;2;< 0.25 m;900;VL05_134;5000,33;0,004053;orginele steekproeftrekking 2014;gemeten <= 2019;steekproefvernieuwing2022_2e_cylcus;"niet geschikt door overwelving? 16m overwelving; dus niet geschikt voor monitoring; schrappen als meetpunt";-2;
6;NooBe_01;1017;1_4_1017;NOORBEEK;<10;intersecting or downstream;Limburg;249817,2143;162401,2029;13,632637;728498;<10;2;1;;36270;400391;36132;3600616;9682;Noorbeek;L003; ;70000;2;Geklasseerd, tweede categorie;11;Maasbekken;Maas;100;Basiskwaliteit;2;< 0.25 m;900;NL_M;2038,38;0,003437;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
7;SchNe_01;1172;1_4_1172;SCHEPPELIJKE NETE;10-50;outside;Antwerpen;205843,0685;210444,8742;10,596212;483446;>10;2;2;2022;26589;370927;97545;7021004;8634;Scheppelijke Nete;A.7.29.5; ;10000;2;Geklasseerd, tweede categorie;10;Netebekken;Schelde;100;Basiskwaliteit;2;< 0.25 m;501;L107_705;6085,58;0,139039;orginele steekproeftrekking 2014;gemeten <= 2019;steekproefvernieuwing2022_2e_cylcus;gemeten in 2022;0;
8;Voer_08_o;31;1_4_31;VOER;<10;outside;Limburg;252091,152;160123,8577;13,958977;131970;<10;2;3;;36269;400390;36131;3600614;9574;Voer;L001; ;70000;2;Geklasseerd, tweede categorie;11;Maasbekken;Maas;310;Viswater;2;< 0.25 m;900;NL_M;1136,06;0,001512;orginele steekproeftrekking 2014;gemeten <= 2019 (maar verplaatst);;;-1;
9;AntGr_01;1143;1_4_1143;ANTITANKKANAAL;10-50;outside;Antwerpen;153679,2513;226383,3149;14,390935;485342;>10;3;3;2023;9559;360726;70745;6025127;113;Antitankkanaal; ; ;V0101;1;Geklasseerd, eerste categorie;4;Beneden-Scheldebekken;Schelde;310;Viswater;1;2.5 tot 0.25 m;108;L111_724;2618,75;0,003722;orginele steekproeftrekking 2014;gemeten <= 2019;steekproefvernieuwing2022_2e_cylcus;;0;
10;KaaBe_01;772;1_4_772;KAATSBEEK;<10;outside;Limburg;228295,3843;179644,3265;17,259705;351794;<10;3;4;2022;31777;390430;92106;6038912;8115;Kaatsbeek;L205; ;70000;2;Geklasseerd, tweede categorie;9;Demerbekken;Schelde;100;Basiskwaliteit;1;2.5 tot 0.25 m;601;L213_99;1417,56;3,82423;orginele steekproeftrekking 2014;gemeten <= 2019;steekproefvernieuwing2022_2e_cylcus;gemeten in 2022;0;
11;KleNe_06;618;1_4_618;KLEINE NETE;>50;intersecting or downstream;Antwerpen;185944,6091;209539,175;12,020039;116470;>10;3;1;;31971;355091;98684;7023563;8502;Kleine Nete;A.8; ;V0101;1;Geklasseerd, eerste categorie;10;Netebekken;Schelde;310;Viswater;2;< 0.25 m;532;VL11_127;846,06;0,003689;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
12;NooMa_02;1088;1_4_1088;GELSLOOPKE;<10;intersecting or downstream;Antwerpen;186945,4704;232226,7945;11,965109;1047854;<10;3;1;2022;17907;394596;35984;1502483;9670;Noordermark;A.4.15.2; ;W1.08;2;Geklasseerd, tweede categorie;11;Maasbekken;Maas;310;Viswater;2;< 0.25 m;941;L213_146;148,03;0,297866;orginele steekproeftrekking 2014;gemeten <= 2019;steekproefvernieuwing2022_2e_cylcus;gemeten in 2022;0;
13;GroNe_01;1583;1_4_1583;GROTE NETE;10-50;intersecting or downstream;Antwerpen;210667,0304;206049,5413;18,402572;157302;>10;4;1;;253;426460;103620;7039002;8501;Grote Nete;A.7; ;10000;2;Geklasseerd, tweede categorie;10;Netebekken;Schelde;310;Viswater;0;10 tot 2.5 m;500;L107_708;1614,73;0,000478;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
14;MunLo_01;1515;1_4_1515;MUNTLOOP;10-50;outside;Antwerpen;175351,3587;236847,3096;6,346973;952670;>10;4;3;2023;24748;379108;55638;6011135;10047;Muntloop;A.4.11; ;W1.01;2;Geklasseerd, tweede categorie;11;Maasbekken;Maas;100;Basiskwaliteit;2;< 0.25 m;941;L111_1049;2017,47;0,601326;orginele steekproeftrekking 2014;gemeten <= 2019;steekproefvernieuwing2022_2e_cylcus;gemeten in 2023;0;
