plot_id	date_status	targethabitat	status_fieldwork	info_status_fieldwork	remark	db	navplot_id	point_code	extra_subt	opnamevoortargethabitat	typeinv	ranking
2610	1652436528.739	ja	Opname volledig uitgevoerd	100% afgewerkt	NA	openhab	503	2610_1	NA	elk habitatsubtype	2	2610
4434	1651758117.788	ja	Opname volledig uitgevoerd	100% afgewerkt	NA	openhab	403	4434_1	NA	elk habitatsubtype	1	4434
8786	1652436528.779	nee	Niet van toepassing	nvt - geen doelhabitat	NA	openhab	503	8786_1	NA	elk habitatsubtype	2	8786
8893	1652435852.394	ja	Opname volledig uitgevoerd	100% afgewerkt	NA	openhab	504	8893_1	NA	elk habitatsubtype	2	8893
9938	1652436528.784	ja	Opname volledig uitgevoerd	100% afgewerkt	NA	openhab	503	9938_1	NA	elk habitatsubtype	2	9938
11218	1652436528.8	ja	Opname volledig uitgevoerd	100% afgewerkt	NA	openhab	503	11218_1	NA	elk habitatsubtype	2	11218
12274	1652436528.806	ja	Opname volledig uitgevoerd	100% afgewerkt	NA	openhab	503	12274_1	NA	elk habitatsubtype	2	12274
18546	1651758117.799	ja	Opname volledig uitgevoerd	100% afgewerkt	begraasd	openhab	403	18546_2	NA	elk habitatsubtype	2	18546
20178	1652436528.811	ja	Opname volledig uitgevoerd	100% afgewerkt	NA	openhab	503	20178_1	NA	elk habitatsubtype	2	20178
23538	1652436528.832	ja	Opname volledig uitgevoerd	100% afgewerkt	NA	openhab	503	23538_1	NA	elk habitatsubtype	2	23538
23762	1652436528.834	ja	Opname volledig uitgevoerd	100% afgewerkt	NA	openhab	503	23762_1	NA	elk habitatsubtype	2	23762
26322	1652436528.844	ja	Opname volledig uitgevoerd	100% afgewerkt	NA	openhab	503	26322_1	NA	elk habitatsubtype	2	26322
28370	1652436528.884	ja	Opname volledig uitgevoerd	100% afgewerkt	NA	openhab	503	28370_1	NA	elk habitatsubtype	2	28370
28658	1652436528.909	ja	Opname volledig uitgevoerd	100% afgewerkt	NA	openhab	503	28658_1	NA	elk habitatsubtype	2	28658
29406	1652435852.421	ja	Opname volledig uitgevoerd	100% afgewerkt	NA	openhab	504	29406_1	NA	elk habitatsubtype	2	29406
30290	1652436528.929	onbepaald	Opname volledig uitgevoerd	100% afgewerkt	NA	openhab	503	30290_1	NA	elk habitatsubtype	1	30290
32466	1652436528.934	ja	Opname volledig uitgevoerd	100% afgewerkt	NA	openhab	503	32466_1	NA	elk habitatsubtype	2	32466
34514	1652436528.944	ja	Opname volledig uitgevoerd	100% afgewerkt	NA	openhab	503	34514_1	NA	elk habitatsubtype	2	34514
