plot_id	layer	name_nl	name_sc	coverscale_name	cover_description	cover_mean
2610	herblayer	Bochtige smele	Deschampsia flexuosa (L.) Trin.	Londo	p1 : weinig talrijk (< 1%)	1
2610	herblayer	Fijn schapengras	Festuca filiformis Pourr.	Londo	p1 : weinig talrijk (< 1%)	1
2610	herblayer	Gewoon biggenkruid	Hypochaeris radicata L.	Londo	r1 : sporadisch (< 1%)	1
2610	herblayer	Schapenzuring	Rumex acetosella L.	Londo	r1 : sporadisch (< 1%)	1
2610	herblayer	Struikhei	Calluna vulgaris (L.) Hull	Londo	1 + : willekeurig (10-15%)	12
2610	herblayer	Zomereik	Quercus robur L.	Londo	1 + : willekeurig (10-15%)	12
2610	mosslayer	Gewoon gaffeltandmos	Dicranum scoparium	Londo	4 : willekeurig (35-45%)	40
2610	mosslayer	Heideklauwtjesmos	Hypnum jutlandicum	Londo	4 : willekeurig (35-45%)	40
4434	herblayer	Akkerdistel	Cirsium arvense (L.) Scop.	Londo	r1 : sporadisch (< 1%)	1
4434	herblayer	Gestreepte witbol	Holcus lanatus L.	Londo	a2 : talrijk (1-3%)	2
4434	herblayer	Gewone ereprijs	Veronica chamaedrys L.	Londo	a2 : talrijk (1-3%)	2
4434	herblayer	Gewone hoornbloem	Cerastium fontanum Baumg.	Londo	p2 : weinig talrijk (1-3%)	2
4434	herblayer	Gewoon biggenkruid	Hypochaeris radicata L.	Londo	p2 : weinig talrijk (1-3%)	2
4434	herblayer	Gewoon struisgras	Agrostis capillaris L.	Londo	3 : willekeurig (25-35%)	30
4434	herblayer	Glad walstro	Galium mollugo L.	Londo	a4 : talrijk (3-5%)	4
4434	herblayer	Glanshaver	Arrhenatherum elatius (L.) Beauv. ex J. et C. Presl	Londo	3 : willekeurig (25-35%)	30
4434	herblayer	Groot streepzaad	Crepis biennis L.	Londo	1 - : willekeurig (5-10%)	7
4434	herblayer	Heggenwikke	Vicia sepium L.	Londo	p2 : weinig talrijk (1-3%)	2
4434	herblayer	Hopklaver	Medicago lupulina L.	Londo	1 - : willekeurig (5-10%)	7
4434	herblayer	Jakobskruiskruid	Senecio jacobaea L.	Londo	1 - : willekeurig (5-10%)	7
4434	herblayer	Klein streepzaad	Crepis capillaris (L.) Wallr.	Londo	p2 : weinig talrijk (1-3%)	2
4434	herblayer	Kropaar	Dactylis glomerata L.	Londo	1 + : willekeurig (10-15%)	12
4434	herblayer	Margriet	Leucanthemum vulgare Lam.	Londo	1 + : willekeurig (10-15%)	12
4434	herblayer	Ooievaarsbek (G)	Geranium	Londo	r1 : sporadisch (< 1%)	1
4434	herblayer	Peen	Daucus carota L.	Londo	p2 : weinig talrijk (1-3%)	2
4434	herblayer	Rapunzelklokje	Campanula rapunculus L.	Londo	1 - : willekeurig (5-10%)	7
4434	herblayer	Rode klaver	Trifolium pratense L.	Londo	2 : willekeurig (15-25%)	20
4434	herblayer	Rood zwenkgras	Festuca rubra L.	Londo	1 + : willekeurig (10-15%)	12
4434	herblayer	Scherpe boterbloem	Ranunculus acris L.	Londo	p4 : weinig talrijk (3-5%)	4
4434	herblayer	Sint-janskruid	Hypericum perforatum L.	Londo	p4 : weinig talrijk (3-5%)	4
4434	herblayer	Smalle weegbree	Plantago lanceolata L.	Londo	p2 : weinig talrijk (1-3%)	2
4434	herblayer	Witte klaver	Trifolium repens L.	Londo	m4 : zeer talrijk (3-5%)	4
8893	herblayer	Gewoon struisgras	Agrostis capillaris L.	Londo	r1 : sporadisch (< 1%)	1
8893	herblayer	Pijpenstrootje	Molinia caerulea (L.) Moench	Londo	p4 : weinig talrijk (3-5%)	4
8893	herblayer	Schapenzuring	Rumex acetosella L.	Londo	p2 : weinig talrijk (1-3%)	2
8893	herblayer	Struikhei	Calluna vulgaris (L.) Hull	Londo	2 : willekeurig (15-25%)	20
8893	herblayer	Zandzegge	Carex arenaria L.	Londo	p2 : weinig talrijk (1-3%)	2
8893	mosslayer	Gewoon gaffeltandmos	Dicranum scoparium	Londo	1 : willekeurig (5-15%)	10
8893	mosslayer	Gewoon haarmos	Polytrichum commune	Londo	m4 : zeer talrijk (3-5%)	4
8893	mosslayer	Grijs kronkelsteeltje	Campylopus introflexus	Londo	1 : willekeurig (5-15%)	10
8893	mosslayer	Heideklauwtjesmos	Hypnum jutlandicum	Londo	m4 : zeer talrijk (3-5%)	4
8893	mosslayer	Ruig haarmos	Polytrichum piliferum	Londo	a1 : talrijk (< 1%)	1
8893	mosslayer	Zandhaarmos	Polytrichum juniperinum	Londo	6 : willekeurig (55-65%)	60
9938	herblayer	_ANDERE SOORT	ANDERE SOORT	Londo	r1 : sporadisch (< 1%)	1
9938	herblayer	Grove den	Pinus sylvestris L.	Londo	r1 : sporadisch (< 1%)	1
9938	herblayer	Pilzegge	Carex pilulifera L.	Londo	r1 : sporadisch (< 1%)	1
9938	herblayer	Struikhei	Calluna vulgaris (L.) Hull	Londo	9 : willekeurig (85-95%)	90
9938	mosslayer	Heideklauwtjesmos	Hypnum jutlandicum	Londo	6 : willekeurig (55-65%)	60
11218	herblayer	Gewone dophei	Erica tetralix L.	Londo	1 - : willekeurig (5-10%)	7
11218	herblayer	Pijpenstrootje	Molinia caerulea (L.) Moench	Londo	9 : willekeurig (85-95%)	90
11218	mosslayer	Veenmos (G)	Sphagnum species	Londo	r1 : sporadisch (< 1%)	1
11218	shrublayer	Grove den	Pinus sylvestris L.	Londo	r4 : sporadisch (3-5%)	4
12274	herblayer	Bochtige smele	Deschampsia flexuosa (L.) Trin.	Londo	a4 : talrijk (3-5%)	4
12274	herblayer	Gewone braam (Rubus fruticosus groep)	Rubus fruticosus groep	Londo	1 + : willekeurig (10-15%)	12
12274	herblayer	Gewoon struisgras	Agrostis capillaris L.	Londo	p2 : weinig talrijk (1-3%)	2
12274	herblayer	Gewoon struisriet	Calamagrostis epigejos (L.) Roth	Londo	p1 : weinig talrijk (< 1%)	1
12274	herblayer	Mannetjesvaren	Dryopteris filix-mas (L.) Schott	Londo	r1 : sporadisch (< 1%)	1
12274	herblayer	Pijpenstrootje	Molinia caerulea (L.) Moench	Londo	1 - : willekeurig (5-10%)	7
12274	herblayer	Smalle stekelvaren	Dryopteris carthusiana (Vill.) H.P. Fuchs	Londo	r1 : sporadisch (< 1%)	1
12274	herblayer	Struikhei	Calluna vulgaris (L.) Hull	Londo	2 : willekeurig (15-25%)	20
12274	mosslayer	Heideklauwtjesmos	Hypnum jutlandicum	Londo	8 : willekeurig (75-85%)	80
12274	shrublayer	Brem	Cytisus scoparius (L.) Link	Londo	1 - : willekeurig (5-10%)	7
18546	herblayer	Fioringras	Agrostis stolonifera L.	Londo	1 : willekeurig (5-15%)	10
18546	herblayer	Gewone brunel	Prunella vulgaris L.	Londo	1 - : willekeurig (5-10%)	7
18546	herblayer	Gewone hoornbloem	Cerastium fontanum Baumg.	Londo	p1 : weinig talrijk (< 1%)	1
18546	herblayer	Grote weegbree	Plantago major L.	Londo	a4 : talrijk (3-5%)	4
18546	herblayer	Heelblaadjes	Pulicaria dysenterica (L.) Bernh.	Londo	p2 : weinig talrijk (1-3%)	2
18546	herblayer	Kamille (G)	Matricaria	Londo	r1 : sporadisch (< 1%)	1
18546	herblayer	Kruipende boterbloem	Ranunculus repens L.	Londo	4 : willekeurig (35-45%)	40
18546	herblayer	Madeliefje	Bellis perennis L.	Londo	p1 : weinig talrijk (< 1%)	1
18546	herblayer	Paardebloem	Taraxacum Wiggers sectie Subvulgaria Christians.	Londo	p1 : weinig talrijk (< 1%)	1
18546	herblayer	Ratelaar (G)	Rhinanthus	Londo	p1 : weinig talrijk (< 1%)	1
18546	herblayer	Ruw beemdgras	Poa trivialis L.	Londo	4 : willekeurig (35-45%)	40
18546	herblayer	Tijmereprijs	Veronica serpyllifolia L.	Londo	r1 : sporadisch (< 1%)	1
18546	herblayer	Waterpeper	Polygonum hydropiper L.	Londo	p1 : weinig talrijk (< 1%)	1
18546	herblayer	Witte klaver	Trifolium repens L.	Londo	9 : willekeurig (85-95%)	90
18546	herblayer	Wolfspoot	Lycopus europaeus L.	Londo	p1 : weinig talrijk (< 1%)	1
18546	herblayer	Zuring (G)	Rumex	Londo	p2 : weinig talrijk (1-3%)	2
20178	herblayer	Pijpenstrootje	Molinia caerulea (L.) Moench	Londo	5 - : willekeurig (45-50%)	47
20178	herblayer	Pilzegge	Carex pilulifera L.	Londo	p1 : weinig talrijk (< 1%)	1
20178	herblayer	Struikhei	Calluna vulgaris (L.) Hull	Londo	2 : willekeurig (15-25%)	20
20178	mosslayer	Gewoon gaffeltandmos	Dicranum scoparium	Londo	r1 : sporadisch (< 1%)	1
20178	mosslayer	Heideklauwtjesmos	Hypnum jutlandicum	Londo	5 - : willekeurig (45-50%)	47
20178	mosslayer	Pluisjesmos (G)	Dicranella species	Londo	1 - : willekeurig (5-10%)	7
23538	herblayer	Pijpenstrootje	Molinia caerulea (L.) Moench	Londo	NA	NA
23538	herblayer	Sporkehout	Frangula alnus Mill.	Londo	NA	NA
23538	herblayer	Wilde gagel	Myrica gale L.	Londo	NA	NA
23538	herblayer	Zomereik	Quercus robur L.	Londo	NA	NA
23538	shrublayer	Grove den	Pinus sylvestris L.	Londo	1 + : willekeurig (10-15%)	12
23538	shrublayer	Wilde gagel	Myrica gale L.	Londo	r2 : sporadisch (1-3%)	2
23538	shrublayer	Zachte berk	Betula pubescens Ehrh.	Londo	p2 : weinig talrijk (1-3%)	2
23762	herblayer	Bochtige smele	Deschampsia flexuosa (L.) Trin.	Londo	a4 : talrijk (3-5%)	4
