plot_id	segment_id	date_standdescription	type_observed_circle	type_observed_square	type_observed_cover_circle
2610	1	1661161849	4030	4030	100
3026	1	1661161851.458	NA	NA	100
4434	1	1652347617.956	6510_hu	6510_hu	100
5046	1	1661161853.466	NA	NA	100
5330	1	1661161856.036	NA	NA	100
8786	1	1661161858.06	geen habitat (akker, houtkant, tuin,...)	NA	100
8893	1	1663155563.838	2310	2310	100
9938	1	1661161860.654	4030	4030	100
10706	1	1661161863.168	NA	NA	100
11218	1	1661161865.675	4010	4010	100
12274	1	1661161868.442	4030	4030	100
18546	1	1652348126.941	6510_hu	6510_hu	100
20178	1	1661161870.946	2310	2310	100
20406	1	1661161873.436	NA	NA	100
21430	1	1661161875.92	NA	NA	100
21714	1	1661161878.391	NA	NA	100
23538	1	1661161880.866	4010	4010	100
23762	1	1661161883.396	4030	4030	100
26322	1	1661161885.911	4030	4030	100
27090	1	1661161888.6	NA	NA	100
27602	1	1661161891.056	NA	NA	100
28370	1	1661161893.545	4030	4030	100
28658	1	1661161896.059	4030	4030	100
29406	1	1663159479.559	2310	2310	100
29622	1	1661161898.499	NA	NA	100
30290	1	1661161900.966	4030	4030	100
32466	1	1661161903.419	2310	2310	100
33718	1	1661161905.914	NA	NA	100
33985	1	1652440260.543	NA	NA	100
34514	1	1661161908.385	2310	2310	100
35794	1	1661161910.916	NA	NA	100
37330	1	1661161913.401	NA	NA	100
38098	1	1661161915.901	NA	NA	100
38545	1	1652348128.629	6510_hua	6510_hua	100
38610	1	1661161918.403	2330	2310	100
40146	1	1661161920.89	4 : heide- en struikvegetaties	4 : heide- en struikvegetaties	100
41682	1	1661161923.421	NA	NA	100
41814	1	1652348130.341	6510_hu	6510_hu	100
42934	1	1661161925.953	NA	NA	100
43858	1	1661161928.75	2330_bu	2330_bu	100
44626	1	1661161931.202	4030	4030	100
45790	1	1663073164.325	2310	2310	100
46006	1	1661161933.675	NA	NA	100
47446	1	1652348132.229	6510_hu	6510_hu	100
49782	1	1661161936.112	NA	NA	100
50102	1	1661161938.597	NA	NA	100
54482	1	1661161941.284	NA	NA	100
54994	1	1661161943.788	NA	NA	100
55058	1	1661161946.259	NA	NA	100
59858	1	1661161948.832	NA	NA	100
62174	1	1663162202.996	2310	2310	100
65234	1	1661161951.306	NA	NA	100
65522	1	1661161953.765	NA	NA	100
66006	1	1664541492.047	2310	2310	100
72690	1	1661161956.244	4030	4030	100
75474	1	1661161958.713	4030	4030	100
76242	1	1661161961.182	NA	NA	100
76754	1	1661161963.635	2310	2310	100
77394	1	1661161966.109	NA	NA	100
79986	1	1652347632.422	6510_hu	6510_hu	100
84946	1	1661161968.592	NA	NA	100
90846	1	1663063471.085	2310	2310	100
93138	1	1661161971.061	NA	NA	100
94942	1	1663070446.464	4030	4030	100
95158	1	1661161973.558	NA	NA	100
96978	1	1661161975.592	2310	2310	100
98002	1	1661161978.177	2310	2310	100
99521	1	1652348135.884	6510_hu	6510_hu	100
100050	1	1661161980.665	4010	4010	100
100297	1	1652348137.689	NA	NA	100
102098	1	1661161983.176	4030	4030	100
105458	1	1661161985.648	4010	4010	100
105682	1	1661161988.405	9 : bossen	9 : bossen	100
111326	1	1663067940.977	4030	4030	100
117202	1	1661161990.883	2310	2310	100
118441	1	1652348139.703	6510_hu	6510_hu	100
120018	1	1661161993.383	NA	NA	100
122578	1	1661161995.879	4010	4010	100
124278	1	1664534500.479	2310	2330	100
125394	1	1661161998.348	NA	NA	100
127218	1	1652348141.362	NA	NA	100
128657	1	1652348142.998	6510_hua	6510_hua	100
128722	1	1661162000.797	4030	4030	100
129234	1	1661162003.309	NA	NA	100
134098	1	1661162005.766	NA	NA	100
136402	1	1661162008.426	NA	NA	100
144094	1	1663152620.33	2310	2330	100
151250	1	1661162010.878	4030	4030	100
151318	1	1652348148.047	6510_hu	6510_hu	100
152786	1	1661162013.353	NA	NA	100
162790	1	1652348149.703	6510_hu	6510_hu	100
177078	1	1661162015.877	NA	NA	100
206134	1	1652348150.987	6510_hu	6510_hu	100
213942	1	1661162018.365	NA	NA	100
218322	1	1652445059.837	NA	NA	100
222418	1	1661162020.869	NA	NA	100
225910	1	1661162023.398	NA	NA	100
226230	1	1661162025.916	NA	NA	100
229362	1	1661162028.431	2330_dw	2330_dw	100
231702	1	1652348154.295	NA	NA	100
236370	1	1661162030.933	2330_bu	2330_bu	100
238578	1	1661162033.417	2330_dw	2330_dw	100
243846	1	1652348159.243	6510_hu	6510_hu	100
258390	1	1652348160.915	6510_hu	6510_hu	100
274002	1	1661162035.884	2330_dw	2330_dw	100
281177	1	1652348162.597	NA	NA	100
295862	1	1661162038.356	NA	NA	100
297201	1	1652348169.17	NA	NA	100
301846	1	1652348170.738	NA	NA	100
304338	1	1661162040.855	NA	NA	100
306130	1	1661162043.344	2310	2310	100
308098	1	1652348175.586	6510_hu	6510_hu	63.6
308098	2	1654277464.593	geen habitat (akker, houtkant, tuin,...)	6510_hu	36.4
321169	1	1652348177.199	6510_hua	6510_hua	100
327153	1	1652348178.832	6510_hua	6510_hua	100
333385	1	1652348180.448	6510_hu	6510_hu	100
361398	1	1661162045.828	NA	NA	100
366225	1	1652348182.216	infrastructuur	infrastructuur	100
370386	1	1661162048.553	4030	4030	100
386258	1	1661162051.024	NA	NA	100
386422	1	1664531088.433	2330_bu	2330_bu	100
386674	1	1652348183.851	6510_hu	6510_hu	91.4
386674	2	1654852159.032	geen habitat (akker, houtkant, tuin,...)	6510_hu	8.6
398529	1	1652348185.528	geen habitat (akker, houtkant, tuin,...)	NA	100
409654	1	1652348187.171	6510_hu	6510_hu	100
409654	2	1654074467.138	geen habitat (akker, houtkant, tuin,...)	6510_hu	NA
431314	1	1661162053.508	NA	NA	100
445266	1	1661162056.074	2330_bu	2330_bu	100
452066	1	1652348188.888	6510_hu	6510_hu	66.2
452066	2	1654864338.157	geen habitat (akker, houtkant, tuin,...)	6510_hu	33.8
458194	1	1661162058.564	NA	NA	100
462774	1	1661162061.048	NA	NA	100
501046	1	1652348190.534	6 : (half) natuurlijke graslanden	NA	100
528582	1	1652348192.234	6510_hu	6510_hu	78.3
528582	2	1654251250.959	geen habitat (akker, houtkant, tuin,...)	6510_hu	21.7
556006	1	1652348194.207	6510_hu	6510_hu	100
589110	1	1652348196.285	6510_hu	6510_hu	100
589698	1	1652348198.033	onbekend	NA	100
605493	1	1652348200.593	6510_hu	6510_hu	100
636561	1	1652348203.42	6510_hus	6510_hua	100
643970	1	1652348206.251	6510_hu	6510_hu	100
659794	1	1652348209.022	geen habitat (akker, houtkant, tuin,...)	NA	100
676914	1	1652348212.818	6510_hu	6510_hu	100
677174	1	1652348215.55	6510_hu	6510_hu	100
720369	1	1652348217.807	6510_hua	6510_hua	100
792209	1	1652348222.264	6510_hua	6510_hua	100
845457	1	1652348225.035	6510_hus	6510_hua	100
853714	1	1661162063.513	4030	4030	100
863826	1	1661162066.049	2330_dw	2330_dw	100
919185	1	1652348229.127	6510_hua	6510_hua	100
968217	1	1652348230.983	6510_hu	6510_hua	100
984721	1	1652348232.755	6510_hua	6510_hua	100
1007490	1	1652348234.467	NA	NA	100
1152657	1	1652348237.887	6510_hua	6510_hua	100
1177233	1	1652348239.572	6510_hua	6510_hua	100
1272114	1	1661162068.685	NA	NA	100
1280278	1	1652348241.424	6510_hus	6510_hus	100
1487746	1	1652348243.958	6510_huk	6510_huk	54.5
1487746	2	1654276932.194	9 : bossen	6510_huk	45.5
1569666	1	1652348245.936	6510_huk	6510_huk	57.4
1569666	2	1654594641.425	geen habitat (akker, houtkant, tuin,...)	6510_huk	42.6
1618818	1	1652348248.422	6510_huk	6510_huk	100
2328854	1	1652348256.826	6510_hus	6510_hus	94
2328854	2	1653913718.113	geen habitat (akker, houtkant, tuin,...)	6510_hus	6
2867990	1	1652348260.952	6510_hus	6510_hus	96.7
2867990	2	1654165008.047	geen habitat (akker, houtkant, tuin,...)	6510_hus	3.3
3068802	1	1652348263.209	6510_huk	6510_huk	100
