schaal	versie	type_resultaat	habitattype	sbzh	habitatsubtype	n_obs	index_hq_mean	index_hq_llci_0.95	index_hq_ulci_0.95
Vlaanderen	Versie 3	Habitatsubtype	2190	Binnen & Buiten	2190_a	40	0.579854217461705	0.524104492183314	0.635603942740097
Vlaanderen	Versie 3	Habitattype	2190	Binnen & Buiten	2190_a	40	0.579854217461705	0.524104492183314	0.635603942740097
Vlaanderen	Versie 3	SBZH	2190	Binnen	2190_a	40	0.579854217461705	0.524104492183314	0.635603942740097
Vlaanderen	Versie 3	Habitattype	3110	Binnen & Buiten	NA	3	0.0503639838228456	-0.163504683150018	0.26423265079571
Vlaanderen	Versie 3	SBZH	3110	Binnen	NA	3	0.0503639838228456	-0.163504683150018	0.26423265079571
Vlaanderen	Versie 3	Habitatsubtype	3130	Binnen & Buiten	3130_aom	110	0.157702940940637	0.111843070052391	0.203562811828882
Vlaanderen	Versie 3	Habitatsubtype	3130	Binnen & Buiten	3130_na	94	0.275980365517968	0.238645502054684	0.313315228981253
Vlaanderen	Versie 3	Habitattype	3130	Binnen & Buiten	3130_aom; 3130_na	204	0.217895422993482	0.187207086788537	0.248583759198426
Vlaanderen	Versie 3	SBZH	3130	Binnen	3130_aom; 3130_na	178	0.193405842327157	0.159187105466459	0.227624579187855
Vlaanderen	Versie 3	SBZH	3130	Buiten	3130_aom; 3130_na	26	0.29403231950738	0.226372658809508	0.361691980205253
Vlaanderen	Versie 3	Habitattype	3140	Binnen & Buiten	NA	47	0.193168073167665	0.0862250343061752	0.300111112029154
Vlaanderen	Versie 3	SBZH	3140	Binnen	NA	27	0.314721581081128	0.180799437440109	0.448643724722147
Vlaanderen	Versie 3	SBZH	3140	Buiten	NA	20	0.148786034964968	-0.0213163156296516	0.318888385559588
Vlaanderen	Versie 3	Habitattype	3150	Binnen & Buiten	NA	66	0.105122857092045	0.0624034542135323	0.147842259970557
Vlaanderen	Versie 3	SBZH	3150	Binnen	NA	50	0.10567878898616	0.052835095075076	0.158522482897245
Vlaanderen	Versie 3	SBZH	3150	Buiten	NA	16	0.10406302366714	0.0202012157952036	0.187924831539076
Vlaanderen	Versie 3	Habitattype	3160	Binnen & Buiten	NA	48	0.123480977585776	0.0511030058282416	0.19585894934331
Vlaanderen	Versie 3	SBZH	3160	Binnen	NA	46	0.127895830374797	0.0541270160391255	0.201664644710469
Vlaanderen	Versie 3	SBZH	3160	Buiten	NA	2	-0.0573801171728275	-0.488580117172828	0.373819882827172
