schaal	type_resultaat	habitattype	sbzh	habitatsubtype	index_diff_mean	index_diff_llci_0.95	index_diff_ulci_0.95	index_diff_rel	index_diff_rel_llci_0.95	index_diff_rel_ulci_0.95	klasse
Vlaanderen	Habitattype	3110	Binnen & Buiten	NA	-0.24074	-0.47754	-0.00394077	-0.84	-1.666	-0.014	6
Vlaanderen	SBZH	3110	Binnen	NA	-0.24074	-0.47754	-0.00394077	-0.84	-1.666	-0.014	6
Vlaanderen	Habitatsubtype	3130	Binnen & Buiten	3130_aom	0.037728	-0.0513393	0.126795	0.294	-0.4	0.988	10
Vlaanderen	Habitatsubtype	3130	Binnen & Buiten	3130_na	-0.107518	-0.234949	0.019913	-0.362	-0.791	0.067	9
Vlaanderen	Habitattype	3130	Binnen & Buiten	3130_aom; 3130_na	-0.0285898	-0.104022	0.0468425	-0.139	-0.506	0.228	9
Vlaanderen	SBZH	3130	Binnen	3130_aom; 3130_na	-0.0354501	-0.122355	0.0514551	-0.185	-0.639	0.269	10
Vlaanderen	SBZH	3130	Buiten	3130_na; 3130_aom	-0.00581508	-0.176902	0.165272	-0.023	-0.702	0.656	10
Vlaanderen	Habitattype	3150	Binnen & Buiten	NA	-0.18237	-0.374334	0.00959342	-0.706	-1.449	0.037	9
Vlaanderen	SBZH	3150	Binnen	NA	-0.193621	-0.411573	0.0243305	-0.712	-1.513	0.089	9
Vlaanderen	SBZH	3150	Buiten	NA	0.0436161	-0.515883	0.603115	-2.49	29.453	-34.434	10
Vlaanderen	Habitattype	3160	Binnen & Buiten	NA	-0.0570602	-0.169292	0.0551718	-0.24	-0.712	0.232	10
Vlaanderen	SBZH	3160	Binnen	NA	-0.0570602	-0.169292	0.0551718	-0.24	-0.712	0.232	10
