versie	schaal	type_resultaat	habitattype	sbzh	habitatsubtype	n_obs	aandeel_gunstig	aandeel_gunstig_llci	aandeel_gunstig_ulci	beoordeling	opp_uitspraak_ha	opp_onbekend_ha	opp_totaal_ha	n_obs_int
Versie 3	Vlaanderen	Habitattype	2190	Binnen & Buiten	2190_a	43	72.92	45.93	87.69	Onbekend	25.96	4.85	30.81	4
Versie 3	Vlaanderen	SBZH	2190	Binnen	2190_a	43	72.92	45.93	87.69	Onbekend	25.96	4.85	30.81	4
Versie 3	Vlaanderen	Habitattype	3110	Binnen & Buiten	3110	5	0	NA	NA	Niet goed	3.23	0	3.23	5
Versie 3	Vlaanderen	SBZH	3110	Binnen	3110	5	0	NA	NA	Niet goed	3.23	0	3.23	5
Versie 3	Vlaanderen	Habitatsubtype	3130	Binnen & Buiten	3130_aom	110	6.38	2.99	13.12	Niet goed	773.49	35.29	808.78	1
Versie 3	Vlaanderen	Habitatsubtype	3130	Binnen & Buiten	3130_na	95	16.57	6.85	34.55	Niet goed	686.46	35.29	721.75	2
Versie 3	Vlaanderen	Habitattype	3130	Binnen & Buiten	3130_aom; 3130_na	204	11.17	5.7	20.7	Niet goed	1459.95	70.58	1530.53	2
Versie 3	Vlaanderen	SBZH	3130	Binnen	3130_aom; 3130_na	177	9.46	5.58	15.58	Niet goed	1076.08	0	1076.08	1
Versie 3	Vlaanderen	SBZH	3130	Buiten	3130_aom; 3130_na	27	15.96	3.23	51.92	Niet goed	383.87	70.58	454.45	1
Versie 3	Vlaanderen	Habitattype	3140	Binnen & Buiten	3140	46	4.96	0.64	27.8	Niet goed	579.53	60.14	639.67	4
Versie 3	Vlaanderen	SBZH	3140	Binnen	3140	25	0	0	0	Niet goed	199.49	0	199.49	1
Versie 3	Vlaanderen	SBZH	3140	Buiten	3140	21	7.55	0.93	37.5	Niet goed	380.03	60.14	440.17	3
Versie 3	Vlaanderen	Habitattype	3150	Binnen & Buiten	3150	65	0.9	0.27	2.95	Niet goed	706.93	91.39	798.32	5
Versie 3	Vlaanderen	SBZH	3150	Binnen	3150	48	1.3	0.34	4.75	Niet goed	445.61	0	445.61	2
Versie 3	Vlaanderen	SBZH	3150	Buiten	3150	17	0.23	0.02	2.14	Niet goed	261.32	91.39	352.71	3
Versie 3	Vlaanderen	Habitattype	3160	Binnen & Buiten	3160	48	6.63	1.94	20.28	Niet goed	236.41	0	236.41	0
Versie 3	Vlaanderen	SBZH	3160	Binnen	3160	46	6.78	1.98	20.81	Niet goed	231.06	0	231.06	0
Versie 3	Vlaanderen	SBZH	3160	Buiten	3160	2	0	NA	NA	Onbekend	5.34	0	5.34	0
