versie	schaal	type_resultaat	habitattype	sbzh	parameter	mean	klasse	jaar_min	jaar_max	verschil_jaar
Versie 3	Vlaanderen	Habitattype	2110	Binnen & Buiten	verschil_aandeel_gunstig_abs	-1.11	5	2017	2023	6
Versie 3	Vlaanderen	SBZH	2110	Binnen	verschil_aandeel_gunstig_abs	-1.7	5	2017	2023	6
