schaal	versie	type_resultaat	habitattype	sbzh	habitatsubtype	n_obs	index_hq_mean	index_hq_llci_0.95	index_hq_ulci_0.95
Vlaanderen	Versie 3	Habitattype	2120	Binnen & Buiten	NA	80	0.538076846019417	0.489266985478974	0.58688670655986
Vlaanderen	Versie 3	SBZH	2120	Binnen	NA	73	0.520013698630137	0.471882920424231	0.568144476836043
Vlaanderen	Versie 3	SBZH	2120	Buiten	NA	7	0.615385714285714	0.41129790145996	0.819473527111468
Vlaanderen	Versie 3	Habitatsubtype	2130	Binnen & Buiten	2130_had	40	0.491967121321097	0.456370563102799	0.527563679539394
Vlaanderen	Versie 3	Habitatsubtype	2130	Binnen & Buiten	2130_hd	75	0.425955256316357	0.397376855431923	0.454533657200791
Vlaanderen	Versie 3	Habitattype	2130	Binnen & Buiten	2130_hd; 2130_had	115	0.435927008593153	0.412793778637112	0.459060238549194
Vlaanderen	Versie 3	SBZH	2130	Binnen	2130_hd; 2130_had	110	0.450829958103064	0.428815301884827	0.472844614321302
Vlaanderen	Versie 3	SBZH	2130	Buiten	2130_hd; 2130_had	5	0.274797931570648	0.173341912575258	0.376253950566039
Vlaanderen	Versie 3	Habitattype	2160	Binnen & Buiten	NA	93	0.335408327788495	0.295696613202238	0.375120042374751
Vlaanderen	Versie 3	SBZH	2160	Binnen	NA	90	0.337876666666667	0.296384027305513	0.37936930602782
Vlaanderen	Versie 3	SBZH	2160	Buiten	NA	3	0.294966666666667	0.247577836909246	0.342355496424087
Vlaanderen	Versie 3	Habitattype	2170	Binnen & Buiten	NA	39	0.357189743589744	0.292142282556831	0.422237204622657
Vlaanderen	Versie 3	SBZH	2170	Binnen	NA	39	0.357189743589744	0.292142282556831	0.422237204622657
Vlaanderen	Versie 3	Habitattype	2180	Binnen & Buiten	NA	85	0.390021762934339	0.339749805378637	0.44029372049004
Vlaanderen	Versie 3	SBZH	2180	Binnen	NA	82	0.397491463414634	0.348275164554776	0.446707762274492
Vlaanderen	Versie 3	SBZH	2180	Buiten	NA	3	0.1962	-0.293634352000755	0.686034352000756
Vlaanderen	Versie 3	Habitatsubtype	2190	Binnen & Buiten	2190_mp	39	0.45508717948718	0.415853035749793	0.494321323224566
Vlaanderen	Versie 3	Habitatsubtype	2190	Binnen & Buiten	2190_overig	28	0.367268200604528	0.312034040905434	0.422502360303621
Vlaanderen	Versie 3	Habitattype	2190	Binnen & Buiten	2190_mp; 2190_overig	67	0.439634681581506	0.407720709372886	0.471548653790126
Vlaanderen	Versie 3	SBZH	2190	Binnen	2190_mp; 2190_overig	65	0.440012247584346	0.407580770661938	0.472443724506753
Vlaanderen	Versie 3	SBZH	2190	Buiten	2190_overig	2	0.3518	0.249292	0.454308
