id	type_analysis	status	aggregatiemethode	n_zb_ongunstig	aandeel_gunstig	index_mean_ind	index_mean_crit	doelbereik_mean_ind
103601_2120_2019-11-04	2120	0	RapportageHR	2	60	0.2	-0.0588	0.6
103601_2120_2019-11-04	2160	1	RapportageHR	0	75	0.5	-0.1429	0.75
1036081_2022-08-05	2160	1	RapportageHR	0	80	0.5126	0.1877	0.84
1037749_2022-08-01	2160	1	RapportageHR	0	60	0.2108	-0.3153	0.6108
10381105_2130_had_2019-10-22	2130_had	0	RapportageHR	1	62.5	0.31	-0.1267	0.685
1038513_2022-09-30	2160	1	RapportageHR	0	80	0.4387	0.1846	0.92
10392753_2120_2019-10-31	2120	0	RapportageHR	2	80	0.4911	0.3676	0.8411
10398513_2120_2018-09-27	2120	0	RapportageHR	1	70	0.377	0.035	0.842
10399281_2120_2019-10-23	2120	1	RapportageHR	0	90	0.7667	0.3111	0.9
10415921_2023-10-31	2170	0	RapportageHR	1	60	0.3787	-0.0133	0.8587
10415921_2170_2018-08-24	2170	0	RapportageHR	1	60	0.4215	0.0135	0.8215
10419637_2120_2019-10-16	2120	1	RapportageHR	0	90	0.7332	0.2888	0.9
1044273_2120_2018-07-23	2130_hd	1	RapportageHR	0	75	0.5286	0.1126	0.8202
1044273_2120_2018-07-23	2160	1	RapportageHR	0	75	0.55	0.1	0.8
10458289_2120_2019-11-04	2120	0	RapportageHR	2	80	0.602	0.4413	0.9353
10462645_2120_2019-10-17	2120	1	RapportageHR	0	90	0.716	0.2692	0.9
1047861_2023-08-25	2120	0	RapportageHR	2	50	0.1039	-0.1965	0.6469
1047861_2120_2019-10-28	2120	0	RapportageHR	2	50	-0.0119	-0.2771	0.6548
10517813_2120_2019-10-28	2120	0	RapportageHR	1	90	0.7268	0.5457	0.9933
1053873_2023-09-12	2120	0	RapportageHR	2	60	0.3322	-0.0383	0.76
1053873_2120_2019-10-31	2120	0	RapportageHR	2	70	0.4516	0.3307	0.8738
10547637_2130_hd_2019-10-16	2130_hd	1	RapportageHR	0	75	0.4211	-0.0526	0.75
10578737_2023-08-18	2120	0	RapportageHR	2	60	0.3788	0.0289	0.8329
10578737_2120_2018-09-27	2120	1	RapportageHR	0	80	0.6	0.1667	0.8
1057969_2022-10-06	2160	1	RapportageHR	0	75	0.575	0.1833	0.85
1060149_2180_2020-09-14	2180	0	RapportageHR	1	60	0.3409	-0.0984	0.7409
1060401_2024-09-10	2160	1	RapportageHR	0	80	0.4823	0.1372	0.88
10606705_2120_2019-10-18	2120	1	RapportageHR	0	90	0.7446	0.5607	0.9921
10642869_2130_hd_2019-10-18	2130_hd	0	RapportageHR	1	62.5	0.2877	-0.1416	0.746
10654897_2120_2019-11-04	2120	0	RapportageHR	1	90	0.6168	0.4724	0.9
10665777_2023-08-11	2120	0	RapportageHR	2	60	0.326	-0.0373	0.7343
10665777_2120_2018-08-23	2120	0	RapportageHR	2	60	0.2216	-0.1157	0.6883
10672241_2120_2019-10-18	2120	0	RapportageHR	1	90	0.6735	0.5018	0.9896
1069233_2024-09-03	2160	0	RapportageHR	0	40	0.1348	-0.0717	0.7348
107697_2022-08-31	2180	1	RapportageHR	0	80	0.4513	0.1004	0.825
10778801_2130_hd_2019-10-24	2130_hd	0	RapportageHR	1	62.5	0.1964	-0.2024	0.6964
10809137_2190_mp_2018-08-14	2190_mp	1	RapportageHR	0	80	0.5781	0.1113	0.8667
10839857_2024-08-07	2130_had	0	RapportageHR	1	62.5	0.408	0.0065	0.783
10839857_2130_had_2019-10-22	2130_had	0	RapportageHR	1	62.5	0.3187	-0.0531	0.6937
1090737_2022-08-12	2180	0	RapportageHR	1	60	0.2344	-0.0202	0.7947
110385_2020-07-15	2160	0	RapportageHR	0	40	-0.0444	-0.4691	0.5556
110705_2020-07-14	2120	0	RapportageHR	1	60	0.2529	-0.0954	0.764
11071281_2190_mp_2018-08-14	2190_mp	1	RapportageHR	0	80	0.5262	0.0789	0.8667
11080881_1_2021-07-22	2190_mp	1	RapportageHR	0	80	0.4407	-0.0996	0.8
1113397_2020-09-14	2160	1	RapportageHR	0	75	0.55	0.1	0.8
1113397_2020-09-14	2180	0	RapportageHR	1	60	0.2	-0.5	0.6
111985_2020-07-20	2120	0	RapportageHR	2	70	0.4538	0.0709	0.8338
11375793_2021-08-31	2190_mp	1	RapportageHR	0	80	0.4803	-0.0748	0.8
11413617_2021-08-02	2190_mp	0	RapportageHR	1	60	0.1981	-0.2512	0.798
11457713_1_2021-07-19	2190_mp	1	RapportageHR	0	80	0.3459	-0.1588	0.8
11530033_2023-11-03	2130_hd	0	RapportageHR	1	62.5	0.3976	-0.0252	0.8097
11530033_2023-11-03	2170	1	RapportageHR	0	80	0.6269	0.2153	0.8667
11530033_2170_2018-07-23	2130_hd	0	RapportageHR	1	62.5	0.2676	-0.1994	0.7083
11530033_2170_2018-07-23	2170	1	RapportageHR	0	80	0.4414	-0.0172	0.8
11573_2180_2020-09-09	2180	0	RapportageHR	1	60	0.2	-0.3333	0.6
1158961_2022-09-27	2180	0	RapportageHR	2	40	0.1622	-0.1551	0.7622
11595569_2170_2018-08-20	2130_hd	1	RapportageHR	0	75	0.5461	0.1693	0.854
116849_2024-07-02	2130_hd	0	RapportageHR	1	62.5	0.3703	0.0035	0.762
11686065_2021-08-27	2190_mp	1	RapportageHR	0	80	0.5379	-0.0388	0.8
1172657_2180_2020-09-21	2180	0	RapportageHR	1	60	0.3	-0.0859	0.7727
11923249_2024-07-01	2190_mp	1	RapportageHR	0	80	0.5177	0.0735	0.8667
11923249_2190_mp_2018-07-23	2190_mp	1	RapportageHR	0	80	0.5924	0.2452	0.9333
12054321_2023-11-06	2170	1	RapportageHR	0	80	0.5294	0.0809	0.8667
12054321_2170_2018-09-20	2170	0	RapportageHR	1	60	0.3874	-0.0079	0.7874
120945_2020-07-14	2120	0	RapportageHR	3	60	0.1954	-0.1392	0.679
121525_2020-07-02	2120	1	RapportageHR	0	77.7778	0.6481	0.2556	0.8704
1223473_2020-09-15	2190_mp	1	RapportageHR	0	80	0.3936	-0.129	0.8
122673_2021-08-10	2120	1	RapportageHR	0	90	0.7667	0.3111	0.9
12401_2021-08-11	2120	0	RapportageHR	3	50	0	-0.2977	0.6336
1240881_2023-10-26	2130_hd	0	RapportageHR	1	62.5	0.255	-0.2037	0.7485
1240881_2023-10-26	2170	1	RapportageHR	0	80	0.4922	0.1234	0.8667
1240881_2170_2018-09-18	2170	1	RapportageHR	0	80	0.5684	0.1053	0.8667
12431153_2190_mp_2018-08-21	2190_mp	1	RapportageHR	0	80	0.2883	-0.1948	0.8
12545841_2023-11-06	2130_hd	1	RapportageHR	0	75	0.3511	-0.1467	0.75
12545841_2023-11-06	2170	1	RapportageHR	0	80	0.4034	-0.0431	0.8
12545841_2170_2018-09-20	2160	1	RapportageHR	0	75	0.4149	-0.0524	0.8
12545841_2170_2018-09-20	2170	0	RapportageHR	1	60	0.3541	0.0138	0.8622
1264241_2024-08-07	2130_had	1	RapportageHR	0	75	0.4422	-0.0352	0.7525
12644145_2023-10-31	2170	0	RapportageHR	2	20	-0.0572	-0.2858	0.7428
12644145_2170_2018-08-24	2170	0	RapportageHR	2	20	0.0213	-0.2367	0.8213
126769_2024-08-23	2190_mp	1	RapportageHR	0	80	0.5873	0.1171	0.8667
1276081_2020-08-21	2130_hd	1	RapportageHR	0	75	0.5889	0.2	0.8556
1298609_2020-09-01	2180	0	RapportageHR	1	60	0.2	-0.3333	0.6
1303729_2022-08-30	2180	0	RapportageHR	0	40	-0.0234	-0.1912	0.7369
1306417_2024-08-02	2170	0	RapportageHR	1	40	0.1004	-0.3123	0.7004
13070129_2024-07-04	2130_hd	0	RapportageHR	1	50	0.0762	-0.2825	0.662
13070129_2170_2018-09-20	2170	1	RapportageHR	0	80	0.4794	0.0496	0.8667
130865_2021-08-10	2160	0	RapportageHR	0	40	-0.0961	-0.4089	0.612
1322293_2022-08-02	2180	0	RapportageHR	2	40	-0.0164	-0.297	0.7169
1354545_2023-08-18	2170	1	RapportageHR	0	80	0.5271	0.0794	0.8667
13561649_2170_2018-08-24	2170	1	RapportageHR	0	80	0.6467	0.1542	0.8667
13594417_2170_2018-09-20	2170	1	RapportageHR	0	80	0.4667	0.0417	0.8667
136885_2021-08-09	2120	0	RapportageHR	2	70	0.297	-0.0785	0.7
1371953_2020-07-15	2190_mp	1	RapportageHR	0	80	0.6238	0.1398	0.8667
137393_2160_2020-08-19	2160	1	RapportageHR	0	60	0.3	-0.1444	0.72
1375541_2020-07-01	2190_mp	1	RapportageHR	0	80	0.329	-0.1694	0.8
13823793_2170_2018-09-18	2170	1	RapportageHR	0	80	0.5675	0.1047	0.8667
13889329_2170_2018-09-20	2170	0	RapportageHR	1	60	0.4403	0.0252	0.8603
1391925_2022-08-02	2180	0	RapportageHR	1	40	0.0076	-0.3047	0.6076
1418417_2022-08-11	2180	1	RapportageHR	0	80	0.4397	0.0661	0.8
1421105_2020-07-15	2190_mp	1	RapportageHR	0	80	0.5009	0.063	0.8667
143153_2020-07-29	2130_hd	1	RapportageHR	0	75	0.4322	-0.0418	0.7525
1434801_2022-08-30	2180	0	RapportageHR	1	40	-0.133	-0.3265	0.6584
143797_2020-07-09	2120	1	RapportageHR	0	90	0.7933	0.3289	0.9
1462325_2022-08-02	2180	0	RapportageHR	1	40	0.0838	-0.2413	0.6838
1484977_2022-09-02	2180	0	RapportageHR	1	60	0.1832	-0.2132	0.7165
1506613_2022-08-04	2180	0	RapportageHR	1	60	0.3219	-0.1301	0.7219
152753_2022-09-06	2160	1	RapportageHR	0	75	0.6	0.2	0.85
1550513_2022-09-08	2180	0	RapportageHR	1	40	-0.068	-0.325	0.5786
1565873_2022-08-31	2180	1	RapportageHR	0	60	0.1894	-0.0451	0.7964
1566897_2022-09-02	2180	0	RapportageHR	2	20	-0.2584	-0.4586	0.5416
159537_2021-08-09	2130_hd	1	RapportageHR	0	62.5	0.2642	-0.1438	0.6392
1630385_2022-09-30	2180	0	RapportageHR	1	60	0.0968	-0.3907	0.6
163633_2023-08-31	2120	1	RapportageHR	0	100	0.7769	0.5781	1
1660081_2020-09-02	2190_mp	1	RapportageHR	0	80	0.6252	0.2658	0.9333
1670453_2022-08-04	2180	0	RapportageHR	1	60	0.2679	-0.2202	0.6679
1676465_1_2021-09-16	2170	1	RapportageHR	0	80	0.3675	-0.0203	0.8667
16772913_2024-08-21	2190_mp	1	RapportageHR	0	80	0.5403	0.0877	0.8667
16772913_2190_mp_2018-08-20	2190_mp	1	RapportageHR	0	80	0.5345	0.0841	0.8667
1680561_2022-08-11	2180	0	RapportageHR	1	40	0.0334	-0.2618	0.6334
169137_2021-08-24	2160	1	RapportageHR	0	60	0.34	-0.1	0.74
169137_2024-07-03	2130_hd	1	RapportageHR	0	75	0.4571	-0.0191	0.7571
169137_2024-07-03	2160	1	RapportageHR	0	75	0.55	0.1	0.8
1696945_2022-08-30	2180	0	RapportageHR	1	40	-0.0382	-0.2738	0.6013
1700017_2024-08-08	2130_had	0	RapportageHR	1	62.5	0.3497	-0.0934	0.7247
1710001_2020-08-24	2160	1	RapportageHR	0	60	0.28	-0.2	0.68
1748785_2024-08-22	2190_mp	1	RapportageHR	0	80	0.5699	0.1062	0.8667
174897_2020-07-28	2120	0	RapportageHR	1	90	0.6771	0.4888	0.9635
175921_2020-08-13	2190_mp	1	RapportageHR	0	80	0.437	-0.1019	0.8
1792053_2022-08-04	2160	1	RapportageHR	0	60	0.3341	-0.1099	0.7341
1797937_2024-08-02	2170	1	RapportageHR	0	60	0.2272	-0.233	0.784
180017_2020-07-30	2130_hd	1	RapportageHR	0	75	0.42	-0.0489	0.7533
1812657_2022-09-08	2180	0	RapportageHR	1	40	-0.0392	-0.309	0.6199
1830705_2020-08-17	2190_mp	1	RapportageHR	0	80	0.4518	-0.0926	0.8
188593_2021-08-04	2130_had	1	RapportageHR	0	75	0.5949	0.4602	0.941
1892529_2022-09-30	2180	0	RapportageHR	2	20	-0.3901	-0.6612	0.4099
1896241_2021-08-13	2190_mp	1	RapportageHR	0	80	0.5443	0.0902	0.8667
1898673_2024-08-23	2190_mp	1	RapportageHR	0	80	0.4975	-0.0641	0.8
1922225_2024-09-04	2190_mp	1	RapportageHR	0	80	0.4983	-0.0635	0.8
192305_2021-08-03	2160	1	RapportageHR	0	60	0.34	-0.1	0.74
192625_2020-07-14	2120	1	RapportageHR	0	90	0.6627	0.2373	0.9
1938609_2021-08-27	2190_mp	1	RapportageHR	0	80	0.4793	-0.0755	0.8
1945393_2020-07-15	2190_mp	1	RapportageHR	0	80	0.3784	-0.1385	0.8
1953969_2022-09-30	2180	0	RapportageHR	1	60	0.1801	-0.3444	0.6
196021_2020-07-09	2120	0	RapportageHR	1	80	0.5481	0.1427	0.8756
1986613_2022-08-02	2180	0	RapportageHR	1	40	0.0771	-0.245	0.6838
1992497_2024-08-05	2130_had	1	RapportageHR	0	75	0.4924	0.0176	0.767
2003969_2022-08-01	2180	0	RapportageHR	1	60	0.1933	-0.337	0.6
2003969_2023-06-06	2180	0	RapportageHR	1	60	0.3139	-0.1286	0.7273
20081_2023-08-08	2130_hd	1	RapportageHR	0	75	0.3679	-0.0365	0.7887
2027313_2020-08-17	2130_hd	1	RapportageHR	0	87.5	0.7604	0.5486	0.9062
2057585_2020-07-20	2130_hd	1	RapportageHR	0	75	0.4484	-0.0277	0.755
2085041_2024-08-08	2130_had	1	RapportageHR	0	75	0.4682	-0.008	0.7599
2090161_2022-08-30	2180	0	RapportageHR	1	40	-0.0598	-0.1836	0.7006
2108725_2022-08-02	2180	0	RapportageHR	1	40	0.0838	-0.2413	0.6838
2135217_2024-09-03	2190_mp	0	RapportageHR	1	40	0.0071	-0.3706	0.7346
2139313_2022-08-30	2180	1	RapportageHR	0	60	0.0818	-0.0772	0.83
2145589_2022-08-04	2180	0	RapportageHR	2	40	0.0235	-0.3728	0.6235
2151425_2022-08-01	2180	0	RapportageHR	1	40	0.0737	-0.2899	0.6737
2161_2020-07-10	2130_hd	1	RapportageHR	0	75	0.3442	-0.0841	0.7648
2178357_2022-08-02	2180	0	RapportageHR	1	60	0.2691	-0.1595	0.7219
2178865_2020-08-24	2160	1	RapportageHR	0	60	0.28	-0.2	0.68
2205109_2022-08-01	2180	0	RapportageHR	1	60	0.2673	-0.1546	0.7273
2207537_2022-09-27	2180	0	RapportageHR	2	40	-0.175	-0.3424	0.625
2221233_2022-08-11	2180	0	RapportageHR	1	60	0.1946	-0.0423	0.8216
228977_2020-07-23	2160	1	RapportageHR	0	80	0.48	0.1333	0.88
2314293_2023-08-25	2180	0	RapportageHR	2	20	-0.1755	-0.3576	0.6245
23221_2020-07-03	2130_hd	0	RapportageHR	1	62.5	0.3693	-0.0706	0.7485
2352305_2023-08-21	2180	0	RapportageHR	1	40	-0.2185	-0.2995	0.5419
2358709_2023-09-04	2180	0	RapportageHR	1	60	0.2417	-0.2343	0.6683
2390193_2020-08-24	2130_hd	1	RapportageHR	0	75	0.4639	-0.0167	0.7555
2401457_2023-08-21	2180	0	RapportageHR	1	60	0.1818	-0.0494	0.7488
240433_2180_2020-09-16	2180	0	RapportageHR	1	60	0.1083	-0.3843	0.6
2420529_2020-07-15	2190_mp	1	RapportageHR	0	80	0.5306	0.0816	0.8667
2430129_2024-09-17	2170	1	RapportageHR	0	60	0.2307	-0.2308	0.7707
2456885_1_2023-08-25	2180	0	RapportageHR	2	20	-0.3383	-0.557	0.4617
2466993_2023-08-21	2180	1	RapportageHR	0	80	0.2499	-0.0393	0.8
255153_2180_2020-09-21	2180	1	RapportageHR	0	80	0.403	0.1013	0.85
256177_2022-09-07	2180	0	RapportageHR	2	40	0.0373	-0.2665	0.6373
25777_2021-08-24	2120	0	RapportageHR	1	70	0.4714	0.1143	0.7714
2593969_2020-08-27	2190_mp	1	RapportageHR	0	80	0.4834	0.0521	0.8667
259889_2021-08-06	2120	1	RapportageHR	0	100	0.7219	0.5428	1
268341_2180_2020-09-14	2180	0	RapportageHR	1	60	0.1442	-0.347	0.6156
273717_2180_2020-09-07	2180	0	RapportageHR	1	60	0.1041	-0.23	0.7409
2741_2021-08-09	2120	1	RapportageHR	0	90	0.6667	0.2444	0.9
2780977_2020-07-29	2170	0	RapportageHR	1	60	0.3255	-0.1716	0.7255
293041_2020-08-24	2130_hd	1	RapportageHR	0	62.5	0.3148	-0.0784	0.756
2987185_2021-08-27	2190_mp	1	RapportageHR	0	80	0.1786	-0.2634	0.8
2993969_2021-08-13	2190_mp	1	RapportageHR	0	80	0.3262	-0.1711	0.8
3026229_2020-07-02	2190_mp	1	RapportageHR	0	80	0.4182	-0.1136	0.8
3036337_2020-09-02	2190_mp	1	RapportageHR	0	80	0.4849	0.0531	0.8667
304305_2021-08-26	2160	1	RapportageHR	0	60	0.24	-0.2667	0.64
3043121_2020-07-29	2130_hd	0	RapportageHR	1	62.5	0.4333	0.0665	0.8082
305329_2021-08-26	2120	1	RapportageHR	0	80	0.5583	0.1389	0.8
3069105_1_2021-07-20	2190_mp	1	RapportageHR	0	80	0.3973	-0.1267	0.8
3141425_2020-07-08	2130_hd	1	RapportageHR	0	75	0.4845	0.0575	0.8009
3168949_2020-07-03	2190_mp	1	RapportageHR	0	80	0.4684	-0.0823	0.8
319665_2021-08-04	2130_had	1	RapportageHR	0	75	0.5683	0.2478	0.9017
32053_2020-07-06	2160	1	RapportageHR	0	80	0.48	0.1333	0.88
326965_2020-07-01	2190_mp	1	RapportageHR	0	80	0.5273	0.0795	0.8667
329841_2021-08-10	2160	1	RapportageHR	0	80	0.4668	0.1113	0.84
337073_2021-08-26	2160	1	RapportageHR	0	80	0.5526	0.2544	0.88
338033_2021-08-02	2130_had	0	RapportageHR	1	62.5	0.381	-0.0694	0.756
339505_2021-08-16	2120	1	RapportageHR	0	90	0.7778	0.3185	0.9
3403569_2020-07-30	2130_hd	1	RapportageHR	0	75	0.4839	0.1167	0.8456
3495089_1_2021-09-03	2170	0	RapportageHR	1	60	0.1784	-0.2635	0.7784
3550769_2021-08-18	2170	0	RapportageHR	1	40	0.1021	-0.3112	0.7021
358577_2020-08-21	2130_had	1	RapportageHR	0	75	0.467	-0.022	0.75
3587889_2020-07-30	2130_hd	1	RapportageHR	0	75	0.5615	0.1896	0.8615
3600177_2020-08-13	2190_mp	1	RapportageHR	0	80	0.5503	0.094	0.8667
360241_2021-08-16	2120	0	RapportageHR	1	80	0.6292	0.2123	0.8828
363313_2023-08-18	2120	1	RapportageHR	0	90	0.6912	0.5231	0.9662
3637_2020-09-01	2130_hd	0	RapportageHR	1	62.5	0.3475	-0.1017	0.735
3642545_2020-08-27	2170	1	RapportageHR	0	80	0.5602	-0.0249	0.8
365745_2022-10-14	2160	1	RapportageHR	0	80	0.4423	0.0706	0.84
3665713_2020-07-30	2160	0	RapportageHR	1	50	0.3445	0.0297	0.8445
369841_2022-08-12	2180	0	RapportageHR	1	60	0.2839	0.0351	0.8443
370101_2021-08-10	2160	1	RapportageHR	0	80	0.4823	0.1372	0.88
371505_2020-07-28	2120	0	RapportageHR	3	60	0.2282	-0.1112	0.7521
3740849_1_2021-09-09	2170	1	RapportageHR	0	80	0.58	-0.0125	0.8
