id	type_analysis	status	aggregatiemethode	n_zb_ongunstig	aandeel_gunstig	index_mean_ind	index_mean_crit	doelbereik_mean_ind
10010417_2023-08-11	2120	0	RapportageHR	2	60	0.3466	0.0074	0.7466
10010417_2120_2019-10-24	2120	0	RapportageHR	2	60	0.2	-0.1	0.6
10038833_2023-08-31	2120	1	RapportageHR	0	100	0.8052	0.6027	1
10038833_2120_2019-10-23	2120	1	RapportageHR	0	100	0.8006	0.5994	1
10048689_1_2021-07-27	2190_mp	1	RapportageHR	0	100	0.7217	0.451	1
10057905_2023-08-14	2130_hd	1	RapportageHR	0	75	0.5005	0.0617	0.796
10057905_2120_2019-10-25	2120	0	RapportageHR	2	50	0.1175	-0.1836	0.6175
10057905_2130_hd_2019-10-24	2130_hd	1	RapportageHR	0	75	0.4895	0.0512	0.7936
10071601_2023-08-31	2120	0	RapportageHR	1	90	0.6012	0.4395	0.9909
10071601_2120_2019-10-23	2120	0	RapportageHR	3	70	0.4906	0.3569	0.9573
10082417_2023-08-07	2130_hd	1	RapportageHR	0	75	0.527	0.1371	0.8394
10082417_2130_hd_2019-10-18	2130_hd	1	RapportageHR	0	75	0.4842	-0.0038	0.755
10082997_2023-09-04	2130_hd	1	RapportageHR	0	75	0.4083	-0.0444	0.7625
10082997_2130_hd_2019-10-14	2130_hd	1	RapportageHR	0	75	0.4693	-0.017	0.7526
1009077_2023-08-02	2120	1	RapportageHR	0	100	0.7322	0.5469	1
1009077_2120_2019-10-17	2120	1	RapportageHR	0	90	0.7257	0.5449	0.9917
10102837_2130_hd_2019-10-28	2130_hd	1	RapportageHR	0	75	0.538	0.1689	0.8577
10104625_2024-07-04	2130_hd	1	RapportageHR	0	87.5	0.6241	0.2702	0.875
10104625_2130_hd_2019-10-23	2130_hd	1	RapportageHR	0	75	0.5501	0.1167	0.8125
1011505_2022-09-27	2160	0	RapportageHR	1	20	-0.1797	-0.4878	0.6203
101169_2023-08-16	2130_hd	1	RapportageHR	0	75	0.4407	-0.0193	0.7652
10129201_2023-08-10	2120	1	RapportageHR	0	90	0.6978	0.2652	0.9
10129201_2120_2019-10-21	2120	0	RapportageHR	1	90	0.7476	0.5644	0.9768
10130609_2023-08-30	2120	0	RapportageHR	2	80	0.4667	0.3352	0.8222
10130609_2120_2019-11-04	2120	0	RapportageHR	2	80	0.4612	0.3461	0.8612
10137393_2024-08-22	2190_mp	1	RapportageHR	0	80	0.4465	0.0291	0.8667
10138801_2023-09-12	2120	0	RapportageHR	1	90	0.697	0.5274	0.9922
10138801_2120_2019-10-31	2120	1	RapportageHR	0	100	0.7509	0.6896	1
1013937_2023-08-14	2130_hd	1	RapportageHR	0	75	0.6043	0.2529	0.8875
1013937_2120_2019-10-25	2120	0	RapportageHR	3	50	0.0714	-0.2405	0.5714
1013937_2130_hd_2019-10-25	2130_hd	1	RapportageHR	0	75	0.478	0.0715	0.8146
1015221_2023-08-07	2130_hd	1	RapportageHR	0	75	0.4495	0.0186	0.7892
1015221_2130_hd_2019-10-16	2130_hd	1	RapportageHR	0	75	0.5625	0.1856	0.858
10153777_2023-08-22	2120	0	RapportageHR	1	70	0.5256	0.1504	0.8527
10153777_2120_2018-07-16	2120	0	RapportageHR	1	80	0.6	0.1667	0.8
10157365_2023-09-05	2130_hd	0	RapportageHR	1	62.5	0.3272	-0.0668	0.7349
10157365_2130_hd_2019-10-28	2130_hd	0	RapportageHR	1	62.5	0.3515	-0.0472	0.7472
10157493_2023-08-01	2130_hd	1	RapportageHR	0	75	0.4416	0.0331	0.8041
10157493_2130_hd_2019-10-17	2130_hd	1	RapportageHR	0	75	0.449	-0.0299	0.7531
10157873_2023-08-10	2130_hd	1	RapportageHR	0	87.5	0.7119	0.446	0.9786
10157873_2130_hd_2019-10-23	2130_hd	1	RapportageHR	0	75	0.5287	0.1014	0.8117
10160821_2130_hd_2019-10-14	2130_hd	0	RapportageHR	1	62.5	0.3644	-0.0863	0.7519
10172209_2023-08-16	2130_hd	1	RapportageHR	0	75	0.4964	0.0428	0.7838
10172209_2130_hd_2019-10-22	2130_hd	1	RapportageHR	0	75	0.4921	0.0398	0.7838
10184117_2023-08-01	2130_hd	0	RapportageHR	1	62.5	0.3188	-0.1208	0.7438
10184117_2130_HD_2019-10-17	2130_hd	0	RapportageHR	1	62.5	0.2386	-0.1743	0.688
10186545_2023-08-11	2130_hd	1	RapportageHR	0	75	0.4784	-0.0044	0.7575
10186545_2023-08-22	2170	0	RapportageHR	1	40	0.203	-0.1231	0.803
10186545_2120_2018-09-26	2120	0	RapportageHR	2	60	0.2	-0.1333	0.6
10186545_2130_hd_2018-08-23	2130_hd	1	RapportageHR	0	75	0.4611	-0.0222	0.7528
10186545_2170_2018-08-23	2170	1	RapportageHR	0	80	0.2815	-0.199	0.7997
1021105_2022-10-11	2160	1	RapportageHR	0	80	0.4668	0.1113	0.84
1021105_2023-08-30	2120	0	RapportageHR	2	60	0.31	-0.0469	0.7489
1021105_2120_2019-11-04	2120	0	RapportageHR	2	60	0.2243	-0.1125	0.6743
10213553_2130_hd_2019-10-25	2130_hd	1	RapportageHR	0	75	0.5391	0.1171	0.8182
10219313_2023-08-09	2130_hd	1	RapportageHR	0	75	0.4947	0.0382	0.7812
10219313_2130_hd_2018-09-26	2130_hd	1	RapportageHR	0	75	0.447	0.0064	0.7812
10219313_2170_2018-09-26	2130_hd	1	RapportageHR	0	75	0.4522	0.0737	0.8562
10219313_2170_2018-09-26	2170	0	RapportageHR	1	60	0.3186	0.0051	0.8467
10221745_2130_hd_2019-10-24	2130_hd	1	RapportageHR	0	75	0.3551	-0.0932	0.7525
10233009_2023-09-06	2120	0	RapportageHR	1	90	0.651	0.4772	0.9928
10233009_2120_2019-10-31	2120	1	RapportageHR	0	80	0.528	0.1329	0.8917
10235441_2130_hd_2019-10-24	2130_hd	1	RapportageHR	0	75	0.5194	0.0777	0.7986
10239793_2023-08-14	2120	0	RapportageHR	1	60	0.2948	-0.0368	0.6948
10239793_2120_2019-10-24	2120	0	RapportageHR	1	60	0.2968	-0.0355	0.6968
10252081_2024-08-21	2130_hd	1	RapportageHR	0	75	0.5304	0.1552	0.8512
10252081_2130_hd_2018-08-21	2130_hd	1	RapportageHR	0	75	0.5458	0.175	0.8583
10260273_2023-08-09	2130_hd	1	RapportageHR	0	75	0.572	0.1605	0.8344
10260273_2130_hd_2018-07-20	2130_hd	1	RapportageHR	0	75	0.5828	0.1711	0.8369
10266801_2130_hd_2019-10-25	2130_hd	1	RapportageHR	0	75	0.4986	0.0028	0.7528
10283825_2023-08-09	2130_hd	0	RapportageHR	1	62.5	0.3258	-0.0744	0.7785
10283825_2130_hd_2018-09-27	2130_hd	0	RapportageHR	2	50	0.2273	-0.1401	0.7523
10288565_2130_HD_2019-10-16	2130_hd	1	RapportageHR	0	75	0.3833	-0.0778	0.75
10291313_2120_2019-10-18	2120	1	RapportageHR	0	100	0.8283	0.7449	1
10291313_2120_2024-07-02	2120	1	RapportageHR	0	100	0.8122	0.7317	1
10300977_2023-09-07	2120	0	RapportageHR	1	90	0.488	0.344	0.9
10300977_2120_2019-10-23	2120	0	RapportageHR	2	70	0.3764	0.2696	0.8646
1030321_2022-09-28	2160	1	RapportageHR	0	60	0.2508	-0.2486	0.6508
10314929_2019-10-31	2130_hd	1	RapportageHR	0	75	0.4363	0.0259	0.8013
10323381_2023-06-16	2120	1	RapportageHR	0	90	0.6951	0.2614	0.9
10323381_2120_2019-10-17	2120	1	RapportageHR	0	90	0.6667	0.2444	0.9
10327217_2021-08-31	2190_mp	1	RapportageHR	0	80	0.4013	-0.1242	0.8
10333745_2023-08-31	2120	0	RapportageHR	2	80	0.4993	0.3595	0.8895
10333745_2120_2019-10-23	2120	1	RapportageHR	0	100	0.7743	0.5774	1
10334001_2190_2018-08-14	2190_mp	1	RapportageHR	0	80	0.6611	0.2882	0.9333
10342193_2120_2019-10-15	2120	1	RapportageHR	0	80	0.6	0.1667	0.8
103425_2023-08-02	2130_hd	0	RapportageHR	1	62.5	0.2806	-0.0339	0.8056
103425_2130_hd_2019-10-17	2130_hd	0	RapportageHR	1	62.5	0.3455	-0.0613	0.7705
10350385_2023-08-22	2120	0	RapportageHR	1	70	0.3258	-0.0178	0.711
10350385_2120_2018-07-16	2120	0	RapportageHR	1	60	0.2625	-0.0591	0.7063
10353973_2120_2019-10-28	2120	1	RapportageHR	0	100	0.7609	0.5662	1
103601_2023-08-30	2120	1	RapportageHR	0	80	0.5109	0.1042	0.8
