id	type_analysis	criterium	status_criterium	aggregatiemethode	index_min_criterium	index_harm_criterium
10010417_2023-08-11	2120	Structuur	0	RapportageHR	-0.4229	0.2374
10010417_2023-08-11	2120	Vegetatie	0	RapportageHR	-1	-1
10010417_2023-08-11	2120	Verstoring	0	RapportageHR	-1	-1
10010417_2120_2019-10-24	2120	Structuur	0	RapportageHR	-1	-1
10010417_2120_2019-10-24	2120	Vegetatie	0	RapportageHR	-1	-1
10010417_2120_2019-10-24	2120	Verstoring	0	RapportageHR	-1	-1
10038833_2023-08-31	2120	Structuur	1	RapportageHR	0.9583	0.9894
10038833_2023-08-31	2120	Vegetatie	1	RapportageHR	0	0
10038833_2023-08-31	2120	Verstoring	1	RapportageHR	0.5	0.7893
10038833_2120_2019-10-23	2120	Structuur	1	RapportageHR	0.9444	0.9858
10038833_2120_2019-10-23	2120	Vegetatie	1	RapportageHR	0	0
10038833_2120_2019-10-23	2120	Verstoring	1	RapportageHR	0.3944	0.7749
10048689_1_2021-07-27	2190_mp	Vegetatie	1	RapportageHR	0	0
10048689_1_2021-07-27	2190_mp	Verstoring	1	RapportageHR	0.083	0.6449
10057905_2023-08-14	2130_hd	Vegetatie	0	RapportageHR	-1	-1
10057905_2023-08-14	2130_hd	Verstoring	1	RapportageHR	0.7357	0.9339
10057905_2120_2019-10-25	2120	Structuur	0	RapportageHR	-1	-1
10057905_2120_2019-10-25	2120	Vegetatie	0	RapportageHR	-1	-1
10057905_2120_2019-10-25	2120	Verstoring	0	RapportageHR	-1	-1
10057905_2130_hd_2019-10-24	2130_hd	Vegetatie	0	RapportageHR	-1	-1
10057905_2130_hd_2019-10-24	2130_hd	Verstoring	1	RapportageHR	0.6667	0.9192
10071601_2023-08-31	2120	Structuur	0	RapportageHR	-0.0909	0.4254
10071601_2023-08-31	2120	Vegetatie	1	RapportageHR	0	0
10071601_2023-08-31	2120	Verstoring	1	RapportageHR	0.2727	0.6705
10071601_2120_2019-10-23	2120	Structuur	0	RapportageHR	-0.1607	0.234
10071601_2120_2019-10-23	2120	Vegetatie	1	RapportageHR	0	0
10071601_2120_2019-10-23	2120	Verstoring	0	RapportageHR	-0.219	0.4162
10082417_2023-08-07	2130_hd	Vegetatie	0	RapportageHR	-1	-1
10082417_2023-08-07	2130_hd	Verstoring	1	RapportageHR	0.6	0.9041
10082417_2130_hd_2019-10-18	2130_hd	Vegetatie	0	RapportageHR	-1	-1
10082417_2130_hd_2019-10-18	2130_hd	Verstoring	1	RapportageHR	0.9	0.9714
10082997_2023-09-04	2130_hd	Vegetatie	0	RapportageHR	-1	-1
10082997_2023-09-04	2130_hd	Verstoring	1	RapportageHR	0.2667	0.8095
10082997_2130_hd_2019-10-14	2130_hd	Vegetatie	0	RapportageHR	-1	-1
10082997_2130_hd_2019-10-14	2130_hd	Verstoring	1	RapportageHR	0.9	0.9545
1009077_2023-08-02	2120	Structuur	1	RapportageHR	0.5248	0.8555
1009077_2023-08-02	2120	Vegetatie	1	RapportageHR	0	0
1009077_2023-08-02	2120	Verstoring	1	RapportageHR	0.2727	0.6998
1009077_2120_2019-10-17	2120	Structuur	1	RapportageHR	0.67	0.9058
1009077_2120_2019-10-17	2120	Vegetatie	1	RapportageHR	0	0
1009077_2120_2019-10-17	2120	Verstoring	1	RapportageHR	-0.0833	0.5675
10102837_2130_hd_2019-10-28	2130_hd	Vegetatie	0	RapportageHR	-0.75	-0.6634
10102837_2130_hd_2019-10-28	2130_hd	Verstoring	1	RapportageHR	0.6427	0.8979
10104625_2024-07-04	2130_hd	Vegetatie	0	RapportageHR	-1	-1
10104625_2024-07-04	2130_hd	Verstoring	1	RapportageHR	0.868	0.9767
10104625_2130_hd_2019-10-23	2130_hd	Vegetatie	0	RapportageHR	-1	-1
10104625_2130_hd_2019-10-23	2130_hd	Verstoring	1	RapportageHR	0.9007	0.9827
1011505_2022-09-27	2160	Structuur	0	RapportageHR	-0.9459	-0.9459
1011505_2022-09-27	2160	Vegetatie	0	RapportageHR	-0.8	-0.8
1011505_2022-09-27	2160	Verstoring	0	RapportageHR	-0.1111	0.1243
101169_2023-08-16	2130_hd	Vegetatie	0	RapportageHR	-1	-1
101169_2023-08-16	2130_hd	Verstoring	1	RapportageHR	0.7047	0.8936
10129201_2023-08-10	2120	Structuur	1	RapportageHR	1	1
10129201_2023-08-10	2120	Vegetatie	0	RapportageHR	-1	-1
10129201_2023-08-10	2120	Verstoring	1	RapportageHR	0.3846	0.7545
10129201_2120_2019-10-21	2120	Structuur	1	RapportageHR	0.9583	0.9894
10129201_2120_2019-10-21	2120	Vegetatie	1	RapportageHR	0	0
10129201_2120_2019-10-21	2120	Verstoring	0	RapportageHR	-0.2321	0.482
10130609_2023-08-30	2120	Structuur	0	RapportageHR	-1	-1
10130609_2023-08-30	2120	Vegetatie	1	RapportageHR	0	0
10130609_2023-08-30	2120	Verstoring	0	RapportageHR	-0.7776	-0.2304
10130609_2120_2019-11-04	2120	Structuur	0	RapportageHR	-0.6833	-0.1411
10130609_2120_2019-11-04	2120	Vegetatie	1	RapportageHR	0	0
10130609_2120_2019-11-04	2120	Verstoring	0	RapportageHR	-0.7043	-0.1499
10138801_2023-09-12	2120	Structuur	1	RapportageHR	0.7619	0.9346
10138801_2023-09-12	2120	Vegetatie	1	RapportageHR	0	0
10138801_2023-09-12	2120	Verstoring	0	RapportageHR	-0.0776	0.4873
10138801_2120_2019-10-31	2120	Structuur	1	RapportageHR	0.3378	0.7797
10138801_2120_2019-10-31	2120	Vegetatie	1	RapportageHR	0.5	0.5
10138801_2120_2019-10-31	2120	Verstoring	1	RapportageHR	0.3333	0.6681
