id	date	point_code	x	y	in_sac	habitattype	habitatsubtype	lsvi	aggregatiemethode	n_zb_ongunstig	aandeel_gunstig	index_mean_ind	doelbereik_mean_ind
10153777_2120_2018-07-16	17728	31_2	32956.7	204141.4	1	2120	12	ongunstig	RapportageHR	1	90	0.7	0.9
10350385_2120_2018-07-16	17728	64_1	32701.6	204014.1	1	2120	12	ongunstig	RapportageHR	1	60	0.2667	0.7063
10665777_2120_2018-08-23	17766	87_1	32061.6	202734.1	1	2120	12	ongunstig	RapportageHR	2	60	0.2933	0.76
10186545_2120_2018-09-26	17800	40_4	32530.46	203123.24	1	2120	12	ongunstig	RapportageHR	2	60	0.2	0.6
10398513_2120_2018-09-27	17801	69_1	37021.59	206894.11	1	2120	12	ongunstig	RapportageHR	1	80	0.5424	0.9536
10578737_2120_2018-09-27	17801	82_1	37629.6	207374.1	1	2120	12	gunstig	RapportageHR	0	80	0.6	0.8
10342193_2120_2019-10-15	18184	63_1	33629.59	204462.1	1	2120	12	gunstig	RapportageHR	0	80	0.6	0.8
10419637_2120_2019-10-16	18185	73_1	59005.59	221230.1	1	2120	12	gunstig	RapportageHR	0	100	0.8999	1
1009077_2120_2019-10-17	18186	4_2	55805.1	219060.2	0	2120	12	gunstig	RapportageHR	0	90	0.7925	0.9917
10323381_2120_2019-10-17	18186	60_1	57853.6	220398.1	1	2120	12	gunstig	RapportageHR	0	100	0.7667	1
10462645_2120_2019-10-17	18186	75_2	56152.42	219213.04	1	2120	12	gunstig	RapportageHR	0	90	0.7195	0.9
10291313_2120_2019-10-18	18187	55_1	53437.6	217518.1	1	2120	12	gunstig	RapportageHR	0	100	0.9074	1
10606705_2120_2019-10-18	18187	83_1	51613.59	216398.1	1	2120	12	gunstig	RapportageHR	0	90	0.778	0.9921
10672241_2120_2019-10-18	18187	88_2	50977.42	216075.64	1	2120	12	gunstig	RapportageHR	0	100	0.8178	1
10129201_2120_2019-10-21	18190	27_2	32300.6	204396.7	1	2120	12	gunstig	RapportageHR	0	100	0.8292	1
10038833_2120_2019-10-23	18192	17_1	29796.3	203375.9	1	2120	12	gunstig	RapportageHR	0	100	0.9056	1
10071601_2120_2019-10-23	18192	20_2	30194.9	203498.8	1	2120	12	ongunstig	RapportageHR	2	80	0.6245	0.9856
10300977_2120_2019-10-23	18192	57_1	29326.8	203104.2	1	2120	12	ongunstig	RapportageHR	1	80	0.494	0.8982
10333745_2120_2019-10-23	18192	61_1	29917.6	203374.1	1	2120	12	gunstig	RapportageHR	0	100	0.8211	1
10399281_2120_2019-10-23	18192	70_1	29693.59	203342.1	1	2120	12	gunstig	RapportageHR	0	90	0.7667	0.9
10010417_2120_2019-10-24	18193	14_2	31262.3	202466.2	1	2120	12	ongunstig	RapportageHR	2	70	0.3	0.7
10239793_2120_2019-10-24	18193	49_1	30339.6	202104.5	1	2120	12	gunstig	RapportageHR	0	70	0.4968	0.7968
10057905_2120_2019-10-25	18194	18_3	29691.71	201394.98	1	2120	12	ongunstig	RapportageHR	2	50	0.1357	0.6358
1013937_2120_2019-10-25	18194	6_2	29757.59	201390.1	1	2120	12	ongunstig	RapportageHR	3	50	0.0714	0.5714
1047861_2120_2019-10-28	18197	11_2	78029.4	228572.7	1	2120	12	ongunstig	RapportageHR	2	50	0.043	0.7096
10353973_2120_2019-10-28	18197	65_2	77657.61	228544.59	1	2120	12	gunstig	RapportageHR	0	100	0.8244	1
10517813_2120_2019-10-28	18197	78_2	78372.79	228778.82	1	2120	12	gunstig	RapportageHR	0	100	0.828	1
1053873_2120_2019-10-31	18200	12_2	23130.4	199570	1	2120	12	ongunstig	RapportageHR	2	70	0.5948	0.917
10138801_2120_2019-10-31	18200	29_2	24354.7	200263.1	1	2120	12	gunstig	RapportageHR	0	100	0.8474	1
10233009_2120_2019-10-31	18200	47_2	23365	199685	1	2120	12	gunstig	RapportageHR	0	90	0.6323	0.9917
10392753_2120_2019-10-31	18200	68_2	22523.67	199231.48	1	2120	12	ongunstig	RapportageHR	2	80	0.6346	0.9346
10130609_2120_2019-11-04	18204	28_2	23290.2	198565.6	1	2120	12	ongunstig	RapportageHR	1	90	0.6229	0.9562
103601_2120_2019-11-04	18204	3_2	23101.7	198451.4	1	2120	12	ongunstig	RapportageHR	2	60	0.2	0.6
10458289_2120_2019-11-04	18204	74_2	23541.71	198852.05	1	2120	12	ongunstig	RapportageHR	1	90	0.7112	0.9445
10654897_2120_2019-11-04	18204	86_1	23933.59	198830.1	1	2120	12	gunstig	RapportageHR	0	100	0.8175	1
1021105_2120_2019-11-04	18204	9_2	23466.7	198599.1	1	2120	12	ongunstig	RapportageHR	2	60	0.2945	0.7445
121525_2020-07-02	18445	121525_2	65373.56	224406.21	0	2120	12	gunstig	RapportageHR	0	77.7778	0.6481	0.8704
396597_2020-07-06	18449	396597_1	78717.59	228878.11	1	2120	12	ongunstig	RapportageHR	1	80	0.5543	0.8226
425269_2020-07-07	18450	425269_1	79069.59	228814.11	1	2120	12	gunstig	RapportageHR	0	90	0.6635	0.9
143797_2020-07-09	18452	143797_1	61725.59	222958.11	1	2120	12	gunstig	RapportageHR	0	90	0.7933	0.9
196021_2020-07-09	18452	196021_1	59357.59	221454.12	1	2120	12	ongunstig	RapportageHR	1	80	0.5484	0.8756
61877_2020-07-09	18452	61877_2	61996.06	223078.02	1	2120	12	ongunstig	RapportageHR	1	80	0.6157	0.8549
51313_2020-07-10	18453	51313_1	54589.59	218254.11	1	2120	12	ongunstig	RapportageHR	1	80	0.6112	0.8529
110705_2020-07-14	18457	110705_1	50621.59	215790.11	1	2120	12	ongunstig	RapportageHR	1	60	0.2529	0.764
120945_2020-07-14	18457	120945_1	51581.59	216398.11	1	2120	12	ongunstig	RapportageHR	3	60	0.1958	0.6794
192625_2020-07-14	18457	192625_1	50013.59	215438.11	1	2120	12	gunstig	RapportageHR	0	90	0.6653	0.9
111985_2020-07-20	18463	111985_1	45085.59	212238.11	1	2120	12	ongunstig	RapportageHR	2	70	0.4598	0.8398
174897_2020-07-28	18471	174897_1	37149.59	207022.11	1	2120	12	ongunstig	RapportageHR	1	90	0.6774	0.9635
371505_2020-07-28	18471	371505_1	36861.59	206830.11	1	2120	12	ongunstig	RapportageHR	3	70	0.3302	0.8534
3807153_2120_2020-08-24	18498	3807153_1	30333.59	202190.11	1	2120	12	gunstig	RapportageHR	0	80	0.6	0.8
661425_2120_2020-08-24	18498	661425_1	30461.59	202030.11	1	2120	12	ongunstig	RapportageHR	1	70	0.3592	0.7881
5297_2120_2020-08-27	18501	5297_2	23451.57	199789.84	0	2120	12	gunstig	RapportageHR	0	90	0.7177	0.9
395957_2120_2020-09-29	18534	395957_1	64477.59	224046.11	1	2120	12	gunstig	RapportageHR	0	80	0.5635	0.8968
388913_2021-08-03	18842	388913_1	32637.59	203918.12	1	2120	12	gunstig	RapportageHR	0	80	0.6538	0.876
438065_2021-08-03	18842	438065_1	33501.59	204174.12	1	2120	12	gunstig	RapportageHR	0	80	0.4159	0.8
454449_2021-08-03	18842	454449_1	33245.59	204142.12	1	2120	12	gunstig	RapportageHR	0	90	0.7648	0.9975
259889_2021-08-06	18845	259889_3	35165.44	206157.97	1	2120	12	gunstig	RapportageHR	0	100	0.7612	1
136885_2021-08-09	18848	136885_1	70877.59	226478.12	1	2120	12	ongunstig	RapportageHR	2	70	0.2975	0.7
2741_2021-08-09	18848	2741_1	64925.59	224238.12	0	2120	12	gunstig	RapportageHR	0	90	0.6667	0.9
461493_2021-08-09	18848	461493_1	64701.59	224142.12	1	2120	12	ongunstig	RapportageHR	1	90	0.7622	0.9902
514741_2021-08-09	18848	514741_1	65661.59	224494.12	1	2120	12	gunstig	RapportageHR	0	90	0.5251	0.9
122673_2021-08-10	18849	122673_1	31933.71	204366.16	0	2120	12	gunstig	RapportageHR	0	90	0.7667	0.9
513461_2021-08-10	18849	513461_1	58621.59	220942.12	1	2120	12	gunstig	RapportageHR	0	100	0.8328	1
12401_2021-08-11	18850	12401_1	49405.59	215086.12	0	2120	12	ongunstig	RapportageHR	3	50	0	0.6336
456817_2021-08-11	18850	456817_1	52541.59	216974.12	1	2120	12	ongunstig	RapportageHR	1	80	0.619	0.8635
532849_2021-08-11	18850	532849_2	42493.37	210489.05	1	2120	12	ongunstig	RapportageHR	2	60	0.1556	0.682
339505_2021-08-16	18855	339505_1	29629.59	203214.12	1	2120	12	gunstig	RapportageHR	0	90	0.7778	0.9
360241_2021-08-16	18855	360241_1	30269.59	203534.12	1	2120	12	ongunstig	RapportageHR	1	80	0.6292	0.8828
634417_2021-08-16	18855	634417_2	29373.59	203054.15	1	2120	12	ongunstig	RapportageHR	2	70	0.4029	0.8237
399281_2021-08-23	18862	399281_2	30525.61	201998.12	1	2120	12	ongunstig	RapportageHR	2	60	0.324	0.724
96433_2021-08-23	18862	96433_2	29373.6	201422.11	1	2120	12	ongunstig	RapportageHR	3	40	0.0341	0.6341
25777_2021-08-24	18863	25777_2	23645.59	199054.12	1	2120	12	ongunstig	RapportageHR	1	70	0.4714	0.7714
431281_2021-08-24	18863	431281_1	23837.59	198926.12	1	2120	12	ongunstig	RapportageHR	2	70	0.4602	0.9046
305329_2021-08-26	18865	305329_1	26301.59	199438.12	1	2120	12	gunstig	RapportageHR	0	80	0.5583	0.8
10323381_2023-06-16	19524	60_1	57853.6	220398.1	1	2120	12	gunstig	RapportageHR	0	100	0.7953	1
1009077_2023-08-02	19571	4_2	55805.1	219060.2	0	2120	12	gunstig	RapportageHR	0	100	0.7338	1
10129201_2023-08-10	19579	27_2	32300.6	204396.7	1	2120	12	gunstig	RapportageHR	0	100	0.8026	1
10010417_2023-08-11	19580	14_2	31262.3	202466.2	1	2120	12	ongunstig	RapportageHR	2	70	0.4926	0.8926
507697_2023-08-11	19580	507697_2	31997.59	202638.11	1	2120	12	ongunstig	RapportageHR	2	60	0.3106	0.7106
10665777_2023-08-11	19580	87_1	32061.6	202734.1	1	2120	12	ongunstig	RapportageHR	1	70	0.3874	0.7884
10239793_2023-08-14	19583	49_1	30339.6	202104.5	1	2120	12	gunstig	RapportageHR	0	70	0.4948	0.7948
363313_2023-08-18	19587	363313_1	36093.59	206638.11	1	2120	12	gunstig	RapportageHR	0	90	0.759	0.9662
10578737_2023-08-18	19587	82_1	37629.6	207374.1	1	2120	12	ongunstig	RapportageHR	1	80	0.5413	0.962
10153777_2023-08-22	19591	31_2	32956.7	204141.4	1	2120	12	gunstig	RapportageHR	0	90	0.673	0.9667
