versie	schaal	type_resultaat	habitattype	sbzh	beoordeling	opp_gunstig_ha	opp_ongunstig_ha	opp_onbekend_ha	aandeel_gunstig
Versie 3	Vlaanderen	Habitattype	2110	Binnen & Buiten	Goed	26.2091	1.15277	0	95.7869
Versie 3	Vlaanderen	SBZH	2110	Binnen	Goed	9.11189	0.50972	0	94.7023
