id	type_analysis	status	aggregatiemethode	n_zb_ongunstig	aandeel_gunstig	index_mean_ind	index_mean_crit	doelbereik_mean_ind
10354_2015-05-20_9160	9160	0	RapportageHR	1	80	0.3459	0.351	0.8382
103609_2015-04-27_91E0_vc	91E0_vc	1	RapportageHR	0	90	0.656	0.5952	0.9996
104342_2015-04-23_91E0_vc	91E0_vc	0	RapportageHR	1	70	0.4508	0.4364	0.8872
10513_2019-04-15_9130_end	9130_end	0	RapportageHR	2	30	-0.2593	-0.316	0.4907
11126_2015-05-29_9120	9120	0	RapportageHR	2	40	-0.2367	-0.2644	0.4533
11481_2019-04-12_9130_end	9130_end	0	RapportageHR	1	70	0.5078	0.4586	0.9259
11865_2015-04-29_91E0_vc	91E0_vc	0	RapportageHR	1	80	0.3536	0.2956	0.8634
124152_2_9120	9120	0	RapportageHR	2	60	0.1429	0.1508	0.6422
12470_2015-06-11_91E0_vm	91E0_vm	0	RapportageHR	2	50	0.1294	0.2319	0.7136
12710_2018-06-22_9120	9120	0	RapportageHR	1	50	0.1337	0.0386	0.653
128016_2_9120	9120	0	RapportageHR	1	50	0.0593	-0.0961	0.6468
128039_2_9120	9120	0	RapportageHR	1	50	-0.1863	-0.2853	0.5505
128138_2_9120	9120	0	RapportageHR	2	60	0.1734	0.085	0.7418
128147_2_9120	9120	0	RapportageHR	1	60	0.1674	0.0551	0.7717
131044_2_9120	9120	0	RapportageHR	2	50	-0.0532	-0.075	0.6397
131159_2_91E0_vn	91E0_vn	0	RapportageHR	2	40	-0.1664	-0.2101	0.5595
132097_2_9120	9120	0	RapportageHR	2	70	0.2644	0.1485	0.7988
132097_3_9120	9120	0	RapportageHR	2	60	0.2825	0.1764	0.8272
133153_2_91E0_va	91E0_va	0	RapportageHR	2	40	0.0617	-0.0328	0.7944
133153_3_91E0_va	91E0_va	0	RapportageHR	2	50	0.058	-0.0786	0.7897
134040_2_9120	9120	0	RapportageHR	2	70	0.0655	0.0566	0.73
134128_2_9120	9120	0	RapportageHR	1	70	0.3431	0.3576	0.7031
135081_2_9120	9120	0	RapportageHR	1	50	0.0598	-0.0165	0.7073
135082_2_9120	9120	0	RapportageHR	2	40	0.0393	-0.0475	0.7386
135083_2_9120	9120	0	RapportageHR	1	60	0.0925	0.1206	0.744
135083_2_91E0_vn	91E0_vn	0	RapportageHR	2	40	-0.1898	-0.2829	0.5477
135098_2_9120	9120	0	RapportageHR	3	40	-0.0213	-0.0734	0.7078
135099_2_9120	9120	0	RapportageHR	2	50	-0.0034	-0.041	0.6839
135102_2_9120	9120	0	RapportageHR	2	50	-0.0482	-0.1754	0.5568
135132_2_9120	9120	0	RapportageHR	1	50	-0.0741	-0.207	0.5643
136040_2_9120	9120	0	RapportageHR	2	60	0.2291	0.2303	0.6791
136102_2_9120	9120	0	RapportageHR	1	60	0.1032	0.062	0.7149
136113_2_9120	9120	1	RapportageHR	0	60	0.2718	0.2364	0.7708
136113_3_9120	9120	1	RapportageHR	0	70	0.253	0.209	0.8095
136114_2_9120	9120	1	RapportageHR	0	80	0.4264	0.27	0.8533
136121_2_9120	9120	0	RapportageHR	1	60	0.2263	0.2954	0.7654
136121_2_91E0_vo	91E0_vo	0	RapportageHR	3	40	-0.0208	0.0738	0.6792
136143_2_9120	9120	1	RapportageHR	0	70	0.4176	0.2956	0.8027
136697_2015-05-06_91E0_vc	91E0_vc	0	RapportageHR	2	50	0.0443	-0.0596	0.5943
137010_2_91E0_va	91E0_va	0	RapportageHR	2	70	0.2342	0.2607	0.7894
137010_3_91E0_va	91E0_va	0	RapportageHR	2	30	-0.3103	-0.2871	0.4724
137011_2_9120	9120	0	RapportageHR	3	40	-0.013	-0.0653	0.6395
137011_3_9120	9120	0	RapportageHR	3	40	-0.0676	-0.0968	0.5849
137028_2_9120	9120	0	RapportageHR	1	70	0.2394	0.1662	0.8221
137028_3_9120	9120	0	RapportageHR	1	70	0.3259	0.314	0.7955
137035_2_9120	9120	0	RapportageHR	1	50	-0.1275	-0.2673	0.5929
137035_3_9120	9120	0	RapportageHR	1	50	-0.018	-0.1308	0.781
137037_2_9120	9120	0	RapportageHR	1	60	0.2445	0.1631	0.7296
137037_3_9120	9120	0	RapportageHR	1	60	0.2659	0.1769	0.7534
137045_3_9120	9120	0	RapportageHR	1	70	0.2697	0.2828	0.7286
137052_2_9120	9120	0	RapportageHR	1	80	0.3883	0.3275	0.8884
137052_3_9120	9120	1	RapportageHR	0	90	0.4889	0.4386	0.9143
137053_2_9120	9120	1	RapportageHR	0	80	0.5462	0.4586	0.8238
137053_3_9120	9120	1	RapportageHR	0	80	0.5783	0.4988	0.8174
137054_2_9120	9120	0	RapportageHR	2	50	-0.0343	-0.1953	0.6397
137054_3_9120	9120	0	RapportageHR	2	30	-0.2026	-0.3135	0.5724
137060_2_9120	9120	1	RapportageHR	0	70	0.2558	0.0308	0.7222
137060_3_9120	9120	1	RapportageHR	0	60	0.1815	-0.0316	0.6514
137076_2_9190	9190	0	RapportageHR	2	50	0.0552	-0.0424	0.6302
137076_3_9190	9190	0	RapportageHR	2	50	0.0764	-0.0029	0.6514
138016_2_9190	9190	0	RapportageHR	2	50	-0.0243	-0.0418	0.735
138019_2_9120	9120	0	RapportageHR	2	40	-0.1672	-0.1207	0.6747
138019_3_9120	9120	0	RapportageHR	1	70	0.031	0.0905	0.8032
138020_2_9120	9120	1	RapportageHR	0	70	0.323	0.2285	0.7254
138020_3_9120	9120	0	RapportageHR	1	60	0.3054	0.1615	0.7929
138024_2_9120	9120	1	RapportageHR	0	80	0.3774	0.3562	0.8333
138027_2_9120	9120	0	RapportageHR	1	60	0.0919	-0.0696	0.6461
138027_3_9120	9120	0	RapportageHR	1	70	0.2645	0.0586	0.7672
138028_2_9120	9120	1	RapportageHR	0	80	0.4785	0.4645	0.855
138028_3_9120	9120	0	RapportageHR	1	60	0.349	0.2314	0.8039
138036_2_9120	9120	0	RapportageHR	1	60	0.2998	0.1149	0.8467
138036_3_9120	9120	0	RapportageHR	1	50	0.2301	0.069	0.785
138097_2_9120	9120	0	RapportageHR	2	40	-0.1017	-0.2599	0.6233
138097_3_9120	9120	0	RapportageHR	2	40	-0.0773	-0.233	0.6477
138098_2_9120	9120	0	RapportageHR	2	50	0.002	-0.0494	0.6763
138098_3_9120	9120	0	RapportageHR	1	70	0.1449	0.0692	0.7869
140006_2015-06-11_9190	9190	0	RapportageHR	1	90	0.5339	0.6045	0.9
142137_2_9120	9120	0	RapportageHR	2	50	-0.085	-0.0991	0.6312
144048_2_91E0_vm	91E0_vm	0	RapportageHR	1	80	0.4035	0.3138	0.9266
144048_3_91E0_vm	91E0_vm	1	RapportageHR	0	90	0.4545	0.3893	0.9918
144055_2_91E0_vm	91E0_vm	1	RapportageHR	0	80	0.4315	0.3007	0.8908
144055_3_91E0_vm	91E0_vm	1	RapportageHR	0	80	0.3078	0.134	0.8344
144056_2_9120	9120	0	RapportageHR	2	30	-0.252	-0.2921	0.634
144056_3_9120	9120	0	RapportageHR	1	50	0.0017	-0.0743	0.7253
146265_2015-04-27_91E0_vc	91E0_vc	1	RapportageHR	0	70	0.2728	0.248	0.8828
147004_2_9120	9120	0	RapportageHR	1	80	0.3697	0.3433	0.8526
147049_2_91E0_va	91E0_va	1	RapportageHR	0	80	0.4052	0.4099	0.8429
147059_2_9120	9120	0	RapportageHR	1	70	0.2934	0.1862	0.8454
147067_2_9120	9120	0	RapportageHR	2	60	0.1878	0.1159	0.7816
147068_2_91E0_va	91E0_va	1	RapportageHR	0	80	0.3406	0.2313	0.9023
147141_2_91E0_vn	91E0_vn	0	RapportageHR	3	30	-0.2502	-0.333	0.5248
147174_2015-06-10_9190	9190	0	RapportageHR	2	80	0.3404	0.4346	0.821
148025_2_91E0_va	91E0_va	0	RapportageHR	1	80	0.3685	0.314	0.8479
148025_3_91E0_va	91E0_va	0	RapportageHR	1	80	0.3896	0.2733	0.9161
148045_2_9120	9120	0	RapportageHR	1	60	0.1077	0.0908	0.6972
148045_3_9120	9120	0	RapportageHR	1	60	0.1175	0.0995	0.7096
154013_2_9190	9190	0	RapportageHR	1	80	0.474	0.4864	0.9155
154019_2_9120	9120	1	RapportageHR	0	60	-0.0149	-0.0637	0.7679
154032_2_9120	9120	0	RapportageHR	3	50	0.0331	-0.0846	0.6499
154032_2_91E0_va	91E0_va	0	RapportageHR	4	40	0.0193	-0.0618	0.7361
154072_2_9120	9120	0	RapportageHR	1	60	0.0997	0.1954	0.684
154072_3_9120	9120	0	RapportageHR	1	60	0.079	0.1131	0.6856
154091_2_9120	9120	0	RapportageHR	1	70	0.3314	0.3664	0.7358
154101_2_9120	9120	0	RapportageHR	1	70	0.1412	0.1767	0.7173
155024_2_9120	9120	0	RapportageHR	1	60	0.1395	0.0199	0.7777
155133_2_91E0_vn	91E0_vn	0	RapportageHR	3	50	0.1337	0.0098	0.8056
155136_2_91E0_vn	91E0_vn	0	RapportageHR	3	50	0.1247	0.0742	0.7657
155139_2_91E0_sf	91E0_sf	0	RapportageHR	2	37.5	-0.3031	-0.3442	0.561
155139_3_91E0_sf	91E0_sf	0	RapportageHR	2	37.5	-0.3777	-0.4189	0.4959
155346_2015-06-04_91E0_vo	91E0_vo	0	RapportageHR	3	20	-0.3464	-0.3294	0.4536
156056_2_91E0_vn	91E0_vn	0	RapportageHR	3	60	0.3744	0.4116	0.8748
156064_2_91E0_vn	91E0_vn	0	RapportageHR	1	70	0.3108	0.216	0.8704
156072_2_91E0_vn	91E0_vn	0	RapportageHR	1	80	0.4466	0.3745	0.9603
156107_2_91E0_vn	91E0_vn	0	RapportageHR	2	40	-0.0841	-0.1156	0.6871
156108_2_91E0_vn	91E0_vn	0	RapportageHR	3	50	0.1115	-0.013	0.8094
156114_2_91E0_va	91E0_va	0	RapportageHR	1	50	-0.1232	-0.1631	0.5667
156114_2_91E0_vn	91E0_vn	0	RapportageHR	1	50	0.0373	0.0039	0.6445
156117_2_91E0_sf	91E0_sf	0	RapportageHR	3	25	-0.3004	-0.2641	0.5177
156118_2_91E0_vn	91E0_vn	0	RapportageHR	1	50	0.1349	0.1632	0.7537
156121_2_91E0_vn	91E0_vn	0	RapportageHR	1	70	0.4194	0.4456	0.836
156124_2_91E0_vn	91E0_vn	1	RapportageHR	0	90	0.5511	0.4779	0.92
156125_2_91E0_vn	91E0_vn	0	RapportageHR	1	50	0.1013	0.0857	0.7387
156146_2_91E0_vn	91E0_vn	0	RapportageHR	2	50	0.1316	0.0177	0.7066
156159_2_91E0_vm	91E0_vm	0	RapportageHR	3	40	-0.1393	-0.2195	0.5923
157050_2_91E0_va	91E0_va	0	RapportageHR	3	50	-0.0605	-0.1614	0.6011
157051_2_9120	9120	0	RapportageHR	3	50	0.198	0.2305	0.698
157054_2_9120	9120	0	RapportageHR	1	70	0.1265	0.172	0.7406
157063_2_9120	9120	0	RapportageHR	3	60	0.2703	0.2865	0.7659
157067_2_9120	9120	0	RapportageHR	2	50	-0.0452	-0.2467	0.6021
157083_2_91E0_vn	91E0_vn	0	RapportageHR	3	60	0.1158	-0.0144	0.6962
157084_2_9120	9120	0	RapportageHR	2	60	0.1921	0.1757	0.6971
157091_2_9120	9120	0	RapportageHR	2	50	0.0133	-0.12	0.6383
15782_2015-05-07_91E0_vc	91E0_vc	0	RapportageHR	2	70	0.2531	0.2325	0.7894
158033_2_9120	9120	0	RapportageHR	2	50	0.0688	3e-04	0.6548
158033_2_9160	9160	0	RapportageHR	2	60	0.1975	0.1761	0.6947
158069_2_9160	9160	0	RapportageHR	2	60	0.2519	0.1898	0.892
158091_2_9160	9160	0	RapportageHR	3	50	-0.0765	-0.1941	0.5887
158103_2_9120	9120	0	RapportageHR	2	60	0.1555	0.1096	0.655
158103_3_9120	9120	0	RapportageHR	2	60	0.1616	0.1302	0.6697
158118_2_91E0_va	91E0_va	0	RapportageHR	2	80	0.3648	0.3877	0.8873
159414_2015-06-18_91E0_vo	91E0_vo	0	RapportageHR	3	60	0.167	0.1838	0.7479
161033_2_9120	9120	0	RapportageHR	1	60	0.1851	0.0142	0.7446
161033_2_9190	9190	0	RapportageHR	1	70	0.2521	0.1446	0.8116
161039_2_91E0_va	91E0_va	0	RapportageHR	1	70	0.1986	0.2229	0.7226
161039_3_91E0_va	91E0_va	0	RapportageHR	1	70	0.2698	0.2865	0.7425
161082_2_9120	9120	0	RapportageHR	1	70	0.3891	0.3851	0.8129
161082_3_9120	9120	0	RapportageHR	1	70	0.3556	0.3572	0.7891
161085_2_9120	9120	0	RapportageHR	2	50	0.1261	-0.032	0.7508
161085_3_9120	9120	0	RapportageHR	2	50	0.0947	-0.0192	0.7746
161093_2_9120	9120	0	RapportageHR	2	50	0.0915	-0.019	0.7868
161093_3_9120	9120	0	RapportageHR	2	60	0.1838	0.0818	0.8047
161095_2_91E0_va	91E0_va	0	RapportageHR	2	60	0.2257	0.2433	0.7321
161095_3_91E0_va	91E0_va	0	RapportageHR	2	60	0.138	0.1338	0.7448
161111_2_9120	9120	0	RapportageHR	2	40	0.0136	-0.0697	0.7386
161111_3_9120	9120	0	RapportageHR	2	40	-0.0523	-0.1112	0.6727
161114_2_91E0_va	91E0_va	0	RapportageHR	2	60	0.2567	0.2361	0.7894
161114_3_91E0_va	91E0_va	0	RapportageHR	2	70	0.2848	0.2677	0.835
161118_3_91E0_vm	91E0_vm	0	RapportageHR	2	80	0.4058	0.4426	0.8861
161129_2_91E0_va	91E0_va	0	RapportageHR	1	70	0.411	0.2959	0.8475
161129_3_91E0_va	91E0_va	0	RapportageHR	1	80	0.5646	0.5712	0.9199
161130_2_91E0_va	91E0_va	1	RapportageHR	0	80	0.4183	0.4514	0.8665
161130_3_91E0_va	91E0_va	0	RapportageHR	1	80	0.5126	0.5119	0.9758
161132_2_9120	9120	0	RapportageHR	2	40	-0.0458	-0.1811	0.5542
161132_3_9120	9120	0	RapportageHR	2	40	-0.0124	-0.1376	0.5876
161133_2_9120	9120	0	RapportageHR	1	60	0.1251	0.1171	0.7454
161133_3_9120	9120	0	RapportageHR	1	50	-0.0021	-0.0912	0.6379
161134_2_9120	9120	0	RapportageHR	1	60	-0.0317	-0.0818	0.7067
161134_3_9120	9120	0	RapportageHR	2	50	-0.1155	-0.1828	0.6736
162006_2_9160	9160	0	RapportageHR	2	60	0.1911	0.1123	0.7902
162019_2_9120	9120	0	RapportageHR	1	50	0.0605	-0.0765	0.6705
162019_3_9120	9120	0	RapportageHR	1	50	0.0106	-0.1237	0.6206
162027_2_9120	9120	0	RapportageHR	1	60	0.1964	0.1498	0.7311
162032_2_9120	9120	0	RapportageHR	2	60	0.1275	0.1764	0.7023
162035_2_9120	9120	1	RapportageHR	0	90	0.5861	0.5227	0.9857
162035_3_9120	9120	1	RapportageHR	0	90	0.5848	0.5219	0.9857
162038_2_91E0_va	91E0_va	0	RapportageHR	1	70	0.2385	0.1737	0.8079
162042_2_9190	9190	0	RapportageHR	1	50	0.1613	0.1743	0.7147
162042_3_9190	9190	0	RapportageHR	1	70	0.3648	0.2747	0.8053
162043_2_9120	9120	1	RapportageHR	0	90	0.6264	0.6282	0.9423
162043_3_9120	9120	0	RapportageHR	1	80	0.4246	0.4094	0.8822
162051_2_91E0_va	91E0_va	0	RapportageHR	4	20	-0.2868	-0.2962	0.6132
162051_3_91E0_va	91E0_va	0	RapportageHR	4	20	-0.297	-0.3152	0.503
162054_2_9190	9190	0	RapportageHR	1	50	0.0317	-0.0252	0.6642
162062_2_91E0_vm	91E0_vm	0	RapportageHR	2	70	0.1204	0.133	0.7947
162066_2_9120	9120	0	RapportageHR	1	50	-0.0669	-0.1916	0.543
162066_3_9120	9120	0	RapportageHR	1	60	0.0319	-0.0326	0.6576
162078_2_9190	9190	0	RapportageHR	3	40	-0.1807	-0.2423	0.5693
162085_2_91E0_vm	91E0_vm	0	RapportageHR	4	30	-0.1978	-0.2667	0.6022
162090_2_9120	9120	0	RapportageHR	2	60	0.1007	0.1248	0.7096
162090_3_9120	9120	0	RapportageHR	2	70	0.2735	0.2254	0.7966
162093_2_9120	9120	1	RapportageHR	0	90	0.4968	0.4205	0.9138
162098_2_9160	9160	1	RapportageHR	0	70	0.1456	0.0491	0.8238
162098_3_9160	9160	0	RapportageHR	1	70	0.0504	-0.0052	0.7216
162100_2_9120	9120	0	RapportageHR	1	70	0.275	0.2439	0.7888
162100_3_9120	9120	0	RapportageHR	1	80	0.4414	0.3663	0.8389
162101_2_9120	9120	1	RapportageHR	0	60	0.1039	0.0497	0.7538
162126_2_9120	9120	0	RapportageHR	1	60	0.0693	0.007	0.6052
162129_2_9120	9120	1	RapportageHR	0	90	0.4762	0.4207	0.9143
