versie	schaal	periode	type_resultaat	habitattype	sbzh	habitatsubtype	n_obs	parameter	mean	llci_0.95	ulci_0.95	klasse	periode_ref	jaar_min	jaar_max	verschil_jaar
Versie 3	Vlaanderen	c_1	Habitattype	9110	Binnen & Buiten	NA	3	aandeel_gunstig	54.33	6.39	94.68	NA	NA	2010	2010	NA
Versie 3	Vlaanderen	c_1	Habitattype	9120	Binnen & Buiten	NA	103	aandeel_gunstig	15.65	6.23	27.44	NA	NA	2009	2014	NA
Versie 3	Vlaanderen	c_1	SBZH	9120	Binnen	NA	59	aandeel_gunstig	40.06	20.03	59.24	NA	NA	2009	2014	NA
Versie 3	Vlaanderen	c_1	SBZH	9120	Buiten	NA	44	aandeel_gunstig	1.73	0.05	7.33	NA	NA	2010	2014	NA
Versie 3	Vlaanderen	c_1	Habitatsubtype	9130	Binnen & Buiten	9130_end	18	aandeel_gunstig	12.97	2.13	37	NA	NA	2009	2014	NA
Versie 3	Vlaanderen	c_1	Habitattype	9130	Binnen & Buiten	9130_end	18	aandeel_gunstig	13.27	2.23	36.61	NA	NA	2009	2014	NA
Versie 3	Vlaanderen	c_1	SBZH	9130	Binnen	9130_end	13	aandeel_gunstig	21.39	5.2	49.84	NA	NA	2009	2014	NA
Versie 3	Vlaanderen	c_1	SBZH	9130	Buiten	9130_end	5	aandeel_gunstig	0.35	0	0.04	NA	NA	2010	2014	NA
Versie 3	Vlaanderen	c_1	Habitattype	9160	Binnen & Buiten	NA	24	aandeel_gunstig	12.7	2.98	30.14	NA	NA	2009	2013	NA
Versie 3	Vlaanderen	c_1	SBZH	9160	Binnen	NA	17	aandeel_gunstig	22.31	6.91	46.16	NA	NA	2009	2013	NA
Versie 3	Vlaanderen	c_1	SBZH	9160	Buiten	NA	7	aandeel_gunstig	0.37	0	0.04	NA	NA	2010	2013	NA
Versie 3	Vlaanderen	c_1	Habitattype	9190	Binnen & Buiten	NA	37	aandeel_gunstig	0.21	0	0	NA	NA	2009	2014	NA
Versie 3	Vlaanderen	c_1	SBZH	9190	Binnen	NA	18	aandeel_gunstig	0.24	0	0	NA	NA	2009	2014	NA
Versie 3	Vlaanderen	c_1	SBZH	9190	Buiten	NA	19	aandeel_gunstig	0.01	0	0	NA	NA	2010	2014	NA
Versie 3	Vlaanderen	c_1	Habitatsubtype	91E0	Binnen & Buiten	91E0_va	25	aandeel_gunstig	2.62	0.08	14.96	NA	NA	2010	2014	NA
Versie 3	Vlaanderen	c_1	Habitatsubtype	91E0	Binnen & Buiten	91E0_vm	24	aandeel_gunstig	3.29	0.06	21.07	NA	NA	2009	2013	NA
Versie 3	Vlaanderen	c_1	Habitatsubtype	91E0	Binnen & Buiten	91E0_vn	14	aandeel_gunstig	0.35	0	0.01	NA	NA	2009	2012	NA
Versie 3	Vlaanderen	c_1	Habitattype	91E0	Binnen & Buiten	91E0_va;91E0_vm;91E0_sf;91E0_vo;91E0_vn;91E0_vc	70	aandeel_gunstig	2.06	0.1	10.56	NA	NA	2009	2014	NA
Versie 3	Vlaanderen	c_1	SBZH	91E0	Binnen	91E0_va;91E0_vm;91E0_sf;91E0_vo;91E0_vn;91E0_vc	40	aandeel_gunstig	4.09	0.22	18.73	NA	NA	2009	2013	NA
Versie 3	Vlaanderen	c_1	SBZH	91E0	Buiten	91E0_va;91E0_vm;91E0_sf;91E0_vo;91E0_vn;91E0_vc	30	aandeel_gunstig	0.1	0	0	NA	NA	2009	2014	NA
Versie 3	Vlaanderen	c_2	Habitattype	9110	Binnen & Buiten	NA	3	aandeel_gunstig	99.15	98.41	100	NA	NA	2020	2020	NA
Versie 3	Vlaanderen	c_2	Habitattype	9110	Binnen & Buiten	NA	3	verschil_aandeel_gunstig_abs	44.83	4.45	93.48	2	c_1	2010	2020	10
Versie 3	Vlaanderen	c_2	Habitattype	9110	Binnen & Buiten	NA	3	verschil_aandeel_gunstig_rel	236.48	4.66	1433.56	2	c_1	2010	2020	10
Versie 3	Vlaanderen	c_2	Habitattype	9120	Binnen & Buiten	NA	103	aandeel_gunstig	13.99	4.75	25.17	NA	NA	2019	2023	NA
Versie 3	Vlaanderen	c_2	Habitattype	9120	Binnen & Buiten	NA	103	verschil_aandeel_gunstig_abs	-1.66	-12.21	8.49	9	c_1	2009	2023	9.9
Versie 3	Vlaanderen	c_2	Habitattype	9120	Binnen & Buiten	NA	103	verschil_aandeel_gunstig_rel	-6.17	-57.15	73.56	10	c_1	2009	2023	9.9
Versie 3	Vlaanderen	c_2	SBZH	9120	Binnen	NA	59	aandeel_gunstig	34.66	17.38	53.46	NA	NA	2019	2023	NA
Versie 3	Vlaanderen	c_2	SBZH	9120	Binnen	NA	59	verschil_aandeel_gunstig_abs	-5.4	-26	15.66	10	c_1	2009	2023	9.9
Versie 3	Vlaanderen	c_2	SBZH	9120	Binnen	NA	59	verschil_aandeel_gunstig_rel	-10.11	-55.14	55.8	10	c_1	2009	2023	9.9
Versie 3	Vlaanderen	c_2	SBZH	9120	Buiten	NA	44	aandeel_gunstig	1.87	0.03	8.47	NA	NA	2019	2023	NA
Versie 3	Vlaanderen	c_2	SBZH	9120	Buiten	NA	44	verschil_aandeel_gunstig_abs	0.14	-5.97	7.14	4	c_1	2010	2023	9.9
Versie 3	Vlaanderen	c_2	SBZH	9120	Buiten	NA	44	verschil_aandeel_gunstig_rel	203.45	-94.13	1433.57	10	c_1	2010	2023	9.9
Versie 3	Vlaanderen	c_2	Habitatsubtype	9130	Binnen & Buiten	9130_end	18	aandeel_gunstig	13.04	2.16	35.67	NA	NA	2019	2023	NA
Versie 3	Vlaanderen	c_2	Habitatsubtype	9130	Binnen & Buiten	9130_end	18	verschil_aandeel_gunstig_abs	0.08	-26.99	26.44	10	c_1	2009	2023	9.8
Versie 3	Vlaanderen	c_2	Habitatsubtype	9130	Binnen & Buiten	9130_end	18	verschil_aandeel_gunstig_rel	61.29	-86.39	548.01	10	c_1	2009	2023	9.8
Versie 3	Vlaanderen	c_2	Habitattype	9130	Binnen & Buiten	9130_end	18	aandeel_gunstig	13.19	2.32	37.21	NA	NA	2019	2023	NA
Versie 3	Vlaanderen	c_2	Habitattype	9130	Binnen & Buiten	9130_end	18	verschil_aandeel_gunstig_abs	-0.08	-24.39	27.34	10	c_1	2009	2023	9.8
