id	type_analysis	criterium	status_criterium	aggregatiemethode	n_zb_ongunstig	aandeel_gunstig	index_mean_ind	doelbereik_mean_ind
10354_2015-05-20_9160	9160	Structuur	0	RapportageHR	1	80	0.1835	0.8498
10354_2015-05-20_9160	9160	Vegetatie	0	RapportageHR	0	50	0.0664	0.5664
10354_2015-05-20_9160	9160	Verstoring	1	RapportageHR	0	100	0.803	1
103609_2015-04-27_91E0_vc	91E0_vc	Structuur	1	RapportageHR	0	100	0.663	1
103609_2015-04-27_91E0_vc	91E0_vc	Vegetatie	0	RapportageHR	0	50	0.1227	0.9978
103609_2015-04-27_91E0_vc	91E0_vc	Verstoring	1	RapportageHR	0	100	1	1
104342_2015-04-23_91E0_vc	91E0_vc	Structuur	0	RapportageHR	1	60	0.3077	0.8743
104342_2015-04-23_91E0_vc	91E0_vc	Vegetatie	0	RapportageHR	0	50	0.0348	0.75
104342_2015-04-23_91E0_vc	91E0_vc	Verstoring	1	RapportageHR	0	100	0.9667	1
10513_2019-04-15_9130_end	9130_end	Structuur	0	RapportageHR	1	20	-0.3747	0.5253
10513_2019-04-15_9130_end	9130_end	Vegetatie	0	RapportageHR	0	0	-1	0
10513_2019-04-15_9130_end	9130_end	Verstoring	0	RapportageHR	1	66.6667	0.4268	0.7602
11126_2015-05-29_9120	9120	Structuur	0	RapportageHR	2	20	-0.4933	0.3067
11126_2015-05-29_9120	9120	Vegetatie	0	RapportageHR	0	0	-1	0
11126_2015-05-29_9120	9120	Verstoring	1	RapportageHR	0	100	0.7	1
11481_2019-04-12_9130_end	9130_end	Structuur	1	RapportageHR	0	80	0.582	0.932
11481_2019-04-12_9130_end	9130_end	Vegetatie	0	RapportageHR	0	50	0.213	0.9286
11481_2019-04-12_9130_end	9130_end	Verstoring	0	RapportageHR	1	66.6667	0.5808	0.9141
11865_2015-04-29_91E0_vc	91E0_vc	Structuur	0	RapportageHR	1	80	0.3225	0.819
11865_2015-04-29_91E0_vc	91E0_vc	Vegetatie	0	RapportageHR	0	50	-0.2308	0.7692
11865_2015-04-29_91E0_vc	91E0_vc	Verstoring	1	RapportageHR	0	100	0.7951	1
124152_2_9120	9120	Structuur	0	RapportageHR	1	60	0.0359	0.6346
124152_2_9120	9120	Vegetatie	0	RapportageHR	0	50	0	0.5
124152_2_9120	9120	Verstoring	0	RapportageHR	1	66.6667	0.4165	0.7498
12470_2015-06-11_91E0_vm	91E0_vm	Structuur	0	RapportageHR	1	40	-0.218	0.5454
12470_2015-06-11_91E0_vm	91E0_vm	Vegetatie	0	RapportageHR	0	50	0.3571	0.8572
12470_2015-06-11_91E0_vm	91E0_vm	Verstoring	0	RapportageHR	1	66.6667	0.5565	0.8981
12710_2018-06-22_9120	9120	Structuur	0	RapportageHR	1	60	0.2326	0.6326
12710_2018-06-22_9120	9120	Vegetatie	0	RapportageHR	0	0	-0.5248	0.4752
12710_2018-06-22_9120	9120	Verstoring	1	RapportageHR	0	66.6667	0.4078	0.8056
128016_2_9120	9120	Structuur	0	RapportageHR	1	60	0.2288	0.7288
128016_2_9120	9120	Vegetatie	0	RapportageHR	0	0	-1	0
128016_2_9120	9120	Verstoring	1	RapportageHR	0	66.6667	0.4829	0.9413
128039_2_9120	9120	Structuur	0	RapportageHR	1	60	-0.0987	0.6
128039_2_9120	9120	Vegetatie	0	RapportageHR	0	0	-0.9018	0.0982
128039_2_9120	9120	Verstoring	1	RapportageHR	0	66.6667	0.1446	0.7696
128138_2_9120	9120	Structuur	0	RapportageHR	1	60	0.3206	0.7206
128138_2_9120	9120	Vegetatie	0	RapportageHR	0	50	-0.3271	0.5664
