id	date	point_code	x	y	in_sac	habitattype	habitatsubtype	lsvi	aggregatiemethode	n_zb_ongunstig	aandeel_gunstig	index_mean_ind	doelbereik_mean_ind
348139_2_9110	14610	vbi_348139	252947.2	159198	1	9110	9110	gunstig	RapportageHR	0	80	0.4578	0.8694
348140_2_9110	14610	vbi_348140	253995.9	159146.1	1	9110	9110	ongunstig	RapportageHR	1	50	0.1076	0.7315
348156_2_9110	14610	vbi_348156	254023.3	158223.2	0	9110	9110	gunstig	RapportageHR	0	80	0.3938	0.894
348095_2_9110	16801	vbi_348095	256966.7	162224	1	9110	9110	ongunstig	RapportageHR	1	70	0.3775	0.8276
348103_2_9110	16801	vbi_348103	256934.6	161669.5	1	9110	9110	gunstig	RapportageHR	0	80	0.4646	0.9221
348125_2_9110	16801	vbi_348125	254942.2	160179.7	1	9110	9110	ongunstig	RapportageHR	1	60	0.3546	0.8296
348133_2_9110	16801	vbi_348133	254946	159672.2	1	9110	9110	ongunstig	RapportageHR	1	80	0.5459	0.906
348139_3_9110	18262	vbi_348139	252948.694	159193.444	1	9110	9110	gunstig	RapportageHR	0	70	0.4587	0.8514
348140_3_9110	18262	vbi_348140	253997.52	159150.82	1	9110	9110	gunstig	RapportageHR	0	70	0.2944	0.8809
348156_3_9110	18262	vbi_348156	254024.93	158227.864	0	9110	9110	gunstig	RapportageHR	0	70	0.3932	0.8046
322106_2_9120	14245	vbi_322106	171942.3	171179.8	1	9120	9120	ongunstig	RapportageHR	1	50	0.086	0.6365
322131_2_9120	14245	vbi_322131	172952.9	169709.5	1	9120	9120	gunstig	RapportageHR	0	60	0.1756	0.6506
322138_2_9120	14245	vbi_322138	171950.2	169179.8	1	9120	9120	gunstig	RapportageHR	0	60	0.227	0.627
322146_2_9120	14245	vbi_322146	171914.8	168708.3	1	9120	9120	gunstig	RapportageHR	0	70	0.5733	0.8808
326012_2_9120	14245	vbi_326012	173934.9	167175.1	1	9120	9120	gunstig	RapportageHR	0	80	0.6694	0.9617
326017_2_9120	14245	vbi_326017	170942.1	166679.8	1	9120	9120	ongunstig	RapportageHR	2	50	0.0199	0.6848
326020_2_9120	14245	vbi_326020_2	173942.3	166679.9	1	9120	9120	gunstig	RapportageHR	0	60	0.2746	0.8472
326026_2_9120	14245	vbi_326026	171942.1	166179.7	1	9120	9120	gunstig	RapportageHR	0	80	0.5982	0.9524
326027_2_9120	14245	vbi_326027	172937.9	166178.1	1	9120	9120	gunstig	RapportageHR	0	70	0.4767	0.7867
326028_2_9120	14245	vbi_326028	173933.7	166192.2	1	9120	9120	gunstig	RapportageHR	0	70	0.3072	0.8371
326036_2_9120	14245	vbi_326036	173945.2	165682.8	1	9120	9120	ongunstig	RapportageHR	1	50	0.1745	0.7495
326041_2_9120	14245	vbi_326041	170894.2	165164.4	1	9120	9120	ongunstig	RapportageHR	0	50	0.1652	0.7152
326042_2_9120	14245	vbi_326042	171951	165165	1	9120	9120	gunstig	RapportageHR	0	90	0.7193	0.9252
326051_2_9120	14245	vbi_326051	172942.2	164679.8	1	9120	9120	gunstig	RapportageHR	0	80	0.5422	0.8547
138019_2_9120	14610	vbi_138019	92936.8	206686.8	1	9120	9120	ongunstig	RapportageHR	2	40	-0.1672	0.6747
138027_2_9120	14610	vbi_138027	92943	206181	1	9120	9120	ongunstig	RapportageHR	1	60	0.0919	0.6461
138028_2_9120	14610	vbi_138028_2	93943	206176.8	1	9120	9120	gunstig	RapportageHR	0	80	0.4785	0.855
138036_2_9120	14610	vbi_138036	93939.9	205685.7	1	9120	9120	ongunstig	RapportageHR	1	60	0.2998	0.8467
138097_2_9120	14610	vbi_138097	90939.6	201676.9	0	9120	9120	ongunstig	RapportageHR	2	40	-0.1017	0.6233
138098_2_9120	14610	vbi_138098	91942.3	201679.5	0	9120	9120	ongunstig	RapportageHR	2	50	0.002	0.6763
161085_2_9120	14610	vbi_161085	166942	212679.8	1	9120	9120	ongunstig	RapportageHR	2	50	0.1261	0.7508
161093_2_9120	14610	vbi_161093	166949.6	212170.4	0	9120	9120	ongunstig	RapportageHR	2	50	0.0915	0.7868
161111_2_9120	14610	vbi_161111	168942	211179.8	1	9120	9120	ongunstig	RapportageHR	2	40	0.0136	0.7386
161133_2_9120	14610	vbi_161133	166942.1	209680.1	0	9120	9120	ongunstig	RapportageHR	1	60	0.1251	0.7454
161134_2_9120	14610	vbi_161134	167952.7	209690.2	0	9120	9120	ongunstig	RapportageHR	1	60	-0.0317	0.7067
162019_2_9120	14610	vbi_162019	172921.3	216616.7	1	9120	9120	ongunstig	RapportageHR	1	50	0.0605	0.6705
162027_2_9120	14610	vbi_162027	172942.4	216179.8	1	9120	9120	ongunstig	RapportageHR	1	60	0.1964	0.7311
162035_2_9120	14610	vbi_162035_2	172914	215681.1	1	9120	9120	gunstig	RapportageHR	0	90	0.5861	0.9857
162043_2_9120	14610	vbi_162043	172941.1	215179	1	9120	9120	gunstig	RapportageHR	0	90	0.6264	0.9423
162066_2_9120	14610	vbi_162066	171942.1	213680.1	0	9120	9120	ongunstig	RapportageHR	1	50	-0.0669	0.543
162090_2_9120	14610	vbi_162090	171935.4	212182.2	1	9120	9120	ongunstig	RapportageHR	2	60	0.1007	0.7096
162100_2_9120	14610	vbi_162100	173960.7	211656.3	0	9120	9120	ongunstig	RapportageHR	1	70	0.275	0.7888
162129_2_9120	14610	vbi_162129	170948.8	209708	1	9120	9120	gunstig	RapportageHR	0	90	0.4762	0.9143
166156_2_9120	14610	vbi_166156	173939.2	198186.1	0	9120	9120	ongunstig	RapportageHR	1	70	0.386	0.8446
177124_2_9120	14610	vbi_177124	213942.7	200179.6	0	9120	9120	ongunstig	RapportageHR	1	60	0.2463	0.7688
203009_2_9120	14610	vbi_203009	50946.5	197147.2	0	9120	9120	ongunstig	RapportageHR	3	30	-0.1135	0.6615
203018_2_9120	14610	vbi_203018	51949.4	196681	0	9120	9120	ongunstig	RapportageHR	2	40	-0.0491	0.7166
