"";"codeplas";"inbocode"
"1";"VBRTRV0025";"VB_TER_001"
"2";"OVLDNL0075";"OV_WEL_001"
"3";"OVLDNL0080";"OV_WEL_002"
"4";"VBRHIL0031";"VB_HOE_001"
"5";"VBRSZI0180";"VB_ABH_008"
"6";"WVLDIK0187";"WV_VIC_001"
"7";"WVLHOU0087";"WV_HOU_001"
"8";"ANTWIL0084";"AN_BLB_001"
"9";"VBRKRB0081";"VB_SIL_001"
"10";"LIMHMA0012";"LI_ACH_001"
"11";"WVLZED0171";"WV_VLO_004"
"12";"WVLOSK0186";"WV_WAP_001"
"13";"ANTHST0069";"AN_LAN_010"
"14";"ANTWES0133";"AN_ENG_001"
"15";"WVLDEP0014";"CAB_016"
"16";"WVLDEP0015";"CAB_008"
"17";"WVLDEP0017";"CAB_029"
"18";"WVLDEP0019";"CAB_017"
"19";"WVLDEP0020";"CAB_018"
"20";"WVLNWP0001";"LEP_019"
"21";"WVLDEP0026";"WES_039"
"22";"WVLKOK0008";"TYD_026"
"23";"WVLNWP0006";"LEP_015"
"24";"WVLNWP0012";"IJZ_006"
"25";"WVLKOK0029";"NOD_026"
"26";"WVLNWP0015";"LEP_009"
"27";"WVLKOK0042";"TYD_030"
"28";"WVLNWP0018";"LEP_014"
"29";"WVLKOK0075";"NOD_017"
"30";"WVLDEP0055";"HOS_023"
"31";"WVLKOK0084";"TYD_025"
"32";"WVLDEP0066";"HOS_018"
"33";"WVLKOK0105";"DOP_006"
"34";"WVLNWP0041";"IJZ_005"
"35";"WVLNWP0042";"LEP_013"
"36";"WVLDEP0072";"WES_043"
"37";"WVLNWP0044";"LEP_010"
"38";"WVLMID0073";"SBE_008"
"39";"WVLMID0131";"SBE_010"
"40";"WVLOOS0004";"MID_005a"
"41";"WVLOOS0038";"MID_010"
"42";"WVLDEH0023";"DHE_026"
"43";"WVLBRD0030";"DHE_015"
"44";"WVLDEH0077";"BDH_001"
"45";"WVLBRU0362";"ZEB_009"
"46";"WVLBRU0363";"ZEB_010"
"47";"WVLKNO0008";"ZWI_061"
"48";"WVLKNO0023";"ZWI_068"
"49";"WVLKNO0027";"ZWI_025"
"50";"WVLKNO0029";"ZWI_187"
"51";"WVLKNO0038";"ZWI_089"
"52";"WVLKNO0042";"ZWI_072"
"53";"WVLKNO0052";" "
"54";"WVLKNO0063";"ZWI_188"
"55";"WVLKNO0066";"ZWI_048"
"56";"WVLKNO0152";"ZWI_108"
"57";"WVLKNO0166";"ZWI_049"
"58";"WVLKNO0168";"ZWI_051"
"59";"WVLKNO0169";"ZWI_029"
"60";"WVLKNO0182";"ZWI_067"
"61";"WVLKNO0195";"ZWI_024"
"62";"WVLKNO0213";"ZWI_090"
"63";"WVLKNO0246";"ZWI_021"
"64";"WVLKNO0267";"ZWI_074"
"65";"WVLKNO0291";"ZWI_109"
"66";"WVLKNO0308";"ZWI_125"
"67";"WVLKNO0309";"ZWI_166"
"68";"WVLKNO0310";"ZWI_143"
"69";"WVLKNO0312";"ZWI_050"
"70";"WVLDEH0221";"BDH_008"
"71";"WVLOOS0114";"MID_002a"
"72";"WVLOOS0115";"MID_003"
"73";"WVLOOS0118";"MID_013"
"74";"WVLDEP0094";"CAB_041"
"75";"WVLDEP0117";"CAB_021"
"76";"WVLDEP0118";"CAB_020"
"77";"WVLDEP0121";"CAB_014"
"78";"WVLDEP0123";"CAB_011"
"79";"WVLDEP0124";"CAB_043"
"80";"WVLDEP0125";"CAB_040"
"81";"WVLDEP0134";"HOS_017"
"82";"WVLNWP0081";"LEP_017"
"83";"WVLMID0212";"IJZ_010"
"84";"WVLBRD0087";"DHE_024"
"85";"WVLKNO0363";"ZWI_148"
"86";"WVLBRD0100";"DHE_017"
"87";"WVLDEH0260";"DHE_"
"88";"WVLKNO0373";"ZWI_176"
"89";"WVLKNO0375";"ZWI_177"
"90";"WVLKNO0376";"ZWI_175"
"91";"WVLKNO0377";"ZWI_178"
"92";"WVLKNO0379";"ZWI_168"
"93";"WVLKNO0381";"ZWI_169"
"94";"WVLKNO0389";"ZWI_189"
"95";"WVLKNO0390";"ZWI_073"
"96";"WVLDEH0308";"BDH_010"
