tree_species_id	name_nl	tarief	tree_species_group	a	b	c	d	e	f	g	formule_type
1	112	4	11	0.1645	-0.005612	2.91e-05	0	-0.00725	0.00025	2.3e-06	3
2	102	4	11	0.1645	-0.005612	2.91e-05	0	-0.00725	0.00025	2.3e-06	3
3	4	2	1	-0.02149	0.00095069	-4.3068e-06	-7.0329e-08	-0.00074299	0	3.7969e-06	1
4	10	4	3	-0.01115	0	-8.56e-06	-4.996e-08	0	2.56e-05	3.633e-06	3
5	83	4	3	-0.01115	0	-8.56e-06	-4.996e-08	0	2.56e-05	3.633e-06	3
6	67	3	14	-4.608923	3.005989	-1.3209	1.605266	5.410272	0	0	2
7	101	2	2	-0.011392	-0.0001001	2.829e-05	-1.8695e-07	-0.00059573	0	3.0811e-06	1
8	27	2	7	-0.039083	0.0019935	-1.6148e-05	-6.4188e-09	-0.00098341	0	3.8373e-06	1
9	28	2	8	0.010343	-0.0014341	3.4521e-05	-1.3053e-07	0.00077115	0	3.0231e-06	1
10	115	2	2	-0.011392	-0.0001001	2.829e-05	-1.8695e-07	-0.00059573	0	3.0811e-06	1
11	105	2	2	-0.011392	-0.0001001	2.829e-05	-1.8695e-07	-0.00059573	0	3.0811e-06	1
12	9	2	2	-0.011392	-0.0001001	2.829e-05	-1.8695e-07	-0.00059573	0	3.0811e-06	1
13	35	4	11	0.1645	-0.005612	2.91e-05	0	-0.00725	0.00025	2.3e-06	3
14	37	2	7	-0.039083	0.0019935	-1.6148e-05	-6.4188e-09	-0.00098341	0	3.8373e-06	1
15	12	2	4	-0.002311	-0.00037474	1.5103e-05	-2.5175e-08	0.00033282	0	3.1943e-06	1
16	97	2	1	-0.02149	0.00095069	-4.3068e-06	-7.0329e-08	-0.00074299	0	3.7969e-06	1
17	55	2	7	-0.039083	0.0019935	-1.6148e-05	-6.4188e-09	-0.00098341	0	3.8373e-06	1
18	91	2	1	-0.02149	0.00095069	-4.3068e-06	-7.0329e-08	-0.00074299	0	3.7969e-06	1
