plot_id	segment_id	vbi_cycle	variable	category	date_dendro
17144	1	1	stand_age	41 - 60 jaar	10592
17144	1	1	stand_mixture	stamsgewijs	10592
17144	1	1	stand_type	loofhout	10592
17144	1	2	stand_age	41 - 60 jaar	16071
17144	1	2	stand_mixture	stamsgewijs	16071
17144	1	2	stand_type	loofhout	16071
18111	1	1	stand_age	21 - 40 jaar	10592
18111	1	1	stand_mixture	homogeen	10592
18111	1	1	stand_type	naaldhout	10592
18111	1	2	stand_age	21 - 40 jaar	15706
18111	1	2	stand_mixture	homogeen	15706
18111	1	2	stand_type	naaldhout	15706
18111	1	3	stand_age	61 - 80 jaar	19358
18111	1	3	stand_mixture	homogeen	19358
18111	1	3	stand_type	naaldhout	19358
18127	1	1	stand_age	21 - 40 jaar	10592
18127	1	1	stand_mixture	homogeen	10592
18127	1	1	stand_type	naaldhout	10592
18127	1	2	stand_age	21 - 40 jaar	15706
18127	1	2	stand_mixture	homogeen	15706
18127	1	2	stand_type	naaldhout	15706
18127	1	3	stand_age	61 - 80 jaar	19358
18127	1	3	stand_mixture	homogeen	19358
18127	1	3	stand_type	naaldhout	19358
18135	1	1	stand_age	41 - 60 jaar	10592
18135	1	1	stand_mixture	homogeen	10592
18135	1	1	stand_type	naaldhout	10592
18135	1	2	stand_age	41 - 60 jaar	15706
18135	1	2	stand_mixture	stamsgewijs	15706
18135	1	2	stand_type	naaldhout	15706
18135	1	3	stand_age	81 - 100 jaar	19358
18135	1	3	stand_mixture	stamsgewijs	19358
18135	1	3	stand_type	naaldhout	19358
18159	1	2	stand_age	21 - 40 jaar	15706
18159	1	2	stand_mixture	homogeen	15706
18159	1	2	stand_type	loofhout	15706
18159	1	3	stand_age	41 - 60 jaar	19358
18159	1	3	stand_mixture	stamsgewijs	19358
18159	1	3	stand_type	loofhout	19358
26148	1	1	stand_age	61 - 80 jaar	10227
26148	1	1	stand_mixture	stamsgewijs	10227
26148	1	1	stand_type	loofhout	10227
26148	1	2	stand_age	41 - 60 jaar	14610
26148	1	2	stand_mixture	stamsgewijs	14610
26148	1	2	stand_type	loofhout	14610
26148	3	2	stand_age	41 - 60 jaar	14610
26148	3	2	stand_mixture	stamsgewijs	14610
26148	3	2	stand_type	loofhout	14610
27091	1	1	stand_age	21 - 40 jaar	10227
27091	1	1	stand_mixture	homogeen	10227
27091	1	1	stand_type	loofhout	10227
27091	1	2	stand_age	61 - 80 jaar	17167
27091	1	2	stand_mixture	homogeen	17167
27091	1	2	stand_type	loofhout	17167
27091	2	2	stand_age	niet van toepassing	17167
27091	2	2	stand_mixture	niet van toepassing	17167
27091	2	2	stand_type	kapvlakte	17167
27113	1	1	stand_age	41 - 60 jaar	10227
27113	1	1	stand_mixture	stamsgewijs	10227
27113	1	1	stand_type	gemengd naaldhout	10227
27113	1	2	stand_age	41 - 60 jaar	17167
27113	1	2	stand_mixture	stamsgewijs	17167
27113	1	2	stand_type	gemengd loofhout	17167
27124	1	1	stand_age	101 - 120 jaar	10227
27124	1	1	stand_mixture	stamsgewijs	10227
27124	1	1	stand_type	naaldhout	10227
27124	1	2	stand_age	81 - 100 jaar	17167
27124	1	2	stand_mixture	stamsgewijs	17167
27124	1	2	stand_type	naaldhout	17167
27131	1	1	stand_age	101 - 120 jaar	10227
27131	1	1	stand_mixture	stamsgewijs	10227
27131	1	1	stand_type	loofhout	10227
27131	1	2	stand_age	81 - 100 jaar	17167
27131	1	2	stand_mixture	stamsgewijs	17167
27131	1	2	stand_type	loofhout	17167
27137	1	1	stand_age	41 - 60 jaar	10227
27137	1	1	stand_mixture	stamsgewijs	10227
