tree_species_id	name_nl	tarief_id	tree_species_group	a	b	c	d	tarief
0	61	NA	NA	NA	NA	NA	NA	NA
1	115	1	11	0.019546	-0.0029588	0.0001107	-3.7076e-08	2
2	105	1	11	0.019546	-0.0029588	0.0001107	-3.7076e-08	2
3	4	2	1	0.011189	-0.0023212	0.00010179	-5.0084e-08	2
4	10	3	3	0.01734	-0.003008	0.00011589	1.3782e-09	2
5	86	3	3	0.01734	-0.003008	0.00011589	1.3782e-09	2
6	70	5	14	-0.040364	0.00017945	7.6857e-05	7.3601e-08	3
7	104	4	2	0.0071727	-0.0022222	0.00010536	-1.0867e-07	2
8	29	7	7	-0.040364	0.00017945	7.6857e-05	7.3601e-08	2
9	30	6	8	-0.019508	0.00015072	5.7816e-05	8.095e-08	2
10	118	4	2	0.0071727	-0.0022222	0.00010536	-1.0867e-07	2
11	108	4	2	0.0071727	-0.0022222	0.00010536	-1.0867e-07	2
12	9	4	2	0.0071727	-0.0022222	0.00010536	-1.0867e-07	2
13	37	1	11	0.019546	-0.0029588	0.0001107	-3.7076e-08	2
14	39	7	7	-0.040364	0.00017945	7.6857e-05	7.3601e-08	2
15	12	9	4	0.048959	-0.002599	8.242e-05	6.1636e-08	2
16	100	2	1	0.011189	-0.0023212	0.00010179	-5.0084e-08	2
17	57	7	7	-0.040364	0.00017945	7.6857e-05	7.3601e-08	2
18	94	2	1	0.011189	-0.0023212	0.00010179	-5.0084e-08	2
19	63	8	13	-0.0060582	-0.00126	8.6604e-05	1.5419e-08	2
20	54	2	1	0.011189	-0.0023212	0.00010179	-5.0084e-08	2
21	73	4	2	0.0071727	-0.0022222	0.00010536	-1.0867e-07	2
22	48	7	7	-0.040364	0.00017945	7.6857e-05	7.3601e-08	2
23	85	7	7	-0.040364	0.00017945	7.6857e-05	7.3601e-08	2
24	26	7	7	-0.040364	0.00017945	7.6857e-05	7.3601e-08	2
25	31	7	7	-0.040364	0.00017945	7.6857e-05	7.3601e-08	2
26	5	9	4	0.048959	-0.002599	8.242e-05	6.1636e-08	2
27	58	7	7	-0.040364	0.00017945	7.6857e-05	7.3601e-08	2
28	97	7	7	-0.040364	0.00017945	7.6857e-05	7.3601e-08	2
29	119	5	14	-0.040364	0.00017945	7.6857e-05	7.3601e-08	3
30	43	7	7	-0.040364	0.00017945	7.6857e-05	7.3601e-08	2
31	81	7	7	-0.040364	0.00017945	7.6857e-05	7.3601e-08	2
32	117	9	4	0.048959	-0.002599	8.242e-05	6.1636e-08	2
33	67	7	7	-0.040364	0.00017945	7.6857e-05	7.3601e-08	2
34	65	7	7	-0.040364	0.00017945	7.6857e-05	7.3601e-08	2
35	92	9	4	0.048959	-0.002599	8.242e-05	6.1636e-08	2
36	60	1	11	0.019546	-0.0029588	0.0001107	-3.7076e-08	2
37	3	7	7	-0.040364	0.00017945	7.6857e-05	7.3601e-08	2
38	25	7	7	-0.040364	0.00017945	7.6857e-05	7.3601e-08	2
39	109	5	14	-0.040364	0.00017945	7.6857e-05	7.3601e-08	3
40	53	7	7	-0.040364	0.00017945	7.6857e-05	7.3601e-08	2
41	56	7	7	-0.040364	0.00017945	7.6857e-05	7.3601e-08	2
42	98	7	7	-0.040364	0.00017945	7.6857e-05	7.3601e-08	2
43	33	7	7	-0.040364	0.00017945	7.6857e-05	7.3601e-08	2
50	64	7	7	-0.040364	0.00017945	7.6857e-05	7.3601e-08	2
51	36	10	10	-0.0052614	-0.001393	8.8771e-05	1.4349e-08	2
52	16	14	5	0.018522	-0.002618	0.00010652	0	1
53	113	10	10	-0.0052614	-0.001393	8.8771e-05	1.4349e-08	2
54	55	13	12	0.019784	-0.0031514	0.00012589	5.0599e-08	2
55	19	12	6	0.083862	-0.0064217	0.00015693	-7.7168e-08	2
56	23	11	9	0.032253	-0.0040132	0.00013221	-1.8894e-08	2
57	72	12	6	0.083862	-0.0064217	0.00015693	-7.7168e-08	2
58	87	11	9	0.032253	-0.0040132	0.00013221	-1.8894e-08	2
59	17	10	10	-0.0052614	-0.001393	8.8771e-05	1.4349e-08	2
60	84	11	9	0.032253	-0.0040132	0.00013221	-1.8894e-08	2
61	114	11	9	0.032253	-0.0040132	0.00013221	-1.8894e-08	2
62	96	10	10	-0.0052614	-0.001393	8.8771e-05	1.4349e-08	2
63	80	11	9	0.032253	-0.0040132	0.00013221	-1.8894e-08	2
64	15	11	9	0.032253	-0.0040132	0.00013221	-1.8894e-08	2
65	59	11	9	0.032253	-0.0040132	0.00013221	-1.8894e-08	2
90	8	7	7	-0.040364	0.00017945	7.6857e-05	7.3601e-08	2
100	2	4	2	0.0071727	-0.0022222	0.00010536	-1.0867e-07	2
101	11	4	2	0.0071727	-0.0022222	0.00010536	-1.0867e-07	2
102	110	7	7	-0.040364	0.00017945	7.6857e-05	7.3601e-08	2
103	20	7	7	-0.040364	0.00017945	7.6857e-05	7.3601e-08	2
104	21	7	7	-0.040364	0.00017945	7.6857e-05	7.3601e-08	2
105	22	13	12	0.019784	-0.0031514	0.00012589	5.0599e-08	2
106	24	8	13	-0.0060582	-0.00126	8.6604e-05	1.5419e-08	2
107	27	7	7	-0.040364	0.00017945	7.6857e-05	7.3601e-08	2
108	28	4	2	0.0071727	-0.0022222	0.00010536	-1.0867e-07	2
109	32	8	13	-0.0060582	-0.00126	8.6604e-05	1.5419e-08	2
110	34	5	14	-0.040364	0.00017945	7.6857e-05	7.3601e-08	3
111	35	4	2	0.0071727	-0.0022222	0.00010536	-1.0867e-07	2
112	40	7	7	-0.040364	0.00017945	7.6857e-05	7.3601e-08	2
113	42	7	7	-0.040364	0.00017945	7.6857e-05	7.3601e-08	2
114	45	13	12	0.019784	-0.0031514	0.00012589	5.0599e-08	2
115	46	4	2	0.0071727	-0.0022222	0.00010536	-1.0867e-07	2
116	47	7	7	-0.040364	0.00017945	7.6857e-05	7.3601e-08	2
117	49	4	2	0.0071727	-0.0022222	0.00010536	-1.0867e-07	2
118	50	7	7	-0.040364	0.00017945	7.6857e-05	7.3601e-08	2
119	51	4	2	0.0071727	-0.0022222	0.00010536	-1.0867e-07	2
120	52	7	7	-0.040364	0.00017945	7.6857e-05	7.3601e-08	2
121	62	7	7	-0.040364	0.00017945	7.6857e-05	7.3601e-08	2
122	6	7	7	-0.040364	0.00017945	7.6857e-05	7.3601e-08	2
123	7	11	9	0.032253	-0.0040132	0.00013221	-1.8894e-08	2
124	71	5	14	-0.040364	0.00017945	7.6857e-05	7.3601e-08	3
125	74	7	7	-0.040364	0.00017945	7.6857e-05	7.3601e-08	2
126	75	7	7	-0.040364	0.00017945	7.6857e-05	7.3601e-08	2
127	76	4	2	0.0071727	-0.0022222	0.00010536	-1.0867e-07	2
128	77	4	2	0.0071727	-0.0022222	0.00010536	-1.0867e-07	2
129	78	8	13	-0.0060582	-0.00126	8.6604e-05	1.5419e-08	2
130	82	7	7	-0.040364	0.00017945	7.6857e-05	7.3601e-08	2
131	83	7	7	-0.040364	0.00017945	7.6857e-05	7.3601e-08	2
132	88	7	7	-0.040364	0.00017945	7.6857e-05	7.3601e-08	2
133	89	7	7	-0.040364	0.00017945	7.6857e-05	7.3601e-08	2
134	90	7	7	-0.040364	0.00017945	7.6857e-05	7.3601e-08	2
135	91	7	7	-0.040364	0.00017945	7.6857e-05	7.3601e-08	2
136	93	7	7	-0.040364	0.00017945	7.6857e-05	7.3601e-08	2
137	95	7	7	-0.040364	0.00017945	7.6857e-05	7.3601e-08	2
138	99	7	7	-0.040364	0.00017945	7.6857e-05	7.3601e-08	2
139	101	7	7	-0.040364	0.00017945	7.6857e-05	7.3601e-08	2
140	102	4	2	0.0071727	-0.0022222	0.00010536	-1.0867e-07	2
141	103	4	2	0.0071727	-0.0022222	0.00010536	-1.0867e-07	2
