survey	recording_givid	name	phenology_code	species_cover_code	species_cover	scale
HT3260	IV2016112910214756	Callitriche obtusangula Le Gall	-	r	1	Tansley (waterlopen)
HT3260	IV2016112910214756	Callitriche platycarpa/obtusangula	-	o	1	Tansley (waterlopen)
HT3260	IV2016112910214756	draadwier	-	la	15	Tansley (waterlopen)
HT3260	IV2016112910214756	Elodea nuttallii (Planch.) St John	-	o	1	Tansley (waterlopen)
HT3260	IV2016112910214756	Equisetum arvense L.	-	o	1	Tansley (waterlopen)
HT3260	IV2016112910214756	Glyceria maxima (Hartm.) Holmberg	-	o	1	Tansley (waterlopen)
HT3260	IV2016112910214756	Hydrocharis morsus-ranae L.	-	o	1	Tansley (waterlopen)
HT3260	IV2016112910214756	Lemna minor L.	-	f	2.5	Tansley (waterlopen)
HT3260	IV2016112910214756	Lemna minuta Humb., Bonpl. et Kunth	-	f	2.5	Tansley (waterlopen)
HT3260	IV2016112910214756	Phalaris arundinacea L.	-	o	1	Tansley (waterlopen)
HT3260	IV2016112910214756	Phragmites australis (Cav.) Steud.	-	o	1	Tansley (waterlopen)
HT3260	IV2016112910214756	Polygonum persicaria L.	-	r	1	Tansley (waterlopen)
HT3260	IV2016112910214756	Potamogeton pectinatus L.	-	f	2.5	Tansley (waterlopen)
HT3260	IV2016112910214756	Sparganium emersum Rehm.	-	f	2.5	Tansley (waterlopen)
HT3260	IV2016112910214756	Sparganium erectum L.	-	o	1	Tansley (waterlopen)
HT3260	IV2016112910214756	Spirodela polyrhiza (L.) Schleid.	-	r	1	Tansley (waterlopen)
HT3260	IV2016112910413574	Alisma plantago-aquatica L.	-	r	1	Tansley (waterlopen)
HT3260	IV2016112910413574	Callitriche platycarpa/obtusangula	-	o	1	Tansley (waterlopen)
HT3260	IV2016112910413574	draadwier	-	f	2.5	Tansley (waterlopen)
HT3260	IV2016112910413574	Elodea nuttallii (Planch.) St John	-	o	1	Tansley (waterlopen)
HT3260	IV2016112910413574	Equisetum arvense L.	-	o	1	Tansley (waterlopen)
HT3260	IV2016112910413574	Glyceria fluitans (L.) R. Brown	-	o	1	Tansley (waterlopen)
HT3260	IV2016112910413574	Glyceria maxima (Hartm.) Holmberg	-	o	1	Tansley (waterlopen)
HT3260	IV2016112910413574	Hydrocharis morsus-ranae L.	-	o	1	Tansley (waterlopen)
HT3260	IV2016112910413574	Lemna minor L.	-	f	2.5	Tansley (waterlopen)
HT3260	IV2016112910413574	Lemna minuta Humb., Bonpl. et Kunth	-	f	2.5	Tansley (waterlopen)
HT3260	IV2016112910413574	Phalaris arundinacea L.	-	f	2.5	Tansley (waterlopen)
HT3260	IV2016112910413574	Phragmites australis (Cav.) Steud.	-	o	1	Tansley (waterlopen)
HT3260	IV2016112910413574	Potamogeton pectinatus L.	-	f	2.5	Tansley (waterlopen)
HT3260	IV2016112910413574	Potamogeton trichoides Cham. et Schlecht.	-	r	1	Tansley (waterlopen)
HT3260	IV2016112910413574	Sparganium emersum Rehm.	-	f	2.5	Tansley (waterlopen)
HT3260	IV2016112910413574	Sparganium erectum L.	-	r	1	Tansley (waterlopen)
HT3260	IV2016112910413574	Spirodela polyrhiza (L.) Schleid.	-	o	1	Tansley (waterlopen)
HT3260	IV2016120512445956	Agrostis stolonifera L.	-	o	1	Tansley (waterlopen)
HT3260	IV2016120512445956	Alisma plantago-aquatica L.	-	r	1	Tansley (waterlopen)
HT3260	IV2016120512445956	Callitriche platycarpa/obtusangula	-	a	38.5	Tansley (waterlopen)
HT3260	IV2016120512445956	Carex acutiformis Ehrh.	-	r	1	Tansley (waterlopen)
HT3260	IV2016120512445956	Cirsium arvense (L.) Scop.	-	r	1	Tansley (waterlopen)
HT3260	IV2016120512445956	draadwier	-	la	15	Tansley (waterlopen)
HT3260	IV2016120512445956	Glyceria maxima (Hartm.) Holmberg	-	o	1	Tansley (waterlopen)
HT3260	IV2016120512445956	Lemna minor L.	-	o	1	Tansley (waterlopen)
HT3260	IV2016120512445956	Lemna minuta Humb., Bonpl. et Kunth	-	o	1	Tansley (waterlopen)
HT3260	IV2016120512445956	Lotus corniculatus L.	-	o	1	Tansley (waterlopen)
HT3260	IV2016120512445956	Lycopus europaeus L.	-	o	1	Tansley (waterlopen)
HT3260	IV2016120512445956	Lythrum salicaria L.	-	r	1	Tansley (waterlopen)
HT3260	IV2016120512445956	Mentha aquatica L.	-	o	1	Tansley (waterlopen)
HT3260	IV2016120512445956	Myosotis scorpioides L.	-	o	1	Tansley (waterlopen)
HT3260	IV2016120512445956	Nitella flexilis/opaca	-	o	1	Tansley (waterlopen)
HT3260	IV2016120512445956	Phalaris arundinacea L.	-	f	2.5	Tansley (waterlopen)
HT3260	IV2016120512445956	Poa palustris L.	-	o	1	Tansley (waterlopen)
HT3260	IV2016120512445956	Polygonum hydropiper L.	-	o	1	Tansley (waterlopen)
HT3260	IV2016120512445956	Potamogeton berchtoldii Fieb.	-	o	1	Tansley (waterlopen)
HT3260	IV2016120512445956	Potamogeton natans L.	-	a	38.5	Tansley (waterlopen)
HT3260	IV2016120512445956	Potamogeton trichoides Cham. et Schlecht.	-	o	1	Tansley (waterlopen)
