plot_id	periode	habitattype	msa_area_ha
17144	1	9120	17.3513
17144	1	9190	1.1634
17144	1	91E0	0.1925
17144	1	91E0_vn	0.4261
17144	2	9120	17.3513
17144	2	9190	1.1634
17144	2	91E0	0.1925
17144	2	91E0_vn	0.4261
26148	1	9120	14.8004
26148	2	9120	14.8004
26148	3	9120	14.8004
27131	1	9190	5.5849
27131	1	91E0_vm	1.1713
27131	1	91E0_vn	3.3752
27131	2	9190	5.5849
27131	2	91E0_vm	1.1713
27131	2	91E0_vn	3.3752
27156	1	9120	8.8417
27156	2	9120	8.8417
35106	1	9190	9.8216
35106	1	91E0_vm	4.1297
35106	1	91E0_vo	0.2955
35106	2	9190	9.8216
35106	2	91E0_vm	4.1297
35106	2	91E0_vo	0.2955
35106	3	9190	9.8216
35106	3	91E0_vm	4.1297
35106	3	91E0_vo	0.2955
35114	1	9120	0.7481
35114	2	9120	0.7481
35114	3	9120	0.7481
52156	1	2180	24.3825
52156	2	2180	24.3825
52156	3	2180	24.3825
56019	1	2180	28.1866
56019	2	2180	28.1866
56019	3	2180	28.1866
74049	1	9190	29.2345
74049	1	91E0_vo	2.4928
74049	2	9190	29.2345
74049	2	91E0_vo	2.4928
74049	3	9190	29.2345
74049	3	91E0_vo	2.4928
74050	1	9120	0.6087
74050	1	9190	7.8737
74050	2	9120	0.6087
74050	2	9190	7.8737
74050	3	9120	0.6087
74050	3	9190	7.8737
74058	1	9190	29.2345
74058	1	91E0_vo	2.4928
74058	2	9190	29.2345
74058	2	91E0_vo	2.4928
74058	3	9190	29.2345
74058	3	91E0_vo	2.4928
74067	1	9120	0.8343
74067	1	9190	1.9467
74067	2	9120	0.8343
74067	2	9190	1.9467
74067	3	9120	0.8343
74067	3	9190	1.9467
74090	1	9190	8.9532
74090	2	9190	8.9532
74090	3	9190	8.9532
74143	1	9120	8.7156
74143	2	9120	8.7156
74143	3	9120	8.7156
77038	1	9190	5.5346
77038	2	9190	5.5346
77040	1	9190	1.5508
77040	2	9190	1.5508
77048	1	9120	10.4204
77048	1	9190	11.6809
77048	2	9120	10.4204
77048	2	9190	11.6809
78033	1	9120	5.1828
78033	1	9190	35.3692
78033	2	9120	5.1828
78033	2	9190	35.3692
78033	3	9120	5.1828
78033	3	9190	35.3692
78037	1	9120	0.9799
78037	1	9190	31.4134
78037	2	9120	0.9799
78037	2	9190	31.4134
78037	3	9120	0.9799
78037	3	9190	31.4134
78039	1	9190	53.1904
78039	2	9190	53.1904
78039	3	9190	53.1904
78041	1	9120	5.1828
78041	1	9190	35.3692
78041	2	9120	5.1828
78041	2	9190	35.3692
78041	3	9120	5.1828
78041	3	9190	35.3692
78043	1	9190	11.5042
78043	2	9190	11.5042
78043	3	9190	11.5042
78044	1	9190	8.4605
78044	2	9190	8.4605
78044	3	9190	8.4605
78046	1	9190	14.2182
78046	2	9190	14.2182
78046	3	9190	14.2182
78059	1	9190	1.6417
78059	2	9190	1.6417
78059	3	9190	1.6417
78060	1	9120	10.0702
78060	1	9190	12.8925
78060	2	9120	10.0702
78060	2	9190	12.8925
78060	3	9120	10.0702
78060	3	9190	12.8925
78084	1	9190	17.9182
78084	2	9190	17.9182
78084	3	9190	17.9182
78133	1	9120	0.6681
78133	2	9120	0.6681
78133	3	9120	0.6681
78135	1	9190	20.0079
78135	2	9190	20.0079
78135	3	9190	20.0079
78148	1	9120	132.7611
78148	1	9190	1.0557
78148	1	91E0_vm	1.5636
78148	2	9120	132.7611
78148	2	9190	1.0557
78148	2	91E0_vm	1.5636
78148	3	9120	132.7611
78148	3	9190	1.0557
78148	3	91E0_vm	1.5636
78156	1	9120	132.7611
78156	1	9190	1.0557
78156	1	91E0_vm	1.5636
78156	2	9120	132.7611
78156	2	9190	1.0557
78156	2	91E0_vm	1.5636
78156	3	9120	132.7611
78156	3	9190	1.0557
78156	3	91E0_vm	1.5636
81093	1	9120	3.0104
81093	2	9120	3.0104
81093	3	9120	3.0104
81133	1	9190	10.6456
81133	2	9190	10.6456
81133	3	9190	10.6456
82126	1	9120	7.8758
82126	2	9120	7.8758
83070	1	91E0_vm	0.901
83070	2	91E0_vm	0.901
83089	1	91E0_va_91E0_vc	0.8795
83089	1	91E0_vm	0.2544
83089	2	91E0_va_91E0_vc	0.8795
83089	2	91E0_vm	0.2544
83116	1	9190	0.7343
83116	2	9190	0.7343
83121	1	91E0_va_91E0_vc	0
83121	1	91E0_vn	2.2954
83121	2	91E0_va_91E0_vc	0
83121	2	91E0_vn	2.2954
83147	1	9120	0.4249
83147	2	9120	0.4249
84016	1	9120	1.6528
84016	1	91E0_vn	1.1146
84016	2	9120	1.6528
84016	2	91E0_vn	1.1146
84097	1	9120	0.254
84097	1	91E0_vm	11.3618
84097	2	9120	0.254
84097	2	91E0_vm	11.3618
84156	1	91E0_vm	3.697
84156	1	91E0_vn	3.5398
84156	2	91E0_vm	3.697
84156	2	91E0_vn	3.5398
85061	1	9190	10.6456
85061	2	9190	10.6456
85064	1	9190	4.4734
85064	2	9190	4.4734
85064	3	9190	4.4734
85065	1	9120	1.9554
85065	2	9120	1.9554
85065	3	9120	1.9554
85126	1	9120	3.0028
85126	2	9120	3.0028
85126	3	9120	3.0028
85138	1	9190	0.4986
85138	2	9190	0.4986
85138	3	9190	0.4986
85147	1	9120	5.5442
85147	1	9190	17.043
85147	2	9120	5.5442
85147	2	9190	17.043
85147	3	9120	5.5442
85147	3	9190	17.043
85155	1	9120	5.5442
85155	1	9190	17.043
85155	2	9120	5.5442
85155	2	9190	17.043
85155	3	9120	5.5442
85155	3	9190	17.043
86003	1	9120	3.1821
86003	2	9120	3.1821
86003	3	9120	3.1821
86044	1	9190	5.4518
86044	1	91E0_vo	0.4166
86044	2	9190	5.4518
86044	2	91E0_vo	0.4166
86044	3	9190	5.4518
86044	3	91E0_vo	0.4166
86117	1	9120	20.1815
