plot_id	date_assessment	habitattype	msa_area_ha
2198	16546	9120	3.4123
2198	16546	9160	0.3049
2742	16604	91E0_vm	3.9384
2742	16604	91E0_vn	0.1135
2742	16604	91E0_vo	1.7343
3970	16576	9110	50.4609
3970	16576	9120	16.9419
3970	16576	9130	38.1262
3970	16576	9150	0.0797
3970	16576	9160	48.7717
3970	16576	91E0_va_91E0_vc	4.9308
4945	17277	9120	2.7565
4945	17277	9130	59.1306
4945	17277	91E0_va_91E0_vc	0.7497
6110	17074	9120	3.4421
6110	17074	9190	3.6306
6278	16562	9160	0.1516
7145	16553	9160	2.8425
7785	16573	9120	51.1362
7785	16573	9190	0.4257
7785	16573	91E0_vm	27.156
7785	16573	91E0_vo	3.2338
8121	16554	9120	0.7118
8121	16554	9130	0.5977
8121	16554	91E0_va_91E0_vc	1.8938
8217	17288	9120	6.8441
8217	17288	9130	10.4701
8217	17288	91E0_va_91E0_vc	3.8305
9169	17683	9120	27.7435
9169	17683	9160	1.9167
9262	17067	9120	56.1321
9262	17067	9160	0.2467
9262	17067	9190	4.6073
9262	17067	91E0_va_91E0_vc	0.812
9262	17067	91E0_vm	3.4742
9262	17067	91E0_vn	2.1015
10354	16575	9160	3.7352
10354	16575	91E0_va_91E0_vc	0.8094
10513	18001	9120	3.0577
10513	18001	9130	12.5269
10513	18001	91E0_va_91E0_vc	1.9204
11126	16584	9190	2.0272
11126	16584	91E0	1.6317
11126	16584	91E0_vn	0.982
11481	17998	9120	30.004
11481	17998	9130	87.4923
11481	17998	91E0_va_91E0_vc	20.5447
11865	16554	9130	2.4591
11865	16554	91E0_va_91E0_vc	0.9521
12470	16597	91E0_vm	1.2048
12470	16597	91E0_vn	3.002
12710	17704	9120	3.9252
12710	17704	9160	3.5258
15150	16574	9190	1.2675
15478	18376	9190	1.0889
15782	16562	9120	6.255
15782	16562	9160	0.2063
15782	16562	91E0_va_91E0_vc	1.4866
16633	16559	91E0_va_91E0_vc	6.4516
16633	16559	91E0_vn	1.9506
18290	17990	9120	0.5888
18290	17990	9160	1.513
18898	17991	9190	8.2788
19158	16708	9120	19.674
19158	16708	9190	50.8586
19158	16708	91E0_vm	19.5585
19158	16708	91E0_vo	5.8578
20274	17990	9120	0.0117
20274	17990	9160	2.9883
20274	17990	91E0	0.6543
20470	17990	9190	24.9715
20470	17990	91E0_vm	48.3696
20470	17990	91E0_vn	5.1649
20470	17990	91E0_vo	5.9463
20614	17709	9120	18.8269
20614	17709	9190	9.4483
21025	18002	9130	1.529
21714	16332	9190	1.5023
22726	17710	9120	4.0617
22726	17710	9130	0.2715
22726	17710	9160	23.9183
22726	17710	91E0_va_91E0_vc	57.278
22726	17710	91E0_vm	12.4376
22726	17710	91E0_vn	0.141
23238	17711	9120	44.4735
23238	17711	9160	101.9601
23238	17711	91E0_va_91E0_vc	26.5302
23238	17711	91E0_vm	1.1537
23257	16621	9120	4.1519
23257	16621	9130	29.4852
23257	16621	91E0_va_91E0_vc	1.5078
23385	17687	9130	9.0126
23385	17687	91E0_va_91E0_vc	1.3142
26393	17269	9120	1.616
26393	17269	9130	33.7976
26393	17269	91E0_va_91E0_vc	8.4955
26822	17710	9120	3.1637
26822	17710	9160	66.7679
26822	17710	91E0_va_91E0_vc	3.5394
27474	17989	9190	0.4906
28546	18002	9110	50.4609
28546	18002	9120	16.9419
28546	18002	9130	38.1262
28546	18002	9150	0.0797
28546	18002	9160	48.7717
28546	18002	91E0_va_91E0_vc	4.9308
29558	17989	9190	0.322
31414	17988	91E0_vm	1.9254
34361	18733	9130	13.0456
36774	17708	9120	64.3943
36774	17708	9160	105.7737
36774	17708	9190	1.5814
36774	17708	91E0_va_91E0_vc	43.965
36774	17708	91E0_vm	58.9511
36774	17708	91E0_vn	1.4994
36774	17708	91E0_vo	7.816
41209	18726	9120	2.1892
41209	18726	9130	4.4113
41209	18726	91E0_va_91E0_vc	6.4156
42706	16601	9190	10.151
42706	16601	91E0_vm	17.2125
42706	16601	91E0_vo	1.7836
45305	18726	9120	1.8397
45305	18726	9130	9.1564
45305	18726	91E0_va_91E0_vc	19.9062
45526	16658	9120	0.1302
45526	16658	91E0_va_91E0_vc	0
45526	16658	91E0_vm	3.9394
45526	16658	91E0_vo	0
53561	16563	9130	66.077
53561	16563	91E0_va_91E0_vc	7.7907
55734	18758	91E0_vm	0.9905
58198	18774	9120	1.2595
58198	18774	91E0_vm	5.802
68601	18775	91E0_vm	5.4752
68790	18767	9190	0.1278
68790	18767	91E0_vm	14.7216
68790	18767	91E0_vn	0.7427
68790	18767	91E0_vo	0.3657
71478	18774	91E0_vm	1.4751
71478	18774	91E0_vn	0.7341
80662	18775	91E0_vm	2.6165
83318	18773	91E0_vm	1.2727
85529	16581	9120	0.0675
85529	16581	9130	10.34
85529	16581	91E0_va_91E0_vc	2.7426
85529	16581	91E0_vn	0.0874
85890	16576	9160	0.07
85890	16576	91E0_va_91E0_vc	2.0194
88274	16588	9190	0.4801
96217	16568	9120	27.3489
96217	16568	9130	27.1168
96217	16568	91E0_va_91E0_vc	6.5604
103609	16552	9120	36.1513
103609	16552	9130	294.1234
103609	16552	9190	0.7981
