plot_id	msa_area_ha
ZSCPQ328	0.8065
ZSCPQ329	7.1516
ZSCPQ330	2.4191
ZSCPQ331	3.4588
ZSCPQ332	3.3407
ZSCPQ333	1.7285
ZSCPQ334	0.1565
ZSCPQ335	3.4588
ZSCPQ336	7.1516
ZSCPQ337	43.9584
ZSCPQ338	43.9584
ZSCPQ339	13.5082
ZSCPQ340	5.958
ZSCPQ341	7.5339
ZSCPQ342	1.1613
ZSCPQ343	43.9584
ZSCPQ344	18.9073
ZSCPQ345	13.5082
ZSCPQ346	16.0591
ZSCPQ347	18.9073
ZSCPQ348	18.9073
ZSCPQ349	2.6987
ZSCPQ350	43.9584
ZSCPQ351	43.9584
ZSCPQ352	18.9073
ZSCPQ353	18.9073
ZSCPQ354	13.5082
ZSCPQ355	5.958
ZSCPQ356	43.9584
ZSCPQ370	3.8475
ZSCPQ371	10.8396
ZSCPQ372	10.8396
ZSCPQ373	10.5994
ZSCPQ374	43.9584
ZSCPQ375	4.0464
ZSCPQ376	3.4356
ZSCPQ377	3.4356
ZSCPQ378	2.2319
ZSCPQ379	11.0885
ZSCPQ380	11.0885
ZSCPQ381	0.8153
ZSCPQ382	8.8546
ZSCPQ383	0.9221
ZSCPQ384	11.0885
ZSCPQ385	8.8546
ZSCPQ386	11.0885
ZSCPQ387	8.8546
